signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-C603C0D4601A0078	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-18T13:20:02Z	P2_article_relevance_review	security-agentic	agentic failure	/srv/tyche/projects/limen-ai-edge-case-atlas/dashboard/limen-dashboard-spec-v0.1.md	5	sha256:6ae84f9e47171e37a47a5c5e63c13f73ee027a042d5dffaf4165bf8385c90680	Visualize LIMEN data for research, policy, and thesis use. The dashboard is a **public-source observatory** for AI edge cases, misuse, security risks, agentic failures, and normative anomalies. It supports:	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CDF01DB43975985F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md	4	sha256:c37b4894173b7d67281d7a0124a05db203f3a4c7e1493d6a70e698c4d9e28d7a	This manual defines rules for linking public AI procurement signals to official AI register records. It ensures transparency, reproducibility, and defensible gap measures for the three-paper programme.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D50CC7DB370771AF	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md	1	sha256:20671f3db8e811713e33b52709f9e0abf153636ae3e2c6d314bb8d752392aada	# Public AI Procurement-to-Registry Coding Manual v0.1	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-DB588BAD81B1CF42	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md	4	sha256:c37b4894173b7d67281d7a0124a05db203f3a4c7e1493d6a70e698c4d9e28d7a	This manual defines rules for linking public AI procurement signals to official AI register records. It ensures transparency, reproducibility, and defensible gap measures for the three-paper programme.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-E0FAF53C70486066	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-procurement-gap/CITATION.cff	23	sha256:e2d0dd00f1e983d8dac02fc51997d067bc93c0c2178f596e396dcb2e3739e350	"- ""algorithm registers"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-E4D86DDDE73608B3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/register-records-v0.1.csv	7	sha256:52801437cb8fc3839923d833c063eeb6645326d49a8dc392e21534cfbc496450	alg-nld-67349731,Dutch Algorithm Register,Dutch Algorithm Register public metadata; terms/reuse posture remains bounded and metadata-only in this pilot.,Netherlands,Struck,Municipality of Amsterdam,municipality of amsterdam,public algorithm disclosure/register	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-E4DEF6213A32AED8	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/data/canada-ai-register-raw-v0.1.csv	387	sha256:cf6a2fe59ecde866e0b9ff28c3551bea8d29d9b76c08d8c356c060b216b7b9c7	"2526-IRCC-005,Passport Automated Decision-Making in IRCC’s Global Case Management System (GCMS),Prise de décision automatisée pour les passeports dans le Système mondial de gestion des cas (SMGC) d'IRCC,""Immigration, Refugees and Citizenship Canada / Immigrati"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-E895F84059D74145	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/source-freshness-monitoring-20260617.csv	2	sha256:0d74f26437117ac2c1efe865f081d7b5919d42c0e397dd771809acbb8494149b	NL-ALG-REG,Dutch national Algorithm Register,https://algoritmeregister.rijksoverheid.nl/,reachable_2026-06-05,https://algoritmeregister.rijksoverheid.nl/,000,dns_unresolved,0,0.06,2026-06-17T17:51:38Z,https://algoritmes.overheid.nl/nl,DNS no longer resolves fo	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F4DB2B9A5E259E02	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/stratified-field-coding-sample-v0.1.csv	97	sha256:601a90db916354fe9c881d422d83b439be394ff31d2955eba5f73daedcae4e5f	"96,ALL-SCOT-AI-REG-0007,SCOT-AI-REG,Scottish AI Register,Scotland,SCOT-15,""Updated 17.03.2025 Land Use, Environmental Planning, Forestry and Marine NatureScot Statutory Consultation and SSSI Consent... Production The previous approach that supported decision-m"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F4F47C0FA54BF948	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/methods/coding-manual-v0.1.md	17	sha256:91d479bdca5f3b03f93f2d2df64703fc23f0ec29c208a6d43b0ce5448d516e6a	- **Sources:** National AI registers (e.g., EU AI Act register, Germany: *KI-Register*, France: *Registre des systèmes d'IA*), and official gazettes.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F69FA643B8DA981B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-18T13:20:02Z	P2_article_relevance_review	security-agentic	AI vulnerability	/srv/tyche/projects/limen-ai-edge-case-atlas/dashboard/limen-dashboard-api-bundle-v0.1.json	324	sha256:b98e551ad5d64585519602b079e4ee4f5b00ba28063104218575735cbd8f8f50	"source_family: ""AI Vulnerability Database (AVID)"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA3120BFB4A04868	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/register-architecture-typology-v0.1.csv	6	sha256:a13951d18dc8a6fed9fa07a6e646595e2f7bbd54aa720dbe2d19c6fd364d1930	"SCOT-AI-REG,Scottish AI Register,Scotland,voluntary_register,Voluntary public register,voluntary,subnational,low_custom_template,6/12,""logs, complaints, formal risk tier, model detail"",no,English"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FFD2A1C9789FDE33	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-18T13:20:02Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/link-candidates-v0.1.csv	8	sha256:b53fde6428a680c875bd39064b3ffe6a26384500c4c5c3aba19e810cc07e55cd	LINK-07,NC-02,NEGATIVE_CONTROL_NOT_SEARCHED_FOR_AI_MATCH,excluded,none,RF-06_negative_control_retention,Negative-control procurement row not searched for AI register match.,ted-3515-2024,negative_control,excluded_negative_control	needs direct source, source-pack resolution, or translation-aware review before example promotion
