signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-89D891AC92103AEF	source_reviewed_candidate	official procurement portal	Official procurement unit portal is a concrete source surface.	Existence/posture of the CPTU procurement portal only.	Open a direct source review packet on the named portal.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-89F077DFE395B3BE	negative_evidence_candidate	gap/absence note	Row is a local negative finding about no sandbox located.	Only a bounded absence/gap note from prior local review.	Keep as negative-evidence support; do not promote as a source surface.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-8A0BD648CF8AF462	merge_existing_surface	already-modeled register	Points to the already-modeled Government of Canada AI Register surface.	Registry-surface dedupe only; no new source claim.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-018/ca-ai-reg-source-led-rights-support-row-v0.1.csv
LIMEN-SIGNAL-8A12DA17DF61D9DF	negative_evidence_candidate	gap/absence note	Local row records sandbox search-negative evidence on official Monaco sources.	Only a bounded negative-evidence note.	Keep under negative-evidence tracking; no new source extraction.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv
LIMEN-SIGNAL-8A2BEAB79184FED3	reject_noise	internal manuscript text	Draft prose about Retraction Watch recall is not a direct source surface.	Internal manuscript text only.	Remove from the direct-source queue.	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md
LIMEN-SIGNAL-8A2E497F80893106	merge_existing_surface	already-modeled register	Record points to the already-modeled Government of Canada AI Register surface.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8A3037C3CE2358C8	reject_noise	internal atlas label	Atlas JSON label is configuration text, not a named source surface.	Internal label only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-8A3968524E85CC7B	translation_review_needed	translation-sensitive source pointer	Local fact points to a plausible government eGovAI developer source with translation-sensitive evidence.	Source-surface existence only pending translation-safe handling.	Route to translation-aware source extraction.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/facts.jsonl.bak-cycle-347-active-lanes-61-foreign-language-and-pacific-law-hardening
LIMEN-SIGNAL-8A3D0AEB3BB35BA6	reject_noise	internal country summary	Reviewer-safe country summary is derived prose, not a direct source surface.	Derived summary only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/reviewer-safe-country-role-board.json
LIMEN-SIGNAL-8A45864DC7483DD2	merge_existing_surface	already-modeled register	Canada AI Register row re-points to an already-modeled registry surface.	Registry-surface dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8A49FE07B4568A60	merge_existing_surface	already-modeled register	Dutch Algorithm Register row points to an already-modeled registry surface.	Registry-surface dedupe only.	Merge into the existing Dutch Algorithm Register surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8A597EF2E152C96B	negative_evidence_candidate	gap/absence note	Official Cook Islands government root is used here as a negative check/gap note.	Only a bounded negative-evidence note.	Keep as negative evidence; do not promote as a new surface.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_7_SOURCE_PACK.csv
LIMEN-SIGNAL-8A61B9F3EF0A411F	negative_evidence_candidate	gap/absence note	Local row records no Bouvet-specific procurement evidence found.	Only a bounded absence/gap note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-8A663371D0108AAD	negative_evidence_candidate	gap/absence note	Confidence-change row records no official Angola register found.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-8A6AB0F5B6189DE1	translation_review_needed	translation-sensitive register record	Dutch register record is translation-sensitive and should be reviewed with language care.	Translation-safe source-surface review only.	Route to translation-aware review of the named Dutch register record.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-8A801209FF2EDDCE	merge_existing_surface	already-modeled register	Canada AI Register record in a local table duplicates an existing modeled registry surface.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8A8BFD9BBD7918BE	reject_noise	internal manuscript digest	Claim-support digest is derived manuscript text, not a direct source surface.	Derived digest only.	Remove from the direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-8A8D101B0B88C9D6	negative_evidence_candidate	gap/absence note	Official Guinea-Bissau government root is being used as a negative check/gap note.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_6_SOURCE_PACK.csv
LIMEN-SIGNAL-8AA0D4C85126F250	negative_evidence_candidate	gap/absence note	Official Morocco procurement portal is used here for a negative register/gap check.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_6_SOURCE_PACK.csv
LIMEN-SIGNAL-8AA99D1598882C8B	merge_existing_surface	already-modeled register	Dutch Algorithm Register record duplicates an already-modeled registry surface.	Registry-record dedupe only.	Merge into the existing Dutch Algorithm Register surface.	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8AABE7AB78AB34E5	negative_evidence_candidate	gap/absence note	Weak-source warning records a bounded procurement-governance evidence limit.	Only a bounded evidence-limit note.	Keep as negative evidence; do not promote as a source surface.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-8AE0E0A043CD3C60	negative_evidence_candidate	gap/absence note	Candidate matrix delta records no substantive Grenada register evidence found.	Only a bounded absence/gap note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-8AF0FBEE6A4B3D35	merge_existing_surface	already-modeled repository	UK Algorithmic Transparency Records repository is already a modeled surface locally.	Repository-surface dedupe only.	Merge into the existing UK ATRS repository surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-8B001F3226A8E724	needs_named_source_extraction	source-pack corroboration row	Corroboration table names PubMed/NEJM surfaces but does not cleanly expose a single review packet.	Named source extraction only; no truth inference.	Extract the canonical named direct surface from the corroboration row.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-008/blocked-notice-public-index-corroboration.tsv
LIMEN-SIGNAL-8B06CE8FB8F4FBB7	reject_noise	internal country profile	Observability country profile gap flags are derived prose, not a direct source surface.	Derived profile only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-8B0CCF907A8F1857	merge_existing_surface	already-modeled register	Stratified review frame row duplicates the Canada AI Register surface already modeled locally.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/stratified-record-review-frame-20260608.csv
LIMEN-SIGNAL-8B4FFB8F4E18E78F	needs_named_source_extraction	adjacent vendor/government artifact	Artifact points toward a Glean product page but does not expose a named reviewable source surface.	Source extraction only; no substantive claim.	Extract the canonical direct source URL/title before review.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-126-20260603T0822/records.jsonl
LIMEN-SIGNAL-8B58DBBC54D53BEF	needs_named_source_extraction	wrapper/monitor entry	History wrapper names OECD.AI Policy Observatory but is not itself the direct source surface.	Extraction of the named source only.	Extract the canonical OECD.AI surface before review.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-8B6120F8E789CB0B	translation_review_needed	non-English official page	Serbia AI ethics page is a concrete official page but materially non-English.	Translation-safe source-surface review only.	Route to translation-aware review of the official Serbian page.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv
LIMEN-SIGNAL-8B6406135F121607	negative_evidence_candidate	gap/absence note	Local row records no BIOT algorithm register found in official checks.	Only a bounded absence/gap note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-8B68660EBA4471B4	reject_noise	internal pilot packet	Pilot review packet is an internal routing artifact, not a named source surface.	Internal routing artifact only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-006/pilot-review-packets-v0.1.csv
LIMEN-SIGNAL-8B8057AFC0228247	negative_evidence_candidate	gap/absence note	Official Lesotho government root is used here as a negative check/gap note.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_6_SOURCE_PACK.csv
LIMEN-SIGNAL-8B939474CF9BB746	reject_noise	raw HTML snapshot fragment	HTML image fragment does not expose a named reviewable source surface.	Snapshot fragment only.	Remove from the direct-source queue.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/doc-ibm-wxo-features-20260601__1__www.ibm.com__direct_public_fetch__58fd25ff82438611.html
LIMEN-SIGNAL-8B9A679861CAF64F	source_reviewed_candidate	official institutional report page	European Commission report page is a concrete institutional source surface.	Existence/posture of the official report page only.	Open a direct source review packet on the named EC page.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv
LIMEN-SIGNAL-8BA45152BC324960	reject_noise	internal hypothesis summary	Hypothesis-lab gap flags are derived summary text, not a source surface.	Derived summary only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json
LIMEN-SIGNAL-8BAC9D277054593F	reject_noise	internal research queue	Research queue row lists topics, not a named direct source surface.	Internal queue only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-8BB825F7B5F1EB8D	translation_review_needed	non-English official guidance page	Iceland government AI guidance page is a plausible official source with non-English evidence.	Translation-safe source-surface review only.	Route to translation-aware review of the Iceland page.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_SOURCE_REFRESH.csv
LIMEN-SIGNAL-8BC9A99B53B140DF	negative_evidence_candidate	gap/absence note	Local row records no official German national register confirmed.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-8BCBD9FAE9A0ED65	translation_review_needed	translation-sensitive official-source check	Lithuania algorithm-register note depends on local-language official-source review.	Translation-safe source-surface review only.	Route to translation-aware review of the Lithuanian official targets.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv
LIMEN-SIGNAL-8BD604B85212F95D	needs_named_source_extraction	seed note to direct source	Seed note points to a French public-algorithm accountability programme without a clean named surface row.	Named source extraction only.	Extract the canonical French programme source surface before review.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-8BD76C4C4FC470D6	source_reviewed_candidate	official strategy page	Canada AI Strategy overview page is a concrete official government source surface.	Existence/posture of the official strategy page only.	Open a direct source review packet on the named Canada strategy page.	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/global-agent-atlas-v0.1/exports/global-agent-atlas-source-documents-v0.1.csv
LIMEN-SIGNAL-8BDC4D6FD1AACFA0	reject_noise	scholarly index record	Scholarly index/DOI metadata is not a direct source surface for this queue.	Secondary literature metadata only.	Remove from the direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-8BE5796B9B1A4B9F	source_reviewed_candidate	official legal text entry	Eur-Lex regulation entry is a concrete official legal source surface.	Existence/posture of the official Eur-Lex entry only.	Open a direct source review packet on the named Eur-Lex entry.	/srv/tyche/gaia/tyche-research-vault/papers/eatf-agent-card-attestation-lab/wave3-worldcards/reference-atlas.seed.jsonl
LIMEN-SIGNAL-8BE66A77B1378049	needs_named_source_extraction	wrapper/monitor entry	History wrapper names an NCSL database but is not the direct reviewable source row.	Named source extraction only.	Extract the canonical NCSL source surface before review.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-8BFD820F1B80677D	reject_noise	manuscript prose	Preprint prose is not a direct source surface.	Internal manuscript prose only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/venue/evidence-supply-chain-jipitec-preprint-anon.md
LIMEN-SIGNAL-8C06E64C5B9BAB62	negative_evidence_candidate	gap/absence note	Gibraltar government portal row is being used as a negative source check.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-8C1AB7F04B89C992	merge_existing_surface	already-modeled register	Canada accession candidate points to the already-modeled Canada AI Register surface.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv
LIMEN-SIGNAL-8C27C6CBB86DAA0D	reject_noise	internal manuscript digest	Curated claim-support digest is derived manuscript text, not a direct source surface.	Derived digest only.	Remove from the direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T193210Z/claim-support-curated.json
LIMEN-SIGNAL-8C47AF5522C0B4C6	reject_noise	program results prose	Grand program results table is internal prose, not a direct source surface.	Internal program note only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md
LIMEN-SIGNAL-8C4B3A69669A024B	source_reviewed_candidate	official regulation	BOE Royal Decree entry is a concrete official legal source surface.	Existence/posture of the official BOE entry only.	Open a direct source review packet on the named BOE entry.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-8C4B433C007C71EE	reject_noise	internal memo text	Backup route memo wording is internal guidance, not a direct source surface.	Internal memo only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/backup-negative-route-memo-contract-v0.1.json
LIMEN-SIGNAL-8C4B60A7482C1857	merge_existing_surface	already-modeled register family	Depth-audit row points to the already-modeled Dutch Algorithm Register family.	Registry-family dedupe only.	Merge into the existing Dutch Algorithm Register surface.	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv
LIMEN-SIGNAL-8C561E9E657B43E8	source_reviewed_candidate	official regulator sandbox page	Superintendencia Financiera sandbox page is a concrete regulator source surface.	Existence/posture of the official sandbox page only.	Open a direct source review packet on the named sandbox page.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv
LIMEN-SIGNAL-8C73B3693A39EAAA	negative_evidence_candidate	gap/absence note	Weak-source warning records access limits and pending manual verification for sandbox candidates.	Only a bounded evidence-limit note.	Keep as negative evidence until a direct source packet is extracted.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-8C7429A4A53D0363	reject_noise	internal world-matrix summary	World-matrix country summary is derived prose, not a direct source surface.	Derived summary only.	Remove from the direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json
LIMEN-SIGNAL-8C7799957F5F697E	merge_existing_surface	already-modeled register	Field-coding subset row duplicates the already-modeled Canada AI Register surface.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/field-coding-subset-materialization-v0.1.csv
LIMEN-SIGNAL-8C7EBEC144C85173	negative_evidence_candidate	gap/absence note	Official Anguilla statistics page is used here as a negative algorithm-register check.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv
LIMEN-SIGNAL-8C89C1D4F3C055D2	merge_existing_surface	already-modeled register	Canada AI Register record duplicates an already-modeled registry surface.	Registry-record dedupe only.	Merge into the existing Canada AI Register surface.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-8C8BF0CC8439DC3D	negative_evidence_candidate	gap/absence note	Local row records no Sudan algorithmic-transparency register found.	Only a bounded negative-evidence note.	Keep as negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_COUNTRY_SCORE_DELTA.csv
