as_of_utc	lane_id	collision_cluster_id	bare_local_case_id	member_count	member_keys	representative_titles	authority_class_mix	evidence_tier_mix	publication_confidence_cap_mix	translation_flag_mix	jurisdiction_scope	language_scope	lineage_counting_rule	safe_join_scope_examples	manuscript_risk_state	reviewer_safe_use_now	next_smallest_publishability_move	dashboard_hook	paper_thesis_use	source_artifacts
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000001	LIMEN-000001	3	data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/security-agentic-candidates.jsonl:LIMEN-000001; results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	Global;Italy;US;CA	en;it	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000002	LIMEN-000002	3	data/cases/authoritative-candidates.jsonl:LIMEN-000002; data/cases/security-agentic-candidates.jsonl:LIMEN-000002; results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | Langflow custom_component endpoint allows public candidate record for remote code execution risk | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative_public_authority;single_public_technical_source	T1_single_public_source;T3_authoritative_source	high;low	not_translation_dependent	Global;United States	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_mixed_confidence_caps	quality-control and methods-layer join governance only; do not merge into same-event counts	route manuscript/dashboard reuse through publication-safe aggregate or normalized keys before any count, caption, or map export	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000003	LIMEN-000003	2	data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/security-agentic-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	Global;United Kingdom	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000004	LIMEN-000004	2	data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/security-agentic-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments | CrewAI JSON loader allowed arbitrary local file read on the server	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	Global;United Kingdom	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000005	LIMEN-000005	2	data/cases/authoritative-candidates.jsonl:LIMEN-000005; data/cases/security-agentic-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	United States;Global	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000006	LIMEN-000006	2	data/cases/authoritative-candidates.jsonl:LIMEN-000006; data/cases/security-agentic-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	United States;Global	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000007	LIMEN-000007	2	data/cases/authoritative-candidates.jsonl:LIMEN-000007; data/cases/security-agentic-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims | LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	United States;Global	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000008	LIMEN-000008	2	data/cases/authoritative-candidates.jsonl:LIMEN-000008; data/cases/security-agentic-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	United States;Global	en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000009	LIMEN-000009	2	data/cases/authoritative-candidates.jsonl:LIMEN-000009; data/cases/security-agentic-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language | PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	Slovenia;Global	en;sl	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-08T08:33:35Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000012	LIMEN-000012	2	data/cases/authoritative-candidates.jsonl:LIMEN-000012; data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration | Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative_public_authority;technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	Denmark;Global	da;en	block_bare_id_joins_use_file_qualified_or_global_id	normalized_record_key_canonical; bare_local_id_provenance_only	high_join_risk_namespace_collision_only	quality-control and methods-layer join governance only; do not merge into same-event counts	preserve file-qualified or normalized keys and keep bare local IDs as provenance-only strings	duplicate-cluster graph QA + denominator-guardrail card + join-safety legend	Methods/results appendix on duplicate governance, join safety, and confidence-cap discipline for Atlas tables, graph edges, and dashboard exports.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
