as_of_utc	lane_id	router_row_id	family_id	source_family	claim_role_bucket	shared_claim_targets	safe_claim_posture_now	safe_manuscript_or_dashboard_use_now	unsafe_overread_to_avoid	must_travel_with	status_change_trigger	next_smallest_nonrepeat_move	paper_thesis_use	dashboard_hook	provenance_note
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-001	sf01	AI Incident Database (AIID)	methods_or_comparator_only		Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Comparator baseline and methods support only; not yet elevated to the shared claims layer.	Do not treat as final authority on allegation truth, legal status, or completeness. Also keep source-crosswalk ceiling: public comparator with one direct machine-readable page-data route, not yet a bulk/API feed	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf01 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf01	one_snapshot_or_field-manifest_appendix_verified	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07T16:07:16Z.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-002	sf02	OECD AI Incidents Monitor (OECD AIM)	methods_or_comparator_only		Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Comparator baseline and vocabulary bridge support only; not yet elevated to the shared claims layer.	Do not treat as final authority on allegation truth, legal status, or completeness. Also keep source-crosswalk ceiling: public comparator with exact detail-page fields and vocab facets, but reuse/export remains bounded	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf02 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf02	stable_list_to_detail_discovery_route_documented	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07T16:07:16Z.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-003	sf03	AI Vulnerability Database (AVID)	indirect_shared_package_support_only		May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	Do not collapse placeholder/context rows into solved joins or complete incident counts. Also keep source-crosswalk ceiling: machine-ready vulnerability/report bridge with permissive structured reuse	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf03 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf03	second_canonical_AVID_join_or_exact_negative_match_rule_added	Treat the current AVID appendix as the reviewer-safe control surface; only add a second canonical direct join or exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Strong for technical mechanism, vulnerability metadata, and one already-populated direct security-row bridge with an explicit reviewer-safe direct-versus-placeholder control surface; still weak for general incident census or for treating placeholder rows as solved joins	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07T16:07:16Z.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-004	sf04	MITRE ATLAS	indirect_shared_package_support_only		May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	Do not claim ATLAS case-study equivalence where only technique context exists. Also keep source-crosswalk ceiling: machine-ready security graph bridge for techniques/mitigations/case studies	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf04 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf04	defensible_exact_case_study_ID_or_stronger_cautious_row_anchor_added	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins with a reviewer-safe appendix; still weak for non-security completeness or direct case-study equivalence claims	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07T16:07:16Z.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-005	sf05	MIT AI Risk Repository	methods_or_comparator_only		Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Methods/taxonomy support only; not yet elevated to the shared claims layer.	Do not use as event evidence. Also keep source-crosswalk ceiling: licensed risk-definition/taxonomy bridge, not a verified anonymous bulk-record feed	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf05 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf05	manual_risk_category_bridge_for_core_LIMEN_labels_added	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07T16:07:16Z.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-006	sf06	CSET AI Harm taxonomy / overview	methods_or_comparator_only		Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Appendix-only methods/related-work support; not a shared empirical claim family.	Do not present as ingest-ready row-level evidence. Also keep source-crosswalk ceiling: conceptual harm bridge for manual mapping, not a machine-ingest source	results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf06 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf06 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Crosswalk/source-family alignment checked against results/crosswalks/source-crosswalk-v0.1.tsv and source-map controls; access date spine 2026-06-07.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-007	sf07	Regulator and enforcement sources	direct_shared_claim_anchor	LIMEN-C-010; LIMEN-C-011	May support bounded shared empirical claims when exact cited source limits remain attached.	Core authoritative-event family for the shared authoritative package; also spills into narrower slice claims where regulator text is the top authority.	Do not generalize beyond the issuing authority text or jurisdictional scope.	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf07 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf07	one_non_US_non_UK_follow_through_row_added	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Derived from current local source-family bundle; reuse must stay within the cited family-level policy and claim-coverage controls.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-008	sf08	Court and tribunal records	direct_shared_claim_anchor	LIMEN-C-010	May support bounded shared empirical claims when exact cited source limits remain attached.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	Do not infer court text where only agency summaries or partial OCR exist.	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf08 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf08 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv ; results/boost/limen-boost-037/source-family-threshold-register.tsv ; results/boost/limen-boost-037/source-family-negative-evidence-register.tsv	open_iTutorGroup_court_document_or_materially_different_public_exact_caption_source_added	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Derived from current local source-family bundle; reuse must stay within the cited family-level policy and claim-coverage controls.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-009	sf09	Public-sector registers and procurement	direct_shared_claim_anchor	LIMEN-C-012	May support bounded shared empirical claims when exact cited source limits remain attached.	Core public-sector disclosure family for the shared public-sector package.	Do not infer capability, legality, impact, or exact buyer-side linkage beyond the cited record.	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf09 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf09 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv ; results/boost/limen-boost-037/source-family-threshold-register.tsv ; results/boost/limen-boost-037/source-family-negative-evidence-register.tsv	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Derived from current local source-family bundle; reuse must stay within the cited family-level policy and claim-coverage controls.
2026-06-07T18:02:12Z	limen-boost-037	SFCR-037-010	sf10	Company and platform notices	indirect_shared_package_support_only	LIMEN-C-007	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Supports the security shared claim through remediation and disclosure-timing context, but remains below independent-event authority.	Do not rely on issuer notices alone for full incident characterization.	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf10 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf10	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Remediation timeline overlay; issuer-vs-independent-source comparison table.	Derived from current local source-family bundle; reuse must stay within the cited family-level policy and claim-coverage controls.
