signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-B6D514D569336D96	merge_existing_surface	registry_surface_duplicate	Local row duplicates the already-modeled Helsinki AI Register surface.	dedupe to canonical surface existence only	merge into canonical source record and avoid re-promotion	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv
LIMEN-SIGNAL-B6DD09CC94BB1BEB	negative_evidence_candidate	search_negative_or_gap_note	Local row records a no-source-found, weak-source, or evidence-limit result rather than a direct source surface.	source-limited negative or gap evidence only	retain as negative evidence pointer, not as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-B6EAD01E4DCAC554	reject_noise	internal_derived_artifact	Local row is an internal draft, config, script, matrix, or other derived artifact rather than a direct source surface.	no direct-source claim	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-tests-v0.2.3.csv
LIMEN-SIGNAL-B6EE28A9A443D644	merge_existing_surface	registry_surface_duplicate	Local row duplicates the already-modeled Helsinki AI Register surface.	dedupe to canonical surface existence only	merge into canonical source record and avoid re-promotion	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-B6F3B0C4DAB11735	reject_noise	internal_derived_artifact	Local row is an internal draft, config, script, matrix, or other derived artifact rather than a direct source surface.	no direct-source claim	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SUMMARY.md
LIMEN-SIGNAL-B6F3D96FCBA78888	reject_noise	internal_derived_artifact	Local row is an internal draft, config, script, matrix, or other derived artifact rather than a direct source surface.	no direct-source claim	drop from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-001/source-family-authority-gate-refresh-20260612T1520.tsv
LIMEN-SIGNAL-B6F41BAF31C8DBB5	negative_evidence_candidate	search_negative_or_gap_note	Local row records a no-source-found, weak-source, or evidence-limit result rather than a direct source surface.	source-limited negative or gap evidence only	retain as negative evidence pointer, not as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-B6FDD24EA1E7A3B7	negative_evidence_candidate	search_negative_or_gap_note	Local row records a no-source-found, weak-source, or evidence-limit result rather than a direct source surface.	source-limited negative or gap evidence only	retain as negative evidence pointer, not as direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-B6FF373110DD10F1	merge_existing_surface	canonical_source_duplicate	Local note points to Retraction Watch, which is already named more directly elsewhere in the batch.	dedupe to canonical surface existence only	merge into canonical source record and avoid re-promotion	/srv/tyche/gaia/tyche-research-vault/notes/nekropolis-explainer-ru-2026-05-22.md
LIMEN-SIGNAL-B704C4428DBECAC9	merge_existing_surface	registry_surface_duplicate	Local row duplicates an already-modeled canonical source surface.	dedupe to canonical surface existence only	merge into canonical source record and avoid re-promotion	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-4eab32bd3c3812da.bin
