queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00657	LIMEN-SIGNAL-BC39577727CA3589	direct_source_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1890	PIANOo is a named official procurement surface but the local evidence is Dutch-language and translation-sensitive	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00658	LIMEN-SIGNAL-BD5CCC444AAF6C39	direct_source_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	148	ETDA guidance row is a plausible direct official source but the local evidence is materially Thai-language	must resolve direct public source before promotion	route to translation-aware source review
BTR-00659	LIMEN-SIGNAL-BDB9A70D91333379	direct_source_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	72	Ålands landskapsregering draft source is official but materially Swedish-language and translation-sensitive	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00660	LIMEN-SIGNAL-BDCE302D7F27A3D1	direct_source_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1649	Digdir guidance page is a named official source but the local evidence is Norwegian-language and translation-sensitive	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	route to translation-aware source review
BTR-00661	LIMEN-SIGNAL-BDF3C87144648F86	translation_sensitive_official_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	56	Local metadata indicates a multilingual official source but the surface is language-sensitive.	surface existence only pending translation-sensitive review	queue translation-aware source review
BTR-00662	LIMEN-SIGNAL-BEBE4CEEAB6D3313	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	280	Names official Ísland.is/Persónuvernd sandbox sources and is translation-sensitive.	surface existence only pending translation-sensitive review	queue translation-aware source review
BTR-00663	LIMEN-SIGNAL-BEE43A6C391AA661	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1129	Belarus legal-portal decree page is a concrete official source but likely translation-sensitive.	surface existence only pending translation-sensitive review	queue translation-aware source review
BTR-00664	LIMEN-SIGNAL-BF0CD5EBE5F8DB5A	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1035	SPDP Resolution 2026-0009-R is a concrete official resolution but the underlying legal source is Spanish-language and translation-sensitive.	surface existence only pending translation-sensitive review	queue translation-aware source review
BTR-00665	LIMEN-SIGNAL-BF25BBA62BC6833A	translation_sensitive_official_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/persian-urdu-language-records.jsonl	18	Local metadata indicates a Persian or Urdu official source surface requiring translation-sensitive review.	surface existence only pending translation-sensitive review	queue translation-aware source review
BTR-00666	LIMEN-SIGNAL-BF568670624A7185	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_CANDIDATE_MATRIX_DELTA.csv	91	SPDP Resolution 2026-0009-R is a concrete official Spanish-language legal source.	surface existence only pending translation-sensitive review	queue translation-aware source review
