rule_id	lane_id	scoring_layer	target_object	source_family_or_signal	authority_class	default_weight_0_to_5	duplicate_clustering_role	confidence_ceiling_without_independent_corroboration	upgrade_condition	minimum_fields_or_keys	paper_thesis_use	dashboard_hook	uncertainty_or_limit	evidence_basis_paths
SC-001	limen-boost-011	source_authority	case_or_source_record	Regulator and enforcement sources	authoritative_public_authority	5	authority anchor inside duplicate cluster; can serve as canonical cluster representative when scope matches	medium_to_high	Independent corroboration or source text directly supporting core facts can justify high confidence and T3	jurisdiction; authority_name; document_title; url_or_path; access_date; language; quoted_finding; affected_actor_or_system	Supports hostile-reviewer claim discipline by separating authoritative confirmation from weaker narrative coverage	authority-weighted duplicate-cluster graph	Authority documents may still be narrow, procedural, or incomplete about technical facts	methods/evidence-protocol-v0.1.md; sources/public-source-families-v0.1.tsv; claims.md
SC-002	limen-boost-011	source_authority	case_or_source_record	Court and tribunal records	authoritative_adjudicative_or_procedural_record	5	authority anchor; strong cluster node for procedural posture, sanctions, or fact findings	medium_to_high	Use high confidence only for the facts actually stated in the judgment/order/filing, not for surrounding media embellishment	jurisdiction; court; case_number_if_public; document_title; procedural_posture; url_or_path; access_date; language	Feeds thesis/paper discussion of legal-procedural edge cases while preserving narrow claim scope	case-cluster timeline with court-confirmed milestones	Court visibility is uneven and should not be treated as frequency evidence	methods/evidence-protocol-v0.1.md; taxonomy/taxonomy-v0.1.md; claims.md
SC-003	limen-boost-011	source_authority	case_or_source_record	Company and platform notices	interested_party_self_report	3	cluster bridge when linking official response, remediation, or admission to media and technical reporting	medium	Require independent corroboration or authoritative follow-up before using as strongest support for contested facts	provider_or_company; notice_title; url_or_path; access_date; language; remediation_statement; scope_limit	Useful for a response/remediation table without overstating truth of self-reporting	response-layer overlay on duplicate clusters	Self-reports may minimize severity or selectively frame responsibility	README.md; methods/evidence-protocol-v0.1.md; sources/public-source-families-v0.1.tsv
SC-004	limen-boost-011	source_authority	case_or_source_record	Academic and research-integrity sources	scholarly_or_editorial_record	4	cluster stabilizer for research-integrity or benchmark-contamination cases	medium_to_high	Peer-reviewed or editorial notices can support high confidence for narrowly described integrity/process facts	venue_or_editor; document_title; url_or_path; access_date; language; integrity_issue_type; citation_anchor	Supports dataset/method paper argument that some edge cases are better captured as research-integrity anomalies	research-integrity authority matrix	Scholarly discussion may analyze rather than verify underlying real-world events	methods/evidence-protocol-v0.1.md; taxonomy/taxonomy-v0.1.md; sources/public-source-families-v0.1.tsv
SC-005	limen-boost-011	source_authority	case_or_source_record	Security research and advisories; AI vulnerability/security databases	technical_intermediary_or_vendor_advisory	4	technical cluster anchor for security_risk and agentic_control_failure cases	medium	Independent replication, multi-source advisory convergence, or official/vendor confirmation can raise confidence and sometimes T4	advisory_id_or_url; publisher; access_date; language; affected_system; mitigation_summary; dangerous_detail_redaction_flag	Enables a reviewer-readable bridge from security advisories to LIMEN categories without reproducing exploit detail	security/agentic cluster heatmap	Technical advisories may omit deployment impact or affected-user scale	README.md; methods/evidence-protocol-v0.1.md; taxonomy/taxonomy-v0.1.md; sources/public-source-families-v0.1.tsv
SC-006	limen-boost-011	source_authority	case_or_source_record	AI incident databases	curated_incident_aggregator	3	crosswalk node and duplicate-detection helper across external IDs	medium	Use for discovery and crosswalk support; promote confidence only when underlying cited sources are retrieved and assessed	aiid_or_other_external_id; title; event_date_if_known; source_links; jurisdiction_if_known; taxonomy_tags	Supports the core LIMEN claim that residual cases can be compared against existing incident corpora rather than asserted in the abstract	external-database overlap graph	Aggregator records inherit the strengths and weaknesses of their underlying citations	README.md; claims.md; sources/public-source-families-v0.1.tsv; publication-goal-card-current.md
SC-007	limen-boost-011	source_authority	case_or_source_record	Public-sector registers and procurement	administrative_metadata_or_disclosure_surface	2	metadata cluster seed linking procurement, register, and later authority records	low_to_medium	Upgrade confidence only after corroborating institution, vendor, audit, register-detail, or authority source is linked	jurisdiction; institution; register_or_tender_id; record_title; url_or_path; access_date; language; ai_relevance_note	Supports bounded claims about observability gaps, procurement theater, and disclosure structure	jurisdiction/source-surface matrix with upgrade paths	Presence or absence of a register/tender entry does not prove deployment quality, legality, or completeness	methods/evidence-protocol-v0.1.md; sources/public-source-families-v0.1.tsv; publication-goal-card-current.md
SC-008	limen-boost-011	source_authority	case_or_source_record	News and investigative reporting	journalistic_intermediary	2	lead-expansion node; useful for discovering aliases, dates, and linked public documents	low_to_medium	Require either independent reporting convergence or a stronger authority source before high confidence claims	outlet; article_title; journalist_if_public; url_or_path; access_date; language; jurisdiction; linked_document_note	Useful for narrative context and multilingual discovery while maintaining visibility-bias caution	lead-to-authority conversion funnel	Media volume is visibility, not incident frequency; legal or technical claims may remain disputed	claims.md; methods/evidence-protocol-v0.1.md; sources/public-source-families-v0.1.tsv
SC-009	limen-boost-011	source_authority	case_or_source_record	Social/web lead sources	unverified_public_lead	1	weak cluster seed only; never canonical representative	low	Upgrade only if independently corroborated by stronger public sources; otherwise remain T0_lead	url_or_post_id; platform; access_date; language; summarized_claim; corroboration_queue_state	Preserves discovery without contaminating published descriptive claims	queue-only layer in evidence-tier funnel	High false-positive and rumor risk; do not cite as case evidence	methods/evidence-protocol-v0.1.md; taxonomy/taxonomy-v0.1.md
SC-010	limen-boost-011	source_authority	case_or_source_record	Creative/absurd edge sources	residual_discovery_surface	1	weak cluster seed for normative or residual anomalies	low	Needs corroboration from news, official, company, or scholarly source before any strong confidence assignment	url_or_path; source_type; access_date; language; anomaly_note; candidate_limen_labels	Supports the residual-category queue without pretending that novelty itself is evidence	residual-case discovery queue	These signals are useful for atlas novelty but are especially vulnerable to anecdote and miscontext	README.md; taxonomy/taxonomy-v0.1.md; sources/public-source-families-v0.1.tsv
DC-011	limen-boost-011	duplicate_clustering	case_record_cluster	cross-source duplicate assessment	cross_cutting_cluster_rule	4	Compute provisional duplicate likelihood from shared event window, jurisdiction, actor overlap, system/provider overlap, crosswalk IDs, and near-duplicate title/summary patterns; select the highest-authority node as provisional cluster representative	no_change	Promote from provisional cluster to stable cluster only after human-readable rationale is stored in review notes or a cluster ledger row	event_dates; jurisdictions; actors; system_context.model_or_provider; title; summary; crosswalk ids; provenance.source_ids; duplicate_cluster_id	Operationalizes the required duplicate-cluster graph and reduces reviewer concern about double counting across media, database, and authority surfaces	duplicate-cluster graph with representative-node flag	No purely lexical rule is sufficient; multilingual aliasing and evolving incident descriptions can split or over-merge cases	schema/limen-case.schema.json; methods/evidence-protocol-v0.1.md; publication-goal-card-current.md; attestation/evidence-envelope-v0.1.md
CC-012	limen-boost-011	confidence_scoring	case_record	cross-cutting confidence gate	cross_cutting_case_rule	5	Confidence should never exceed what the strongest non-duplicate evidence node supports; duplicate count alone is not a confidence upgrade	ceiling_rule	High confidence normally requires either T3 authority support or convergent independent T2 support plus stable duplicate resolution; medium confidence fits T1/T2 records with coherent provenance; low confidence remains for T0 or unresolved disputes	evidence_tier; authority_class_of_best_source; independent_source_count; dispute_flag; machine_translation_flag; duplicate_resolution_state; provenance.review_notes	Creates a reviewer-facing explanation for the schema's confidence field and helps avoid inflating weak but repeated public claims	confidence-by-tier dashboard card and cluster-level uncertainty legend	Machine translation, self-reporting, and aggregator chaining can all falsely simulate corroboration if source independence is not checked	claims.md; methods/evidence-protocol-v0.1.md; taxonomy/taxonomy-v0.1.md; schema/limen-case.schema.json; publication-goal-card-current.md
