query	category_key	source_residue_path	source_line	root_bucket	relation_to_frontier	recommended_handling	url_extraction_mode	extracted_public_url_count	public_url	live_status	final_url	title_or_local_anchor	surface_type	case_specificity	public_anchor_lift_decision	reason
synthetic identity	deepfake_or_synthetic_identity	/srv/tyche/gaia/tyche-research-vault/papers/brokered-trust/evaluation/tdsc-eval-01/local-asic-xades-lta.sh	9	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	0		not_applicable		local method/manuscript residue; no public URL in bounded context or canonical fallback	local_only_context	none	not_liftable_from_current_residue	No separately citable public URL is exposed in the cited residue context.
synthetic identity	deepfake_or_synthetic_identity	/srv/tyche/gaia/tyche-research-vault/papers/brokered-trust/open-source-package/brokered-trust-review-supplement-2026-06-01/evaluation/tdsc-eval-01/local-asic-xades-lta.sh	9	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	0		not_applicable		local method/manuscript residue; no public URL in bounded context or canonical fallback	local_only_context	none	not_liftable_from_current_residue	No separately citable public URL is exposed in the cited residue context.
synthetic identity	deepfake_or_synthetic_identity	/srv/tyche/gaia/tyche-research-vault/papers/ai-act-eidas-synthetic-lab/cases/case-04-post-market-monitoring/paper/source-audit-notes.md	29	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	0		not_applicable		local method/manuscript residue; no public URL in bounded context or canonical fallback	local_only_context	none	not_liftable_from_current_residue	No separately citable public URL is exposed in the cited residue context.
AI vulnerability	security_risk	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/04-quality-management-system-guideline.txt	607	atlas_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	0		not_applicable		local method/manuscript residue; no public URL in bounded context or canonical fallback	local_only_context	none	not_liftable_from_current_residue	No separately citable public URL is exposed in the cited residue context.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/partner-program/project-quiltworks/	200	https://www.crowdstrike.com/en-us/partner-program/project-quiltworks/	AI Vulnerability Assessment and Management | CrowdStrike Project QuiltWorks	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/services/ai-security-services/	200	https://www.crowdstrike.com/en-us/services/ai-security-services/	AI Security Services | CrowdStrike	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	scholarly_or_manuscript_context	Context only unless it points to a separately citable public source.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/services/ai-security-services/shadow-ai-visibility/	200	https://www.crowdstrike.com/en-us/services/ai-security-services/shadow-ai-visibility/	CrowdStrike Shadow AI Visibility Service | Reduce AI Footprint Risk	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	manual_review_needed	Inspect manually before reuse.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/partner-program/project-quiltworks/	200	https://www.crowdstrike.com/en-us/partner-program/project-quiltworks/	AI Vulnerability Assessment and Management | CrowdStrike Project QuiltWorks	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	manual_review_needed	Inspect manually before reuse.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/services/ai-security-services/	200	https://www.crowdstrike.com/en-us/services/ai-security-services/	AI Security Services | CrowdStrike	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/crowdstrike.com-jina-19e18d02fc2a2bd9.txt	57	gaia_repo_or_import	manual_review_needed	Inspect manually before reuse.	match_context_plusminus2	3	https://www.crowdstrike.com/en-us/services/ai-security-services/shadow-ai-visibility/	200	https://www.crowdstrike.com/en-us/services/ai-security-services/shadow-ai-visibility/	CrowdStrike Shadow AI Visibility Service | Reduce AI Footprint Risk	generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
AI vulnerability	security_risk	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/doc-4f93e98b2f89f35b2508649f__1__www.servicenow.com__direct_public_fetch__2c611bd2dc966bf6.html	10835	gaia_repo_or_import	manual_review_needed	Inspect manually before reuse.	document_canonical_fallback	1	https://www.servicenow.com/products/ai-agents.html	fetch_error:TimeoutError			generic_product_or_service_page	generic_program_or_product_surface	do_not_reopen_frontier_on_this_url_alone	Reachable or known public surface exists, but it is a generic program/service/product page rather than a row-level authority, procurement, or case-specific anchor.
