queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02913	LIMEN-SIGNAL-761022D70226767C	country_gap_no_parent_source		Kuwait (KW)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:20989; Kuwait (KW); top_sources target I05; gap_flags=AI_LAW_NOT_FOUND;NO_AI_AUTHORITY_FOUND;NO_ALGORITHM_REGISTER_FOUND;NO_AI_PROCUREMENT_RULES_FOUND;NO_AI_LIFECYCLE_EVIDENCE_REGIME_FOUND;CAPT_PORTAL_CHALLENGE;CYBER_STRATEGY_STALE_OR_UNVERIFIED	Country profile/gap context has no explicit I05 parent URL in relevant local top_sources.	processing-state triage only; no reviewed-core promotion or substantive finding	Remove from direct-source queue or re-queue only after a named public source URL is identified locally.
BPSE-02914	LIMEN-SIGNAL-78672B4B98DE79EA	source_url_extracted	https://turkmenistan.gov.tm/ru/post/23379/zakon-turkmenistana-%3Cbr%3Eo-tenderakh-na-postavku-tovarov-vypolnenie-rabot-okazanie-uslug-dlya-gosudarstvennykh-nuzhd/	Law of Turkmenistan on tenders for state needs — Turkmenistan Altyn Asyr / State News Agency	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24102; Turkmenistan (TM); top_sources target I08; top_sources[I08]	Local atlas top_sources has one explicit I08 URL for Turkmenistan (TM).	processing-state triage only; no reviewed-core promotion or substantive finding	Queue this extracted public URL for direct source review only.
BPSE-02915	LIMEN-SIGNAL-7C3BD0090C7A12A4	country_gap_no_parent_source		Uzbekistan (UZ)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24408; Uzbekistan (UZ); top_sources target I08; gap_flags=I05_no_algorithm_register_found;I08_no_AI_specific_procurement_rules_found;I10_no_public_attestation_or_post_market_monitoring_stack_found;I04_AI_standards_participation_unverified	Country profile/gap context has no explicit I08 parent URL in relevant local top_sources.	processing-state triage only; no reviewed-core promotion or substantive finding	Remove from direct-source queue or re-queue only after a named public source URL is identified locally.
BPSE-02916	LIMEN-SIGNAL-7CF1C934B93F3B08	country_gap_no_parent_source		Taiwan (TW)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24256; Taiwan (TW); top_sources target I08; gap_flags=ai_law_status_needs_second_pass;sandbox_not_verified;standards_ai_participation_unverified;no_algorithm_register_found;ai_evidence_lifecycle_not_found	Country profile/gap context has no explicit I08 parent URL in relevant local top_sources.	processing-state triage only; no reviewed-core promotion or substantive finding	Remove from direct-source queue or re-queue only after a named public source URL is identified locally.
BPSE-02917	LIMEN-SIGNAL-7E350AC7CD347889	source_url_extracted	https://npc.gov.pg/tenders/	National Procurement Commission tenders and procurement processes — National Procurement Commission	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:36604; Papua New Guinea (PG); top_sources target I08; top_sources[I08]	Local atlas top_sources has one explicit I08 URL for Papua New Guinea (PG).	processing-state triage only; no reviewed-core promotion or substantive finding	Queue this extracted public URL for direct source review only.
BPSE-02918	LIMEN-SIGNAL-800386D292FD92AA	source_url_extracted	https://www.cpbn.com.na	Central Procurement Board of Namibia portal — Central Procurement Board of Namibia	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:32032; Namibia (NA); top_sources target I08; top_sources[I08]	Local atlas top_sources has one explicit I08 URL for Namibia (NA).	processing-state triage only; no reviewed-core promotion or substantive finding	Queue this extracted public URL for direct source review only.
BPSE-02919	LIMEN-SIGNAL-80207F0ED1027F29	source_url_extracted	https://etendering.tenderboard.gov.om/product/publicDash	eTendering public dashboard — Tender Board Sultanate of Oman	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:22727; Oman (OM); top_sources target I08; top_sources[I08]	Local atlas top_sources has one explicit I08 URL for Oman (OM).	processing-state triage only; no reviewed-core promotion or substantive finding	Queue this extracted public URL for direct source review only.
BPSE-02920	LIMEN-SIGNAL-816FBFB3426A39F4	parent_source_wrapper		Liberia (LR)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:31119; Liberia (LR); top_sources target I08; multiple I08 top_sources	Local profile exposes multiple candidate I08 URLs: Legal Documents (Public Procurement and Concessions Commission); Standard Templates (Public Procurement and Concessions Commission).	processing-state triage only; no reviewed-core promotion or substantive finding	Human/source-reviewer should choose the parent source surface before direct review.
BPSE-02921	LIMEN-SIGNAL-85D2CD6AE2969135	parent_source_wrapper		Zimbabwe (ZW)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:33557; Zimbabwe (ZW); top_sources target I08; multiple I08 top_sources	Local profile exposes multiple candidate I08 URLs: Procurement Regulatory Authority of Zimbabwe home (PRAZ); Zimbabwe electronic Government Procurement System (PRAZ).	processing-state triage only; no reviewed-core promotion or substantive finding	Human/source-reviewer should choose the parent source surface before direct review.
BPSE-02922	LIMEN-SIGNAL-87556A12E584C1C6	source_url_extracted	https://eprocurement.gov.tj/ru/searchanno	Public procurement portal and electronic digital signature documentation — State public procurement portal	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:23737; Tajikistan (TJ); top_sources target I08; top_sources[I08]	Local atlas top_sources has one explicit I08 URL for Tajikistan (TJ).	processing-state triage only; no reviewed-core promotion or substantive finding	Queue this extracted public URL for direct source review only.
