field_or_block	limen_function	minimum_live_requirement	related_external_pattern	claim_supported_now	forbidden_overread	machine_enforcement_state	shared_use
core_identifiers	tie one receipt to one bounded processing event in one project/lane/run	envelope_id envelope_type profile_version generated_at project_id lane_id run_id	portable attestation statement metadata	LIMEN can point to one concrete observation-or-processing event at a stated time under a named profile.	Do not read stable identifiers as external witnessing, official registration, or stronger authority than the underlying source package.	full_schema_enforced	Field dictionary for methods appendix and reproducibility note
subject_ref	declare exactly which source case cluster crosswalk row or artifact the receipt is about	kind plus id and any path_or_uri/title/version/case_id needed for context	RATS evidence subject; VC subject; SCITT statement subject	The receipt can state which bounded research object was observed or transformed.	Do not flatten source case cluster and artifact subjects into one undifferentiated truth claim.	full_schema_enforced	Reviewer-safe subject model table and dashboard provenance legend
inputs_block	preserve provenance of captured sources normalized text or prior records	at least one input object when the processing step depends on prior material	RATS evidence inputs; C2PA-observed source artifact; SCITT statement payload source	LIMEN can show what public/open material or prior local artifact informed the step.	Do not treat presence of an input locator/hash as proof that the source allegation is true or authoritative enough by itself.	partially_schema_enforced	Methods paragraph on source-to-receipt traceability
outputs_block	bind emitted case rows cluster rows figures tables bundles or notes to the receipt	at least one output object when the step emits a new artifact; required for published and superseded states	RATS evidence outputs; VC subject/output binding; SCITT artifact digest	LIMEN can show what derived record or artifact was produced from stated inputs.	Do not treat derived artifact existence as proof of substantive correctness or publication witness beyond the stated output boundary.	partially_schema_enforced	Artifact-derivation appendix and dashboard provenance caption
assertions_block	state narrow typed process claims about observation extraction classification review clustering or derivation	at least one typed assertion referencing bounded supporting inputs/outputs	attestation result content; VC claim set	LIMEN can make small process statements such as tier assignment source observation or artifact derivation.	Do not write assertions that claim truth legality compliance certification safety or final authenticity.	shape_schema_enforced_wording_human_review	Hostile-reviewer claim-ceiling table
review_status_and_notes	record bounded appraisal state and explicit cautions	mandatory for reviewed receipts; optional elsewhere	RATS verifier/appraisal context	LIMEN can show that a receipt or derived row was lane-checked human-reviewed or flagged for revision.	Do not present review completion as legal validation factual validation or universal correctness.	full_schema_enforced_for_reviewed_action	Review-discipline methods note and limitations sidebar
transparency_block	reserve or evidence publication-log state for one published artifact	real log system receipt URI receipt hash and proof state before any logged/proof claim	SCITT or transparency receipt	Only a real receipt can justify saying one artifact was submitted to and possibly verified in a transparency system.	Do not describe empty or placeholder transparency metadata as log inclusion non-repudiation or third-party endorsement.	full_schema_enforced_for_live_states	Standards/interoperability ladder and Route C future-work note
vc_block	reserve or evidence portable credential packaging for process-only claims	real credential_id issuer and issued status before any issuance claim	Verifiable Credential	Only a real issued VC can justify saying a portable issuer-bound process receipt exists.	Do not convert VC draft wiring or issuance into certification compliance proof truth or legal validation.	full_schema_enforced_for_live_states	Interoperability appendix row
signature_placeholders	reserve or evidence detached-signature integrity state for one published artifact	real signature ref scheme and signed_verified plus trust anchor ref and verifier note before verified-signature claim	detached signature / signed statement	Only a verifier-backed signed artifact can justify one bounded release-integrity statement.	Do not treat placeholder or unverified signature metadata as a completed cryptographic witness or trusted signer identity claim.	full_schema_enforced_for_live_states	Release-hardening ladder and limitations note
c2pa_relevance	record whether source-side content credentials matter to the observed case	real inspectable source-side provenance signal before any C2PA-present statement	C2PA content provenance	LIMEN may describe C2PA as optional source-side provenance context when the source actually exposes it.	Do not treat C2PA presence as final authenticity legality authorship or harm resolution.	prose_plus_example_discipline	Synthetic-media provenance methods note
claim_scope_and_non_claims	lock every receipt to observation_and_processing_only and enumerate excluded stronger claims	claim_scope const plus non_claims array	credential policy boundary; statement-policy boundary	The package can safely say it attests observation and processing only.	Do not let any external packaging layer silently mutate the non-claim ceiling around truth legality compliance certification safety completeness or authenticity finality.	full_schema_enforced_core_plus_prose_for_contextual_expansion	Shared manuscript/dashboard/thesis caution sentence
dashboard_hooks	declare which observatory view can consume a receipt without widening the substantive claim	controlled hook vocabulary when present	downstream artifact-routing metadata	LIMEN can route receipts into the attestation timeline evidence funnel source map or other bounded views.	Do not treat hook presence as validation that the downstream chart is correct or publication-ready by itself.	full_schema_enforced_when_present	Dashboard provenance wiring and tooltip legend
