as_of_utc	family_id	source_family	priority	coverage_class	saturation_state	route_rank	thin_family_flag	authority_profile_short	access_method	reuse_constraints	language_scope	jurisdiction_scope	update_cadence	likely_case_types	saturation_metric	paper_safe_role_now	next_verification_move	dashboard_hook	reviewer_safe_interpretation
2026-06-08T06:16:55Z	sf01	AI Incident Database (AIID)	P0	comparator_methods_seed	seeded	13	no	Curated incident database with strong discovery and comparison value, but not a final authority for legal status or allegation truth.	Public cite pages, public snapshot surfaces, and bounded route inspection.	Do not mirror weekly snapshots or automate bulk pulls until snapshot semantics and rate/terms posture are documented.	English-facing interface with global incident coverage.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident reports, deployment failures, misuse, and controversy traces.	Fresh bounded live check still returns public cite-page JSON with visible cite-path/template markers; reuse posture remains comparator-only until a stable field-manifest route is documented.	Comparator baseline and methods support only; not yet elevated to the shared claims layer.	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims.
2026-06-08T06:16:55Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	comparator_methods_seed	seeded	12	no	Official institutional monitor with strong policy-facing authority for incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations.	Public incident pages and unauthenticated JSON facet endpoints under the OECD incidents service.	Keep use metadata-first and citation-oriented until list/detail discovery mechanics and rights posture are documented more fully.	English-facing interface with international article references and platform vocabularies.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident summaries, article-linked records, and policy-facing monitoring rows.	Fresh bounded live check still returns public incident-detail JSON with visible ID/title fields; rights posture remains cautious and metadata-first.	Comparator baseline and vocabulary bridge support only; not yet elevated to the shared claims layer.	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims.
2026-06-08T06:16:55Z	sf03	AI Vulnerability Database (AVID)	P0	structured_security_context	seeded	9	no	High structured technical authority for public AI vulnerability/report metadata when exact IDs and references are preserved.	Public website plus openly downloadable GitHub raw JSON and repository contents.	MIT-licensed structured metadata lowers reuse friction, but import should stay bounded to IDs, dates, metrics, references, and linked report/vulnerability objects.	Primarily English technical reporting.	Global.	Rolling/continuous.	AI vulnerabilities, security edge cases, technical misuse, and failure reports.	Fresh bounded live check still returns public raw report JSON with stable AVID report ID/date fields; permissive structured metadata posture remains intact.	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join or exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Strong for technical mechanism, vulnerability metadata, and exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.
2026-06-08T06:16:55Z	sf04	MITRE ATLAS	P0	structured_security_context	seeded	8	no	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations.	Public website plus Apache-licensed GitHub YAML/data distribution.	Apache-2.0 lowers reuse friction for technique/mitigation/case-study metadata; do not overstate case studies as exhaustive incident coverage.	English technical/security knowledge base.	Global.	Periodic framework/data releases.	Adversarial techniques, mitigations, case-study relations, and agentic/security anomaly structure.	Fresh bounded live check still returns public distributed ATLAS YAML; the deprecation banner remains visible and `version: 5.6.0` still appears, so structured reuse stays valid but version status must travel with citations.	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.
2026-06-08T10:56:24Z	sf05	MIT AI Risk Repository	P0	comparator_methods_seed	seeded	10	no	Secondary but important structured authority for risk and harm definitions; not an incident-truth source.	Public website and navigator-style interface.	Use as attributed taxonomy/definition layer only; verified Google Sheets workbook export allows bounded structured tab/slice reuse, but mirror-specific access and row-level event equivalence claims remain out of scope.	English-facing taxonomy surface.	Global / framework-defined.	Periodic revisions.	Risk classes, hazard definitions, and residual-category comparison support.	Fresh bounded live check plus crosswalk verification now confirms the public /risks page exposes CC BY 4.0 dataset metadata and at least one anonymously downloadable Google workbook/CSV export, while the named SharePoint mirror remains sign-in gated.	Methods/taxonomy support only; now safe for bounded structured workbook/taxonomy overlay description, but still not elevated to the shared claims layer.	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep mirror-specific access asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured-workbook overlay description, but remains invalid as event evidence or blanket mirroring permission.
2026-06-08T06:16:55Z	sf06	CSET AI Harm taxonomy / overview	P1	comparator_methods_seed	seeded	5	no	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence.	Public Georgetown CSET article surface plus exact public PDF/README anchors captured in local bridge work.	Use citation/manual mapping only; no explicit open machine-reuse grant or row-level public dataset route was verified locally.	English.	Global / conceptual.	Irregular article/report updates.	Harm framing, interpretive taxonomy support, and related-work positioning.	Fresh bounded live check still returns the public CSET overview article shell; the family remains manual-citation-only with no improved permissive reuse signal.	Appendix-only methods/related-work support; not a shared empirical claim family.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.
2026-06-08T08:52:47Z	sf07	Regulator and enforcement sources	P0	authoritative_shared_anchor	seeded	6	no	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction.	Official regulator portals, enforcement pages, press releases, decisions, and linked official documents.	Public-document use only; preserve original-language nuance and narrow posture-based wording.	Multilingual depending on regulator.	Jurisdiction-specific; collectively global.	Irregular, high-value discrete updates.	Enforcement actions, deceptive-marketing cases, privacy breaches, official warnings, and procedural escalations.	11-row shared authoritative core now counts 8 direct-document-grade rows across Italy, the United States, the United Kingdom, and promoted FTC non-finance official rows, while the court-family blocker remains tracked separately under sf08.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response and detector-governance claims.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.
2026-06-08T17:12:57Z	sf08	Court and tribunal records	P0	route_b_blocker_family	seeded	1	yes	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public.	Public court databases, judgment portals, tribunal repositories, or official DOJ/agency-linked docket materials.	Respect access limits; no scraping behind logins, paywalls, sealed, or private attachments.	Highly multilingual.	Jurisdiction-specific.	Event-driven / irregular.	Litigation, injunctions, complaints, decrees, judgments, and review of automated/public AI decisions.	1 DOJ-linked indictment PDF remains image-only on this host with stable partial caption OCR (`25 Cr.` only) and 1 EEOC filing/settlement pair still exposes Civil Action No. 1:22-cv-02565 only at agency-summary level; bounded EEOC site search, named public mirrors, CourtListener, and later Bing browser-UI discovery probes still yielded no open court-originating complaint, decree, docket entry, or judicial order text.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.
2026-06-08T20:00:37Z	sf09	Public-sector registers and procurement	P1	route_b_blocker_family	seeded	2	yes	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated.	Official registers, procurement portals, tender notices, award pages, contract pages, and public-body project pages.	Metadata-first extraction; do not infer deployment, legality, or AI capability beyond source text.	Often local-language first.	Country, regional, and municipal public-sector jurisdictions.	Periodic / batch releases varying by portal.	Algorithm registers, procurement anomalies, AI system disclosures, and public deployment surfaces.	2 municipal public AI register rows still anchor the family, but the bounded non-register side now also includes 1 Slovenian police-plus-CORDIS official companion pair, 2 UK regulator-document packages, 1 Danish Datatilsynet governance row plus 2 exact-row Retsinformation legal-basis companions whose readable official legal text is now locally verified on this host, 1 official UFSN taskforce-report companion, 1 Helsinki same-buyer procurement companion, and Amsterdam's explicit same-buyer Azure/Public Cloud family bridge; a fresh bounded same-lineage official-route probe across Datatilsynet outbound links, su.dk / ufm.dk / ufsn.dk search shells, and udbud.dk's JavaScript-gated procurement shell yielded no later Danish operational/procurement/implementation/outcome document. Buyer-side/public-impact proof is still missing.	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, exact-row readable legal-text verification, and exact-row official planning-document subtypes.	Use the new no-yield audit to avoid replaying the same Datatilsynet outbound links and official site-search shells; count progress only if one materially different Amsterdam/Helsinki buyer-side or public-impact companion lands, or one later Danish operational/procurement/implementation/evaluation document appears from a genuinely different public route.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note; rare-language legal-text readability control.	Useful for public-sector disclosure heterogeneity, bounded official-companion depth, exact rare-language legal-text quoting for the Danish governance sidecar, and explicit route-exhaustion evidence; still not enough for procurement/deployment proof, legality, impact, or efficacy claims.
2026-06-08T15:20:59Z	sf10	Company and platform notices	P1	structured_security_context	seeded	11	no	Primary only for what the issuer disclosed; self-interested and incomplete for broader truth claims.	Public status pages, transparency reports, release notes, product incident notes, GitHub advisories/issues.	Public notices only; no private support content or hidden dashboards.	Mostly English with some localized notices.	Global firm/platform scope.	Irregular / incident-driven.	Outages, rollbacks, remediation notices, policy changes, and deployment pauses.	7 metadata-normalized issuer/coordinator notice rows now exist locally for Auto-GPT, Langflow, Claude Code, the CrewAI pair, PraisonAI, and Playwright MCP; Langflow now has formal GitHub reviewed advisory depth with exact patched-version visibility, and the CrewAI pair now has CVE-linked PR plus release-linked exact-fix visibility.	Supports the security shared claim through remediation and disclosure-timing context, but remains below independent-event authority.	Normalize ToolHive into the issuer-notice ledger if needed, otherwise reopen sf10 only if another notice-depth threshold changes state while preserving advisory-vs-release-note and issuer-vs-independent-source distinctions.	Remediation timeline overlay; issuer-vs-independent-source comparison table; security source-family front door panel.	Useful for timing, remediation visibility, and issuer-versus-independent-source comparisons; stronger than before because Langflow now has formal advisory depth and the CrewAI pair now has exact-fix visibility, but the family still should not stand alone for incident characterization or prevalence.
