queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-02306	LIMEN-SIGNAL-723F1732B48A3050	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	150	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02307	LIMEN-SIGNAL-7244EF0FEABC5DA9	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	102	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02308	LIMEN-SIGNAL-7246955434F3AC6A	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	159	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02309	LIMEN-SIGNAL-725EB5618015E217	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	92	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02310	LIMEN-SIGNAL-72664DB9776A63A2	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	127	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02311	LIMEN-SIGNAL-728BCC1777B2E3EA	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	131	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02312	LIMEN-SIGNAL-7299CCEA46789891	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	114	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02313	LIMEN-SIGNAL-7307848CD46B0611	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	111	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02314	LIMEN-SIGNAL-7321D84065FACEE6	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	181	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02315	LIMEN-SIGNAL-73516AD01F81E01E	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	129	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02316	LIMEN-SIGNAL-73FB54D455FEC959	profile_or_manifest_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	12601	Local row is a country-profile/manifest/label wrapper and does not name a bounded direct source surface.	profile/manifest metadata only; no source-surface or factual claim	resolve the underlying named source before review
BPSE-02317	LIMEN-SIGNAL-74490C943CD1F66A	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	151	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02318	LIMEN-SIGNAL-744D2082740E77FC	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	106	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02319	LIMEN-SIGNAL-744F2BADF9922E33	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	176	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02320	LIMEN-SIGNAL-757751D2A78A9596	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	129	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02321	LIMEN-SIGNAL-759B80E6447199D9	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	143	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02322	LIMEN-SIGNAL-761FFA8C1F523F36	research_queue_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	132	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02323	LIMEN-SIGNAL-764251A3D05C8E8A	derived_review_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	856	Derived review row needs a named underlying source extracted before direct-source review.	derived review metadata only; no source-surface claim	extract named source surface
BPSE-02324	LIMEN-SIGNAL-765458B621087337	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	111	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02325	LIMEN-SIGNAL-766463210C720E0B	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	144	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02326	LIMEN-SIGNAL-7695A10973EB2F58	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	159	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02327	LIMEN-SIGNAL-769A7588D0A9D7DF	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	131	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02328	LIMEN-SIGNAL-769E700168860164	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	95	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
BPSE-02329	LIMEN-SIGNAL-7775B928BD7964B7	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	170	Research-queue row lists search targets for a jurisdiction but does not expose a named reviewable source surface.	queue-planning metadata only; no source-surface or factual claim	extract a named official/source surface before review
