signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-4CD7C988954DBECC	reject_noise	scholarly_index_record	Scholarly index metadata, not a direct source surface.	No direct-source claim from this row.	Drop from direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-4CD8327698A55253	needs_named_source_extraction	country_score_wrapper	Delta row names portal classes but not a single reviewable source record.	Pointer to possible sources only.	Extract the named portal URLs/titles locally before review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-4CECA1962DBC1CA2	needs_named_source_extraction	summary_wrapper	Country summary points toward procurement sources but does not expose a named source surface.	Pointer to possible sources only.	Extract the underlying named source from local pack files.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-high-visibility-exception-cohort-v0.1.json
LIMEN-SIGNAL-4CEFB7E2283FFF25	negative_evidence_candidate	weak_source_warning	Weak-source warning records an evidence limit, not a promotable source surface.	Negative/evidence-limit record only.	Retain as negative evidence or gap note.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-4CF4264C21D27567	reject_noise	query_prompt_artifact	Search-query planning text is internal workflow noise, not a source surface.	No direct-source claim from this row.	Drop from direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/patents/wipo-rss-query-queue-v0.2.md
LIMEN-SIGNAL-4CF535316999619C	negative_evidence_candidate	negative_score_delta	Local row records that official portal checks did not verify a register.	Negative public-evidence record only.	Retain as bounded negative evidence.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-4D0DEE4EE0F0DDDA	needs_named_source_extraction	url_bundle_wrapper	Digest bundles multiple official URLs but not one named review target.	Pointer to possible sources only.	Split into named source rows from the local URL bundle.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-4D0E60ED3868D0FC	reject_noise	seed_keyword_artifact	Generic seed label does not expose any reviewable source surface.	No direct-source claim from this row.	Drop from direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-4D0FF7D9A67027D9	needs_named_source_extraction	atlas_bridge_wrapper	Bridge-matrix deployment row points toward an authority surface but does not expose it directly.	Pointer to possible sources only.	Extract the underlying named official source locally.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GAIA_BRIDGE_MATRIX.csv
LIMEN-SIGNAL-4D144C783DE70EE2	translation_review_needed	official_transparency_portal	Named official transparency portal is reviewable, but the local evidence is Spanish and interpretation-sensitive.	Source-surface existence only; translation-sensitive.	Queue for translation-aware direct-source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-4D2307EAFECF8D23	merge_existing_surface	existing_registry_sample	Helsinki AI Register sample row points to an already modeled local registry surface.	Deduplicate to the existing Helsinki register surface.	Merge into the existing Helsinki source ledger.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-4D25CF53AF158B38	needs_named_source_extraction	digest_pointer	Claim-support digest points to another local report rather than a direct source.	Pointer to possible sources only.	Extract the named source from the referenced local report.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.csv
LIMEN-SIGNAL-4D284BAA1C6BCE34	reject_noise	paper_prose	Draft manuscript prose is not a direct source surface.	No direct-source claim from this row.	Drop from direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/02-world-data-descriptor/paper/draft.md
