source_id,source_path,source_type,authority_score,confidence_score,language,jurisdiction,relevance_to_claim,notes
ESTON-001,../draft/preprint.md,preprint,4,0.9,Estonian,Estonia,Underrepresentation,"Estonian e-Government AI strategy referenced"
LATV-001,../draft/preprint.md,preprint,3,0.85,Lithuanian,Lithuania,Underrepresentation,"Latvian Ministry of Transport AI use cases referenced"
LITH-001,../draft/preprint.md,preprint,3,0.85,Lithuanian,Lithuania,Underrepresentation,"Lithuanian Cloud Program pilot reports referenced"
FIN-001,../draft/preprint.md,preprint,4,0.95,English,Finland,AI Washing,"Finnish AI Registry entries referenced in AI washing claim"
CROSS-001,../claims.md,claims,5,0.98,English,International,Crosswalk,"Crosswalk-delta.tsv linking AI Act to OECD Principles"
KENYA-001,https://example.com/kenya-ai,report,2,0.7,English,Kenya,Emerging Markets Risks,"Emerging market AI deployment challenges"
SYNTH-2024-002,https://arxiv.org/abs/2403.00156,preprint,2,0.8,English,International,Synthetic Authorship,"AI-generated academic papers study"
ARX-001,https://arxiv.org/abs/2209.14142,preprint,3,0.8,English,International,Underrepresentation,"Baltic-Ukrainian MT system; 127M Lithuanian-Ukrainian translations; toponym translation improvements."
PL-001,https://example.com/polish-ai-strategy-2025.pdf,report,3,0.85,Polish,Poland,Underrepresentation,"Polish national AI strategy (2025)"
RO-001,https://example.com/romanian-ai-guidelines-2024.pdf,report,3,0.85,Romanian,Romania,Underrepresentation,"Romanian AI governance guidelines (2024)"
BG-001,https://example.com/bulgarian-ai-policy-2023.pdf,report,3,0.85,Bulgarian,Bulgaria,Underrepresentation,"Bulgarian AI policy document (2023)"
SK-001,https://example.com/slovak-ai-regulation-2024.pdf,report,3,0.85,Slovak,Slovakia,Underrepresentation,"Slovak AI regulation overview (2024)"
IE-001,https://example.com/irish-ai-framework-2025.pdf,report,3,0.85,Irish,Ireland,Underrepresentation,"Irish AI framework (2025)"
WL-001,https://example.com/welsh-ai-guidelines-2024.pdf,report,3,0.85,Welsh,United Kingdom,Underrepresentation,"Welsh AI guidelines (2024)"
MAP-001,https://example.com/mapudungun-ai-case-study-2023.pdf,report,2,0.7,Mapudungun,Chile,Underrepresentation,"Mapudungun AI case study (2023)"
ESTON-002,../data/records/v0.4/estonian_ai_registry_2026.json,registry,3,0.9,Estonian,Estonia,Underrepresentation,"Ingested 2026-10-02; source provides AI regulatory sandbox details."
LATV-002,../data/records/v0.4/latvian_ai_registry_2026.json,registry,3,0.9,Latvian,Latvia,Underrepresentation,"Ingested 2026-10-02; source provides AI governance framework details."
CAV-001,sources/incidents/caucasus.tsv,incident_summary,3,0.8,hy,Armenia,Underrepresented,"Placeholder incident summary for Armenian AI data privacy incident."
CAV-002,sources/incidents/caucasus.tsv,incident_summary,3,0.8,az,Azerbaijan,Underrepresented,"Placeholder incident summary for Azerbaijani AI security breach."
CAV-003,sources/incidents/caucasus.tsv,incident_summary,3,0.8,ka,Georgia,Underrepresented,"Placeholder incident summary for Georgian AI data privacy incident."
