case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-WEB-001		regulator_final	T3_authoritative_source	Clearview AI fined by multiple EU DPAs for unlawful facial-recognition scraping	EDPB national-news (FR/IT/EL) + Dutch AP	https://www.edpb.europa.eu/news/national-news/2022/french-sa-fines-clearview-ai-eur-20-million_en	2026-06-14	en	France; Italy; Greece; Netherlands; United Kingdom	facial_recognition		legal/regulatory	surveillance_biometrics_or_policing						Multiple EU DPAs issued GDPR fines (FR EUR20M, IT EUR20M 2022-02, EL EUR20M, NL EUR30.5M) ordering deletion/cessation of biometric scraping.	Cross-border collection of separate national decisions; Clearview has largely not paid and contests jurisdiction; UK fine under appeal.
LIMEN-WEB-002		tribunal_decision	T3_authoritative_source	Moffatt v. Air Canada: airline liable for its chatbot's negligent misrepresentation	2024 BCCRT 149 (BC Civil Resolution Tribunal)	https://www.canlii.org/en/bc/bccrt/doc/2024/2024bccrt149/2024bccrt149.html	2026-06-14	en	Canada	customer_service_chatbot	content_only	legal/regulatory	agentic_control_failure						Tribunal (2024-02-14) found Air Canada liable for negligent misrepresentation by its website chatbot; awarded CAD 650.88.	Small-claims tribunal decision; not appellate precedent.
LIMEN-WEB-003		court_sanction_order	T3_authoritative_source	Mata v. Avianca: Rule 11 sanctions for ChatGPT-fabricated case citations	678 F.Supp.3d 443 (S.D.N.Y. 2023), Castel J.	https://www.courtlistener.com/docket/63107798/mata-v-avianca-inc/	2026-06-14	en	United States	generative_text_llm		legal/regulatory	legal_procedural_contamination						Court sanctioned counsel USD 5,000 (2023-06-22) for filing ChatGPT-fabricated citations and false statements.	Sanction is procedural; not a ruling on the underlying claim.
LIMEN-WEB-004		state_ag_settlement	T3_authoritative_source	Texas AG settlement with Pieces Technologies over overstated healthcare-AI accuracy	Texas OAG press release + Assurance of Voluntary Compliance	https://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-reaches-settlement-first-its-kind-healthcare-generative-ai-investigation	2026-06-14	en	United States	generative_clinical_summary_ai		legal/regulatory	ai_washing_or_false_ai_claim						Texas AG (2024-09) resolved allegations that Pieces misrepresented its product's hallucination rate/accuracy; AVC imposes disclosure requirements (no monetary penalty).	Settlement (AVC) resolves allegations without admission; no court merits finding.
LIMEN-WEB-005		regulator_decision_contested	T2_contested_or_under_appeal	Garante (Italy) EUR 15M final fine on OpenAI over ChatGPT data processing	Garante provvedimento 20 Dec 2024	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/10085432	2026-06-14	it; en	Italy	generative_text_llm		legal/regulatory	data_protection_enforcement						Garante (2024-12-20) fined OpenAI EUR 15M for no legal basis, transparency and age-verification failures; ordered a 6-month awareness campaign.	OpenAI appealed; reporting indicates a Rome court subsequently set aside/curtailed the fine - cite as contested, not settled.
LIMEN-WEB-006		court_ruling_then_settled	T2_contested_or_interim	Garcia v. Character Technologies: companion-chatbot product-liability suit over a teen's death	M.D. Fla. 6:24-cv-01903, order 2025-05-21 (Conway J.)	https://www.courtlistener.com/docket/69300919/garcia-v-character-technologies-inc/	2026-06-14	en	United States	companion_chatbot		legal/regulatory	companion_chatbot_safety_harm						Federal court (2025-05-21) denied dismissal in part, treating the chatbot as a product and rejecting a First-Amendment-speech defense; parties later settled (terms undisclosed).	Sensitive matter; cite only the docketed procedural rulings and the fact of settlement - no merits adjudication, no causal claim. | VERIFIED: interim MTD order (claims proceed), not a final liability finding; later settled.
LIMEN-WEB-007		court_certification	T2_contested_or_interim	Mobley v. Workday: AI hiring-screening age-discrimination collective certified	N.D. Cal. 3:23-cv-00770, order 2025-05-16 (Lin J.)	https://clearinghouse.net/case/44074/	2026-06-14	en	United States	ai_hiring_screening		legal/regulatory	education_workplace_or_hr						Court (2025-05-16) granted preliminary ADEA collective certification, allowing a disparate-impact claim that Workday's AI screening discriminated by age to proceed.	Certification/procedural stage only; no liability finding on the merits. | VERIFIED: conditional ADEA collective certification, not a discrimination finding.
LIMEN-WEB-008		regulator_determination_under_review	T2_contested_or_interim	OAIC (Australia) determination: Bunnings facial recognition breached the Privacy Act	OAIC determination 2024-11-19	https://www.oaic.gov.au/news/media-centre/bunnings-breached-australians-privacy-with-facial-recognition-tool	2026-06-14	en	Australia	facial_recognition		legal/regulatory	surveillance_biometrics_or_policing						OAIC (2024-11-19) found Bunnings collected sensitive biometric data via in-store facial recognition without consent, breaching the Privacy Act.	Bunnings sought Administrative Review Tribunal review; determination is contested. | VERIFIED: Administrative Review Tribunal (Feb 2026) partially set aside the facial-recognition finding on appeal.
LIMEN-WEB-009		regulator_preventive_then_lifted	T2_contested_or_interim	ANPD (Brazil) preventive suspension of Meta's personal-data use for AI training	ANPD preventive measure 2024-07-02	https://www.gov.br/anpd/pt-br	2026-06-14	pt; en	Brazil	generative_ai_training_pipeline		legal/regulatory	data_protection_enforcement						ANPD (2024-07-02) ordered Meta to suspend using platform personal data for AI training (daily fine R$50k), citing legal-basis/transparency/minors concerns.	Preventive measure lifted 2024-08-30 after an approved compliance plan; interim, not a final penalty. | VERIFIED: preventive interim measure, lifted 30 Aug 2024 after a compliance plan.
LIMEN-WEB-010		regulator_final	T3_authoritative_source	Garante (Italy) EUR 5M fine on Luka Inc. over the Replika companion chatbot	EDPB national-news 2025 (Garante / Replika)	https://www.edpb.europa.eu/news/national-news/2025/ai-italian-supervisory-authority-fines-company-behind-chatbot-replika_en	2026-06-14	it; en	Italy	companion_chatbot		legal/regulatory	companion_chatbot_safety_harm;data_protection_enforcement						Garante (2025) fined Luka Inc. EUR 5M for processing without a legal basis and lacking age verification on the Replika emotional-AI chatbot; opened a separate training-data probe.	Fine may be subject to appeal; separate generative-training probe ongoing.
