signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-727C7C41680FCEC4	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_CANDIDATE_MATRIX_DELTA.csv	64	sha256:6947ab0faa5d1b9f4c524bc3b81b4d6481555f8619d1f4a056258e106f9f365e	aq-source-hardening,AQ,Antarctica,I03,1,L,0,H,score_decrease,Official ATS tools/databases and static-page search found no AI/regulatory sandbox evidence; prior ITU-based sandbox score appears unsupported for Antarctica as a special treaty area.,TRUE	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-72847416690BFE30	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z	3186	sha256:bd4be30ae381dddc71ecfb0359befef6384092774ab6b1a0e1f671c3bb765747	"why: ""Directly relevant to AI evidence packages: long-term verification, certificate-chain storage, CRLs, and archival signature format."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-72848F3727ACEDF3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	2951	sha256:a9bd54d6ed93ba49905c6d243b13055b85a81213131ec4e0dbea571367c9a880	algorithm or AI register entry,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-728514D02E62A8E0	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	842	sha256:dbbb1af682125cdb3caeaa557835c0d02a28f373770d82aa6ab713a122967690	- I05: Plataforma Nacional de Transparencia is strong general transparency infrastructure, but it is not a public algorithm register.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-7289CFB08BED22E4	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/systematic-literature-screening-20260608.csv	3	sha256:2bee34909e198229688582f2483bef9dbd62845fc97db68b692eb83c370d7246	"OpenAlex,registers,""""""algorithm register"""" transparency public sector"",ERROR 'NoneType' object has no attribute 'get',,,,,,,""registers: """"algorithm register"""" transparency public sector; registers: """"AI register"""" public sector transparency; public_sector_acco"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-728E70F3E164886A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	47	sha256:a0656fb99e7db62b91825b6617a3ce18967998dbca4cbb830736e9ac65e6c0c5	BJ,Benin,high,D thin visibility,high,Benin AI Act implementation competent authority; Benin algorithm register public sector AI; Benin AI regulatory sandbox; Benin AI procurement public sector guidance; Benin AI audit logs provenance post-market monitoring; Be	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-7291FC863B26DC93	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	56	sha256:0eb1bb2e79e72fb1736743d26a86c6e4061b6fa6f0de6e1f25cd7354233e5b72	"mission: ""Track Estonian, Latvian, and Lithuanian sources on public-sector AI, algorithm registers, data protection, digital identity, PKI, and AI evidence infrastructure."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-729665BF3F5BA47B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/venue/evidence-supply-chain-jipitec-preprint.md	151	sha256:9fef1ba445facb6cb842b0baa78fa7e76094a985b455b281185cfab5130e7671	Among the ten PALLAS indicators, public algorithm registers and transparency practice show the weakest global visibility. This does not mean that public-sector AI use is absent; it means that PALLAS did not find strong public evidence of broad, repeatable, pub	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-72998048B57B78ED	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/nordic-language-history.jsonl	24	sha256:9b9e04fc31929f908697cdfa550aefdc1d8dca012a1b4ef27a8f5c1643d9c2c4	"{""category"": ""external-index-error"", ""corpus_version"": ""v0.2-working"", ""error"": ""<HTTPError 429: 'Too Many Requests'>"", ""factory_record_id"": ""5c6e4e8dd7cea58c745abf8a"", ""lane"": ""nordic-language"", ""lane_id"": ""nordic-language"", ""language_confidence"": ""script-det"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-729A1DF393F870E9	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-120-20260603T0704/source_documents.jsonl	366	sha256:307534efe523ff0a559196de83aff0295744993f431d348f19fc3c83a26aef5c	"{""agent_ids"": [""uk-dwp-cmg-return-letters-ocr""], ""archive_status"": ""local_snapshot_saved"", ""author_or_org"": ""Department for Work and Pensions Child Maintenance Group"", ""collision_guard_targets"": [""world_agent_atlas"", ""agentic_supply_chain_atlas"", ""pallas"", ""fu"	needs direct source, source-pack resolution, or translation-aware review before example promotion
