queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTPS-00061	LIMEN-SIGNAL-1C4FE8CD766CA602	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv	249	Spanish PCM gob.pe news row explicitly names regulation of Peru AI law; support remains official-news surface. translation locator: https://www.gob.pe/institucion/pcm/noticias/1243553-gobierno-aprobo-el-reglamento-de-la-ley-que-promueve-el-uso-de-la-inteligencia-artificial	official news surface only; Spanish wording unresolved; no legal finding	extract as secondary/official-news source with Spanish review
BTPS-00062	LIMEN-SIGNAL-1E8DCC3559A178E5	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/nordic-language-history.jsonl	1	Danish Datatilsynet AI page is an official regulator AI hub; local metadata flags sandbox/public-sector guidance relevance. translation locator: https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	translation-sensitive regulator surface only; no Article 57, sandbox-operation, or compliance finding	extract canonical source surface with Danish-capable review
BTPS-00063	LIMEN-SIGNAL-20A2D43C573AB044	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	38	Spanish Argentina.gob.ar/AAIP program page locally mentions automated-decision documentation and transparency criteria. translation locator: https://www.argentina.gob.ar/programa-nacional-de-transparencia-y-proteccion-de-datos-personales-en-el-uso-de-la-inteligencia	translation-sensitive official program surface only; no full register or compliance claim	extract bounded source metadata with Spanish review
BTPS-00064	LIMEN-SIGNAL-24E74DE4425285C3	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	243	Official AU Data Policy Framework page is English/not translation-needed and useful as governance vocabulary/source context; no concrete edge-case claim is explicit. translation locator: https://au.int/es/node/42078	parent-source context candidate only; no case-level promotion	extract canonical metadata and preserve as contextual source
BTPS-00065	LIMEN-SIGNAL-253219BF7CD64835	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	236	Official Nigeria ministry AI strategy page is English and source-level relevant; local snippet supports strategy existence only. translation locator: https://fmcide.gov.ng/initiative/nais/	parent-source context candidate only; no policy/legal/safety finding	extract canonical source metadata; no reviewed-core promotion
BTPS-00066	LIMEN-SIGNAL-2671E68EAFF0385E	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/african-multilingual-language-records.jsonl	203	Official AU Continental AI Strategy PDF is English and source-level relevant for governance/regulation context; no concrete edge-case claim is explicit. translation locator: https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	parent-source context candidate only; no case-level promotion	extract canonical PDF metadata and provenance only
BTPS-00067	LIMEN-SIGNAL-329464DC59F7439D	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv	252	Spanish official catalog explicitly lists public-entity AI applications, but local row says it is not clearly a formal algorithm register. translation locator: https://www.gob.pe/institucion/pcm/informes-publicaciones/6879780-catalogo-de-aplicaciones-con-inteligencia-artificial-en-el-estado-peruano	catalog/source-surface ceiling; no formal-register claim	extract catalog fields from original PDF/page with transparency-catalog framing
BTPS-00068	LIMEN-SIGNAL-343AEAFF9F4D3416	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	132	Local metadata shows a reachable official Malaysia government AIGE page; translation risk remains for policy details. translation locator: https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	official source-surface existence and title only; no governance-effect claim	extract canonical source metadata; require original-language review before any substantive claim
BTPS-00069	LIMEN-SIGNAL-3595B8B32429F236	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/dutch-belgian-language-records.jsonl	39	Local metadata shows reachable Dutch government algorithm-register surface and warns English descriptions are machine translated. translation locator: https://algoritmes.overheid.nl/en	source-surface existence only; do not rely on machine-translated descriptions	extract parent source; use Dutch originals for case-level review
BTPS-00070	LIMEN-SIGNAL-36ED6E1A6B55032C	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	173	Local Thai ETDA page is reachable and AI-guideline titled, but substantive content remains translation-sensitive. translation locator: https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	official source-surface existence and title only; no guidance-effect claim	extract canonical source metadata; require Thai review for substance
