jurisdiction	language	record_count	strongest_evidence_tier	source_family_mix	files_contributing	translation_review_needed_count	record_status_mix	join_rule	observatory_interpretation
CA	en	1	T3_authoritative_source	authoritative_sec_records	candidate-cases.jsonl	0	authoritative:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
Denmark	da	1	T3_authoritative_source	authoritative_regulator_records	authoritative-candidates.jsonl	1	authoritative_candidate:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.
Estonia	et	1	T1_single_public_source	local_news	multilingual-candidates.jsonl	1	candidate:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
Finland	fi	2	T1_single_public_source	local_news; public_broadcaster_news	multilingual-candidates.jsonl	2	candidate:2	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
France	fr	1	T3_authoritative_source	authoritative_regulator_records	authoritative-candidates.jsonl	1	authoritative_candidate:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.
Global	English	5	T3_authoritative_source	security_cve_records	security-agentic-candidates.jsonl	0	authoritative:4; candidate:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
Italy	it	1	T3_authoritative_source	authoritative_regulator_records	authoritative-candidates.jsonl	0	authoritative:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
Lithuania	lt	1	T1_single_public_source	news_reporting_authority_warning	multilingual-candidates.jsonl	1	candidate:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
Slovenia	sl	2	T3_authoritative_source	local_news; official_police_source	multilingual-candidates.jsonl	2	candidate:2	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
US	en	2	T3_authoritative_source	authoritative_sec_records	candidate-cases.jsonl	0	authoritative:2	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
United Kingdom	en	2	T3_authoritative_source	authoritative_regulator_records	authoritative-candidates.jsonl	0	authoritative:2	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
United States	en	1	T3_authoritative_source	authoritative_regulator_records	authoritative-candidates.jsonl	0	authoritative:1	file-qualified keys only until global namespace normalized	Shows current visibility surface, not prevalence or completeness.
