source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://mc.manuscriptcentral.com/jerhre	closed_noncase_source_surface	https://mc.manuscriptcentral.com/jerhre	mc.manuscriptcentral.com	mc.manuscriptcentral.com			scholarly-submission-portal			ManuscriptCentral URL is a journal submission/account surface, not a case record.	May cite only as a source-family/accounting surface.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Exact URL returned 403 and metadata exposes no named article, finding, event, or AI edge case.	Needs a concrete event/finding passage, date, actor, and archived public source before reviewed-core.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as source-surface accounting.
https://mcit.gov.ws	closed_noncase_source_surface	https://www.mcit.gov.ws/	Ministry of Communications and Information Technology	mcit.gov.ws			public-sector-ai; institutional-homepage		Samoa	MCIT homepage contains ministry and news/context about digital/AI activity but no bounded edge-case record.	Institutional AI context only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Fetched homepage is an official ministry landing page; it does not present a concrete adverse event, vulnerability, finding, or reviewable AI case.	Needs a concrete event/finding passage, date, actor, and archived public source before reviewed-core.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close unless a specific MCIT article/report is later supplied.
https://mcp.so	closed_noncase_source_surface	https://mcp.so/	mcp.so	mcp.so			mcp-marketplace; ai-tool-directory			mcp.so is a third-party MCP server/client directory.	Directory/source-family surface only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Fetched page lists MCP servers and clients; no concrete incident, vulnerability finding, official record, or bounded edge case was present in the cluster.	Needs a concrete event/finding passage, date, actor, and archived public source before reviewed-core.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as generic source-family surface.
https://mehrnews.com/news/6141439/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8-%DA%A9%D9%84%DB%8C%D8%A7%D8%AA-%D8%B3%D9%86%D8%AF-%D8%AA%D8%A3%D8%B3%DB%8C%D8%B3-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D9%84%DB%8C-%D9%88-%D8%AA%D8%B4%DA%A9%DB%8C%D9%84-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4	closed_noncase_source_surface	https://www.mehrnews.com/news/6141439/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8-%DA%A9%D9%84%DB%8C%D8%A7%D8%AA-%D8%B3%D9%86%D8%AF-%D8%AA%D8%A3%D8%B3%DB%8C%D8%B3-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D9%84%DB%8C-%D9%88-%D8%AA%D8%B4%DA%A9%DB%8C%D9%84-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4	تصویب کلیات سند ملی و تأسیس سازمان ملی هوش مصنوعی	mehrnews.com			ai-policy; national-ai-organization	2024-06-19 / 30 Khordad 1403	Iran	Mehr reports approval of Iran national AI document outline and creation of national AI organization/steering council.	Policy/institutional action only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Exact article is a policy-governance news record, not an edge-case event, vulnerability, finding, or operational AI harm/safety record.	Would need a separate concrete implementation/event/finding source, not this policy announcement.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as policy/guidance source surface.
https://migracion.gob.do/en/dgm-relies-on-artificial-intelligence-to-transform-and-streamline-its-services	needs_original_source_text	https://migracion.gob.do/en/dgm-relies-on-artificial-intelligence-to-transform-and-streamline-its-services/	migracion.gob.do	migracion.gob.do	DGM use of artificial intelligence to transform migration services	official_public_article_unread	migration-services-ai; public-administration-ai		Dominican Republic	URL/title metadata point to an official DGM article about relying on AI to transform and streamline services.	Candidate topic only until source text is obtained.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not claim how AI is used or affects migration decisions.	Exact URL was blocked by Cloudflare/bot verification in both urllib and browser; metadata is too thin for final case/noncase extraction.	Obtain readable original page text or official archived copy; extract exact date, passage, system/action, and limits.	Only after original text supports a hardened reviewed-core case.	Queue for original source text retrieval; do not promote.
https://minbzk.github.io/Algoritmekader/onderwerpen/publieke-inkoop	closed_noncase_source_surface	https://minbzk.github.io/Algoritmekader/onderwerpen/publieke-inkoop/	Publieke inkoop — Ministry of the Interior and Kingdom Relations / Algoritmekader	minbzk.github.io			ai-procurement-guidance; algorithm-framework		Netherlands	Dutch Algoritmekader page gives guidance for responsible procurement of algorithms.	Normative procurement guidance only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Exact page is guidance/framework text with requirements and measures; it contains no concrete procurement event, vendor failure, enforcement finding, or AI edge case.	Needs a specific procurement record/finding linked to this guidance.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as guidance source surface.
https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/vereisten/aia-33-verwerking-in-testomgeving	closed_noncase_source_surface	https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/vereisten/aia-33-verwerking-in-testomgeving/	AI-testomgevingen die persoonsgegevens verwerken voldoen aan strenge voorwaarden	minbzk.github.io			regulatory-sandbox-guidance; personal-data; ai-act		Netherlands / EU	Algoritmekader AIA-33 states conditions for AI test environments processing personal data.	Normative sandbox/legal requirement text only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not infer any actual sandbox participant or breach.	Exact page describes AI Act Article 57-related requirements; no concrete sandbox action, participant, finding, incident, or vulnerability is recorded.	Needs a specific sandbox record, participant case, or finding.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as legal/guidance source surface.
https://mitic.gov.py/mitic-fortalece-capacidades-tecnicas-en-inteligencia-artificial	closed_noncase_source_surface	https://mitic.gov.py/mitic-fortalece-capacidades-tecnicas-en-inteligencia-artificial/	MITIC Paraguay	mitic.gov.py			ai-capacity-building; regulatory-sandbox-planning		Paraguay	MITIC article discusses AI technical-capacity strengthening and reflection/roadmap work for regulatory sandboxes.	Capacity-building and planning context only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not claim an operational sandbox exists from this page.	Fetched article snippet points to workshop/roadmap activity; no concrete edge-case event, participant finding, vulnerability, or operational incident is present.	Needs exact source passage showing a concrete sandbox participant/event/finding.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as capacity-building source surface.
https://mois.go.kr/frt/sub/a06/b04/nationalSecretary/screen.do::MOIS	closed_noncase_source_surface	https://www.mois.go.kr/frt/sub/a06/b04/nationalSecretary/screen.do::MOIS	mois.go.kr	mois.go.kr			digital-government-service; ai-government-context		South Korea	MOIS page is an official National Secretary service information page.	Government service description only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not treat query keyword deepfake as page content.	Exact page is a service information surface; no concrete deepfake, AI failure, vulnerability, finding, or bounded edge case was identified.	Needs a specific public record about an AI-related event/finding tied to the service.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as service-source surface.
https://mop.gov.iq/en/central-statistical-organization	closed_noncase_source_surface	https://mop.gov.iq/en/central-statistical-organization/	mop.gov.iq	mop.gov.iq			statistics-agency-profile		Iraq	Iraq Ministry of Planning page profiles the Central Statistical Organization.	Institutional profile only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Fetched page describes history/duties of the statistical organization; no AI sandbox, concrete event, finding, or edge case appears.	Needs a concrete event/finding passage, date, actor, and archived public source before reviewed-core.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as unrelated institutional source surface.
https://mpaai.gov.tt	closed_noncase_source_surface	https://mpaai.gov.tt/	mpaai.gov.tt	mpaai.gov.tt			national-ai-assessment; public-administration-ai		Trinidad and Tobago	MPAAI homepage announces national AI assessment and ministry AI activities.	Institutional AI programme context only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Fetched homepage is a ministry landing/news surface; it lacks a bounded case event, vulnerability, official finding, or concrete reviewed-core candidate.	Needs specific MPAAI report/article with an event, system, date, and bounded claim.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as institutional source surface.
https://namfisa.com.na/regulatory-sandbox	closed_noncase_source_surface	https://www.namfisa.com.na/regulatory-sandbox/	Regulatory Sandbox	namfisa.com.na			financial-regulatory-sandbox; fintech		Namibia	NAMFISA page describes a regulatory sandbox for live tests of financial innovation.	Sandbox programme description only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not infer AI use or participant outcomes.	Exact page is generic sandbox programme text focused on crowdfunding/P2P lending; no AI-specific concrete event, participant finding, or edge case is present.	Needs a named participant/event/finding and AI relevance.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as sandbox source surface.
https://nbg.gov.ge/en/page/regulatory-laboratory	closed_noncase_source_surface	https://nbg.gov.ge/en/page/regulatory-laboratory	Regulatory Laboratory	nbg.gov.ge			financial-regulatory-laboratory; fintech		Georgia	National Bank of Georgia page is a regulatory laboratory information surface.	Regulatory laboratory programme context only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not infer AI use or outcomes.	Exact page is a programme/institution page; no concrete AI edge-case event, participant record, vulnerability, or official finding was found.	Needs a specific laboratory participant/event/finding with AI relevance.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as regulatory-lab source surface.
https://nbu.gov.sk/trust-services	closed_noncase_source_surface	https://www.nbu.gov.sk/trust-services/	nbu.gov.sk	nbu.gov.sk			trust-services; institutional-webpage		Slovakia	NBU trust-services URL is a trust-services source surface, not a case record.	Institutional trust-services context only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim.	Exact page rendered empty in browser/urllib and metadata indicates trust services rather than a concrete AI procurement/event/finding.	Needs readable original source and a concrete AI event/finding; current cluster has neither.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as noncase source surface unless new text is supplied.
https://ncsl.org/financial-services/artificial-intelligence-legislation-database	closed_noncase_source_surface	https://www.ncsl.org/financial-services/artificial-intelligence-legislation-database	Artificial Intelligence Legislation Database	ncsl.org			ai-legislation-database; law-policy-index		United States	NCSL AI legislation database is an index of AI legislation.	Policy/law index only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not infer any enacted law effect or case fact from the database surface.	Exact URL was blocked from retrieval, but metadata and URL identify a legislation database, which is an index/policy surface rather than a concrete edge-case record.	Needs a specific legislative record or implementation event with exact public text.	Only assess after reviewed-core hardening; no ObscureAI addition from source surface alone.	Close as law/index source surface.
https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services	case_candidate_for_hardening	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services/	news.microsoft.com	news.microsoft.com	Jugalbandi generative AI chatbot for Indian village government-service access	vendor_public_report	public-services-ai; government-benefits-chatbot; multilingual-voice-chatbot	2023-05-23	India	Microsoft Source Asia reports that villagers in Biwan, Haryana used Jugalbandi, a generative-AI-driven mobile chatbot, to retrieve government-assistance information in multiple languages.	Vendor-reported public-service access example only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not claim eligibility decisions, benefit approvals/denials, official adoption scope, accuracy, safety, or population impact.	Exact public article contains a concrete named system, place, date, user-facing government-service assistance action, and bounded source passage suitable for hardening.	Archive article; extract exact passages; corroborate with project/government/nonvendor source; document system role as information retrieval not decision-making unless proven.	After reviewed-core acceptance, assess obscurity, public-sector dependency, multilingual/voice interface risks, and evidence limits.	Harden as candidate only; no reviewed-core promotion in this batch.
