row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00148	LIMEN-SIGNAL-4A35A95B1264A098	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-012/complaints-field-split-recode-v0.1.csv	10	sample_record_or_listing,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,English auto-translation from Dutch,record_level_or_listing_snippet,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,partial,unkn	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00154	LIMEN-SIGNAL-4E95E6A06DBE491D	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	2	NL-ALG-REC-83985427,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation,2026-06-05,Octobox Anonymisation,Ministry	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00158	LIMEN-SIGNAL-52AABDC59C84588E	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algorit	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/manuscript.html	108	<tr><td>NL-ALG-REC-83985427</td><td>NL-ALG-REG</td><td>Algorithm Register of the Dutch government</td><td>Netherlands</td><td>Netherlands</td><td>English auto-translation from Dutch</td><td>https://algoritmes.overheid.nl/en/algorit...</td><td>2026-06-05</td></	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00159	LIMEN-SIGNAL-52FC5CCFCE9E1686	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00160	LIMEN-SIGNAL-533C9756C2F57A65	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00161	LIMEN-SIGNAL-538FB59E9AFD4AF9	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	3	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00164	LIMEN-SIGNAL-544360F97FC7D53D	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-sample-records-v0.2.csv	4	NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,Municipality of Hof van Twente,yes,ye	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00165	LIMEN-SIGNAL-54CBD92D07AD1EDD	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00171	LIMEN-SIGNAL-5871FF5A1A851E92	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00175	LIMEN-SIGNAL-5A1CD0991E5CFA35	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-sample-records-v0.2.preview.csv	3	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00177	LIMEN-SIGNAL-5A4C3F34C0C3691E	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-sample-records-v0.2.csv	3	"NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support,2026-06-05,Zylab Disclosure Support,""Mi"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00181	LIMEN-SIGNAL-5B9980C9E6B10147	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
