queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02162	LIMEN-SIGNAL-491458EF36259EE7	country_gap_no_parent_source		Generated observability query pack (United Arab Emirates)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:153	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02163	LIMEN-SIGNAL-491AD2474BF7CA13	country_gap_no_parent_source		Generated observability query pack (Austria)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:155	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02164	LIMEN-SIGNAL-494EA14533B8E54D	country_gap_no_parent_source		Generated observability query pack (Turkmenistan)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:123	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02165	LIMEN-SIGNAL-49A6D09AF05A5E96	country_gap_no_parent_source		Generated observability query pack (New Caledonia)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:100	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02166	LIMEN-SIGNAL-49C14B86E318A09F	country_gap_no_parent_source		Generated observability query pack (Lithuania)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:160	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02167	LIMEN-SIGNAL-4A9D424B2BB10B11	country_gap_no_parent_source		Generated observability query pack (Saint Lucia)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:115	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02168	LIMEN-SIGNAL-4B071E26BFB1C076	country_gap_no_parent_source		Generated observability query pack (Estonia)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:145	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02169	LIMEN-SIGNAL-4B1AFB84779D8176	country_gap_no_parent_source		Generated observability query pack (Luxembourg)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:157	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02170	LIMEN-SIGNAL-4B5E17D0EA74A945	country_gap_no_parent_source		Montserrat I03 regulatory sandbox profile score	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15955	Atlas I03 score/profile field has no matching I03 top_sources URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Use country profile/source-pack hardening to identify a concrete parent source before direct review.
BPSE-02171	LIMEN-SIGNAL-4B6DBD65437F9C67	country_gap_no_parent_source		Generated observability query pack (New Zealand)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:150	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02172	LIMEN-SIGNAL-4BE6849CB0242F63	source_url_extracted	https://www.iga.gov.bh/Media/Publications/National%20Digital%20Policies/General%20Policy%20for%20the%20Use%20of%20AI%20-%20%20Final%2030%20Jul%202025.pdf	General Policy for the Use of Artificial Intelligence - transparency and explainability principle (Information & eGovernment Authority, Bahrain)	PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:3457-3459; PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv:30	Warning cites Bahrain AI policy; local source-refresh row gives explicit policy PDF URL, but no operational algorithm register.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Review extracted policy PDF only as weak transparency context; do not treat as algorithm-register evidence.
BPSE-02173	LIMEN-SIGNAL-4BF011B32D5E5227	country_gap_no_parent_source		Generated observability query pack (Nicaragua)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:130	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02174	LIMEN-SIGNAL-4C73CA879240462A	country_gap_no_parent_source		Generated observability query pack (Guam)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:95	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02175	LIMEN-SIGNAL-4CAA0831D69E8BD3	parent_source_wrapper		Dominica I05 negative-evidence source pack	PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:2482-2484; PALLAS_SECOND_PASS_SPRINT_8_SOURCE_REFRESH.csv:145-146	Warning maps to multiple local negative-check anchors for Dominica I05; human should choose the parent source if one is needed.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Choose between laws portal and ICT Unit source-pack anchors before direct source review.
BPSE-02176	LIMEN-SIGNAL-4D6CC59510433D90	country_gap_no_parent_source		Generated observability query pack (Panama)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:175	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02177	LIMEN-SIGNAL-4D867896C775E0DD	country_gap_no_parent_source		Vatican City I03 regulatory sandbox profile score	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:10746	Atlas I03 score/profile field has no matching I03 top_sources URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Use country profile/source-pack hardening to identify a concrete parent source before direct review.
BPSE-02178	LIMEN-SIGNAL-4E4111075DFCC578	country_gap_no_parent_source		Generated observability query pack (Norfolk Island)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:101	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02179	LIMEN-SIGNAL-4E84F34CE5243DED	country_gap_no_parent_source		Falkland Islands I05 public algorithm registers profile score	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:13673	Atlas I05 score/profile field has no matching I05 top_sources URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Use country profile/source-pack hardening to identify a concrete parent source before direct review.
BPSE-02180	LIMEN-SIGNAL-4EC8F8984E62DB32	country_gap_no_parent_source		Generated observability query pack (French Polynesia)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:93	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02181	LIMEN-SIGNAL-4EFC90D948D06446	country_gap_no_parent_source		Generated observability query pack (Norfolk Island)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:101	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02182	LIMEN-SIGNAL-4F6447FE80794CEF	country_gap_no_parent_source		Generated observability query pack (South Korea)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:147	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02183	LIMEN-SIGNAL-4FAEC06928A7A846	source_url_extracted	https://www.micitt.go.cr/sites/default/files/2025-10/Plan%20de%20Acci%C3%B3n%20ENIA%20-%20Versi%C3%B3n%2011%20agosto%202025%20Versi%C3%B3n%20Publicaci%C3%B3n.pdf	Plan de Acción ENIA - sandbox regulatorio de IA implementado (MICITT, Costa Rica)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:12737-12743 and matching I03 top_sources entry	Atlas profile has exactly one I03 top_sources entry with an explicit MICITT URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Review the extracted MICITT plan as planned/strategy sandbox evidence only.
BPSE-02184	LIMEN-SIGNAL-4FBF2BCEF0BCBED1	country_gap_no_parent_source		Generated observability query pack (Heard Island and McDonald Islands)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:96	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
BPSE-02185	LIMEN-SIGNAL-4FE28A3907151B57	country_gap_no_parent_source		Generated observability query pack (Tokelau)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:107	Generated jurisdiction/query row contains search phrases and desired source types, not a concrete public source URL.	Only source-discovery posture; no incident, prevalence, legality, compliance, safety, or ranking claim.	Run source discovery to identify a named official/vendor/regulator/court/register surface before review.
