queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00409	LIMEN-SIGNAL-2CF932FA60FB20D3	country_or_source_pack_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	44	Local OBSERVABILITY_RESEARCH_QUEUE.csv row points toward a source topic but does not name one reviewable surface yet.	naming/resolution only; no direct-source claim yet	extract named source from local pack
BPSE-00410	LIMEN-SIGNAL-2D4C79F4C386DB4F	country_or_source_pack_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	54	Local OBSERVABILITY_RESEARCH_QUEUE.csv row points toward a source topic but does not name one reviewable surface yet.	naming/resolution only; no direct-source claim yet	extract named source from local pack
BPSE-00411	LIMEN-SIGNAL-2E6B6C258727BC1E	wrapper_or_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3403	Manifest entry says algorithm or AI register entry but does not expose a named reviewable source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00412	LIMEN-SIGNAL-2E7E853CD1438E4D	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_COUNTRY_MATRIX.csv	30	Country matrix row is a wrapper summary and does not name a concrete reviewable source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00413	LIMEN-SIGNAL-2EA10AF361168F28	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	63	Research-queue row lists desired source types for Madagascar but no named source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00414	LIMEN-SIGNAL-2EB2EBB66FD13F3A	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	36	Country profile summarizes source conditions but does not expose a named reviewable source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00415	LIMEN-SIGNAL-2ECA6E6524318DED	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_HARDENING_SUMMARY.csv	7	Hardening summary hints at source material in Papiamentu but does not name a bounded reviewable surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00416	LIMEN-SIGNAL-2F0071051D3D84DE	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	990	Country profile is a wrapper summary and does not itself expose a named reviewable source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00417	LIMEN-SIGNAL-2F16E59B6708FEEE	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv	87	Hardening summary points toward source families but not a named bounded source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
BPSE-00418	LIMEN-SIGNAL-2F71916484734ACF	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	10	Research-queue row lists desired Jersey source types but no named source surface.	wrapper points toward source; no direct-surface claim yet	extract named source from local packet
