row_id	signal_id	url_extraction_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
SRPH-00918	LIMEN-SIGNAL-88184D22BCF2CF17	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	must resolve the underlying source before any reviewed example or paper claim	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00919	LIMEN-SIGNAL-92A3164891A8FE5B	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	surface existence only; no truth, legality, compliance, safety, prevalence, or ranking claim	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00920	LIMEN-SIGNAL-93C65A3836352295	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	source-surface existence only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00921	LIMEN-SIGNAL-97027FD598915C20	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	source-surface existence only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00922	LIMEN-SIGNAL-9ABD368C883A9E5D	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	bounded source-surface existence only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00923	LIMEN-SIGNAL-9C3966923E3E1D8D	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	bounded source-surface existence only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00924	LIMEN-SIGNAL-A0431D0B9F071A55	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	must resolve the underlying source before any reviewed example or paper claim	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00925	LIMEN-SIGNAL-A23B4DBD1681D81B	url_extracted	https://www.ca.go.ke/regulatory-sandbox	Communications Authority of Kenya regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z:3320-3321	Seed metadata gives title and explicit URL.	surface-level existence/posture only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00926	LIMEN-SIGNAL-A46A4FF4D0A6DE84	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	source surface exists locally as named; no substantive incident, legality, compliance, safety, deployment, prevalence, or ranking claim.	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00927	LIMEN-SIGNAL-A60449F486E07FF7	url_extracted	https://accelerate.ee/experimentation-framework/	Experimentation framework - Accelerate Estonia	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/06/066b271978d9b786e8b56fab.html:27	Cached page canonical link gives explicit source URL.	Surface existence only; no truth/compliance/prevalence inference.	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00928	LIMEN-SIGNAL-B10993197C431956	url_extracted	https://www.ca.go.ke/regulatory-sandbox	Communications Authority of Kenya regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z:4108-4109	Seed metadata gives title and explicit URL.	Existence of named source surface only	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00929	LIMEN-SIGNAL-B65CD4F13F471657	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	surface existence only; no incident/compliance/prevalence claim	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00930	LIMEN-SIGNAL-C3E139ECCC80EAEE	url_extracted	https://www.cas.go.jp/jp/seisaku/s-portal/regulatorysandbox.html	Regulatory Sandbox system - Cabinet Secretariat Government of Japan	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:4287	Local source refresh rollup gives explicit official sandbox portal URL.	source-surface existence only; do not infer truth, legality, safety, compliance, prevalence, or ranking	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00931	LIMEN-SIGNAL-C469EFBE9BD434AE	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	source-surface existence only; no legal/compliance inference	Use extracted URL as source-surface anchor before any case hardening.
SRPH-00932	LIMEN-SIGNAL-C9063DFFF6F7D32F	url_extracted	https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng	Regulation (EU) 2024/1689 - EUR-Lex	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:1836	EUR-Lex snapshot canonical link gives explicit source URL.	Names a bounded direct source surface only; no substantive claim.	Use extracted URL as source-surface anchor before any case hardening.
