as_of_utc	lane_id	record_ref	record_title	direct_membership_state_count	direct_membership_states	propagated_state_count	propagated_states	delta_state_count	direct_cluster_refs	propagated_cluster_refs	reconciliation_note
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	1	identifier_collision_blocker	1	identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	1	identifier_collision_blocker	1	identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	1	identifier_collision_blocker	1	identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	2	stable_duplicate_cluster|identifier_collision_blocker	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	2	stable_duplicate_cluster|identifier_collision_blocker	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	3	stable_duplicate_cluster|identifier_collision_blocker|no_cluster_review_row	4	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker|no_cluster_review_row	1	REVIEW-SINGLETON-LIMEN-000008:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker|CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	REVIEW-SINGLETON-LIMEN-000008:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker|CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	2	stable_duplicate_cluster|identifier_collision_blocker	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	1	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	2	reviewed_not_duplicate|no_cluster_review_row	2	reviewed_not_duplicate|no_cluster_review_row	0	REVIEW-SINGLETON-LIMEN-000010:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	REVIEW-SINGLETON-LIMEN-000010:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	direct_equals_propagated
