as_of_utc	label	row_type	stable_collapsed_lineages	direct_authority_lineages	single_public_lineages	translation_caution_lineages	jurisdiction_count	language_count	authority_mix	confidence_mix	fragility_flags	paper_safe_role_now	forbidden_overread	next_smallest_publishability_move	example_lineages
2026-06-07T18:31:00Z	security_risk	top_level_category	10	9	1	0	1	1	T1_single_public_source:1; T3_authoritative_source:9	high:9; medium:1	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	bounded repeated-mechanism overlay inside existing taxonomy labels	Do not convert recurrence into prevalence, comparative product safety, or a new top-level label.	Keep the refreshed 10-lineage security overlay tied to Figure 2 caution semantics and preserve the remaining peer-reviewed gap / singleton-boundary warnings rather than widening prevalence rhetoric.	LIMEN-000001::Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | LIMEN-000002::Langflow custom_component endpoint allows public candidate record for remote code execution risk | LIMEN-000003::Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update
2026-06-07T18:31:00Z	agentic_control_failure	top_level_category	10	9	1	0	1	1	T1_single_public_source:1; T3_authoritative_source:9	high:9; medium:1	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	bounded repeated-mechanism overlay inside existing taxonomy labels	Do not convert recurrence into prevalence, comparative product safety, or a new top-level label.	Keep the refreshed 10-lineage agentic-control overlay tied to oversight-evidence asymmetry and preserve the trust-boundary / remediation-depth cautions rather than implying ecosystem-wide control failure.	LIMEN-000001::Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | LIMEN-000002::Langflow custom_component endpoint allows public candidate record for remote code execution risk | LIMEN-000003::Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update
2026-06-07T18:31:00Z	public_sector_misuse_or_gap	top_level_category	8	5	3	5	6	5	T1_single_public_source:3; T3_authoritative_source:5	high:4; medium_high:1; medium:3	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	small comparison panel on disclosure-surface heterogeneity	Do not flatten official project pages, regulator documents, and register rows into one procurement-proof class.	Reuse the refreshed 8-lineage public-sector slice only with disclosure-surface heterogeneity and buyer-side proof-ceiling warnings attached; exact buyer-side companion capture remains the next substantive gain.	LIMEN-000003::UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | LIMEN-000004::UK ICO reprimands Essex school over facial-recognition canteen payments | LIMEN-000008::FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing
2026-06-07T18:31:00Z	normative_or_moral_outlier	top_level_category	5	3	2	4	5	5	T1_single_public_source:2; T3_authoritative_source:3	high:2; medium_high:1; medium:2	mixed_authority_with_single_public_dependence; translation_caution_exposed; interpretive_ceiling_high	bounded interpretive overlay spanning governance anomalies	Do not restate mixed normative anomalies as one legal conclusion or prevalence claim.	Keep the 5-lineage normative overlay interpretive and tie it to stronger source-depth rows rather than presenting it as an independent count-bearing family.	LIMEN-000001::Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | LIMEN-000004::UK ICO reprimands Essex school over facial-recognition canteen payments | LIMEN-000009::Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language
2026-06-07T18:31:00Z	unlawful_or_allegedly_unlawful_use	top_level_category	5	3	2	2	3	3	T1_single_public_source:2; T3_authoritative_source:3	high:2; medium:3	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	posture-aware comparison across accusation, enforcement, and suspected misuse rows	Do not collapse charging-stage, suspected, and regulator-final rows into one adjudicated-unlawful count.	Keep the 5-lineage unlawful/allegedly unlawful slice posture-aware and route reuse through charging-stage / suspected / enforcement-stage distinctions.	LIMEN-000002::EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | LIMEN-000005::DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | LIMEN-000008::FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing
2026-06-07T18:31:00Z	education_workplace_or_hr	top_level_category	6	5	1	2	4	3	T1_single_public_source:1; T3_authoritative_source:5	high:5; medium:1	mixed_authority_with_single_public_dependence; translation_caution_exposed	cross-domain comparator for hiring, schooling, and worker monitoring	Do not treat education/employment recurrence as one harmonized authority class.	Keep the refreshed 6-lineage education/workplace slice as a domain-split comparator and preserve the Danish governance-anchor plus Estonia queue caution instead of narrating harmonized authority depth.	LIMEN-000002::EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | LIMEN-000003::UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | LIMEN-000004::UK ICO reprimands Essex school over facial-recognition canteen payments
2026-06-07T18:31:00Z	ai_washing_or_false_ai_claim	top_level_category	6	5	1	1	2	2	T1_single_public_source:1; T3_authoritative_source:5	high:4; medium:2	mixed_authority_with_single_public_dependence; translation_caution_exposed; sector_concentrated_finance_heavy	Table 1C posture ladder with settled SEC rows separated from accusation-stage hidden-human evidence	Do not generalize from finance-heavy SEC support to cross-sector prevalence or adjudicated hidden-human proof.	Keep the refreshed 6-lineage AI-washing slice posture-aware: preserve SEC concentration, Nate charging-stage caution, and the bounded FTC non-finance sidecar rather than generalizing cross-sector maturity.	LIMEN-000005::DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | LIMEN-000006::SEC settlement with Delphia over false and misleading statements about AI and machine learning use | LIMEN-000007::SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
2026-06-07T18:31:00Z	surveillance_biometrics_or_policing	top_level_category	3	3	0	1	2	2	T3_authoritative_source:3	high:2; medium_high:1	translation_caution_exposed; authority_anchor_heavy; uk_ico_plus_slovenia_triangle	boxed comparator on biometric governance and policing/border-control tensions	Do not present two UK ICO rows plus ORION as international recurrence proof.	Keep the 3-lineage biometric/policing comparator bounded and seek one additional non-UK/non-Slovenian authoritative comparator before any stronger recurrence rhetoric.	LIMEN-000003::UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | LIMEN-000004::UK ICO reprimands Essex school over facial-recognition canteen payments | LIMEN-000009::Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language
2026-06-07T18:31:00Z	deepfake_or_synthetic_identity	top_level_category	3	1	2	2	3	3	T1_single_public_source:2; T3_authoritative_source:1	high:1; medium:2	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	limitations-forward queue and provenance-confusion methods panel	Do not imply authoritative deepfake event closure from title-gloss or single-source multilingual leads.	Keep the 3-lineage deepfake slice limitations-forward; Finland/Lithuania remain upgrade targets and the FCC row remains the only direct-authority lineage.	LIMEN-000008::FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | LMWCS-20260606-002::Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town | LMWCS-20260606-003::Police warn about new fraud methods: gold trading offers and AI-assisted deception
2026-06-07T18:31:00Z	institutional_absurdity	top_level_category	3	0	3	3	3	3	T1_single_public_source:3	medium:3	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	residual-pressure queue and small governance-anomaly appendix	Do not turn thin local-news leads into a stable category family or public-sector prevalence claim.	Keep the 3-lineage institutional-absurdity slice queue-first and seek one official corroboration route before any stronger taxonomy promotion language.	LMWCS-20260606-001::AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist | LMWCS-20260606-005::In Sveta Trojica, artificial intelligence already stands in for a secretary | LMWCS-20260606-006::AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam
2026-06-07T18:31:00Z	legal_procedural_contamination	top_level_category	3	2	1	2	3	3	T1_single_public_source:1; T3_authoritative_source:2	high:2; medium:1	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator	Do not convert this thin package into misconduct prevalence or system-wide legal-process conclusions.	Use the refreshed 3-lineage legal/procedural slice as a source-depth comparison panel and preserve the broadcaster-vs-document-grade asymmetry until a second document-grade authority row appears.	LIMEN-000001::Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | LIMEN-000010::FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims | LMWCS-20260606-001::AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist
2026-06-07T18:31:00Z	finance_insurance_or_market	top_level_category	2	2	0	0	1	1	T3_authoritative_source:2	high:2	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	narrow sector-concentrated comparator attached to AI-washing findings	Do not narrate this as a general finance-AI failure rate or broader market pattern.	Keep the finance slice attached to the AI-washing posture ladder and avoid treating two SEC matters as a broader sector pattern.	LIMEN-000006::SEC settlement with Delphia over false and misleading statements about AI and machine learning use | LIMEN-000007::SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
2026-06-07T18:31:00Z	residual_unclassified	top_level_category	0	0	0	0	0	0	none_assigned	none_assigned	zero_seed_methods_guardrail	methods safeguard and zero-seed heatmap row	Do not read zero assignments as real-world absence or taxonomy closure.	Retain zero-seed row and assign only if a reviewer-legible case genuinely escapes existing labels.	none_assigned
2026-06-07T11:51:43Z	identity_authorization_boundary_abuse	provisional_pattern_watch	1	1	0	0	1	1	T3_authoritative_source:1	high:1	singleton_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy	singleton watch-state for future mechanism appendix	Do not promote a one-lineage mechanism into a seeded subtype or recurring security family.	Look for a second distinct high-confidence identity/authorization-boundary lineage.	LIMEN-000009::PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse
2026-06-07T11:51:43Z	serialized_state_or_memory_trust_boundary	provisional_pattern_watch	1	1	0	0	1	1	T3_authoritative_source:1	high:1	singleton_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy	singleton watch-state for future mechanism appendix	Do not promote a one-lineage state/memory boundary issue into a seeded subtype or generic memory-risk count.	Look for a second distinct high-confidence serialized-state or memory-boundary lineage.	LIMEN-000008::LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects
