queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02570	LIMEN-SIGNAL-D00BF3B3A1211A9F	country_gap_no_parent_source		British Indian Ocean Territory observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:114 (nearby lines 112-116; British Indian Ocean Territory query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02571	LIMEN-SIGNAL-D0122AA3F3225606	country_gap_no_parent_source		Isle of Man observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:98 (nearby lines 96-100; Isle of Man query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02572	LIMEN-SIGNAL-D062BF0615DFAD50	country_gap_no_parent_source		Uruguay observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:154 (nearby lines 152-156; Uruguay query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02573	LIMEN-SIGNAL-D0638773568B83FB	country_gap_no_parent_source		Nicaragua observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:130 (nearby lines 128-132; Nicaragua query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02574	LIMEN-SIGNAL-D06B8ECD406993B2	country_gap_no_parent_source		Estonia observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:145 (nearby lines 143-147; Estonia query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02575	LIMEN-SIGNAL-D0B5F61308F29E92	country_gap_no_parent_source		Libya observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:99 (nearby lines 97-101; Libya query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02576	LIMEN-SIGNAL-D0F3DDA4DC8A889C	country_gap_no_parent_source		South Georgia observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:103 (nearby lines 101-105; South Georgia query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02577	LIMEN-SIGNAL-D131902F8D4D9FFD	country_gap_no_parent_source		Portugal observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:144 (nearby lines 142-146; Portugal query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02578	LIMEN-SIGNAL-D1578FC960118F2B	country_gap_no_parent_source		Belgium observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:164 (nearby lines 162-166; Belgium query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02579	LIMEN-SIGNAL-D1D90EFF4A58E4D8	country_gap_no_parent_source		Dominican Republic observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:173 (nearby lines 171-175; Dominican Republic query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02580	LIMEN-SIGNAL-D1EFA75526AA0ADF	country_gap_no_parent_source		Belgium observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:164 (nearby lines 162-166; Belgium query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02581	LIMEN-SIGNAL-D223A017BC123A4D	country_gap_no_parent_source		Eritrea observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:118 (nearby lines 116-120; Eritrea query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02582	LIMEN-SIGNAL-D225F0C4725552C4	country_gap_no_parent_source		Comoros observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:110 (nearby lines 108-112; Comoros query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02583	LIMEN-SIGNAL-D236894BB4B45795	country_gap_no_parent_source		Palestine observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:112 (nearby lines 110-114; Palestine query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02584	LIMEN-SIGNAL-D2C68C81D3D8C8A7	country_gap_no_parent_source		Turkmenistan observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:123 (nearby lines 121-125; Turkmenistan query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02585	LIMEN-SIGNAL-D2F27F8FEFB27975	country_gap_no_parent_source		Germany observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:140 (nearby lines 138-142; Germany query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02586	LIMEN-SIGNAL-D38D481BD30C8E4B	country_gap_no_parent_source		Yemen observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:131 (nearby lines 129-133; Yemen query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02587	LIMEN-SIGNAL-D4C01BC97FB2E64E	country_gap_no_parent_source		Greece observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:141 (nearby lines 139-143; Greece query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02588	LIMEN-SIGNAL-D511394EB7E26AFF	country_gap_no_parent_source		Cambodia observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:116 (nearby lines 114-118; Cambodia query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02589	LIMEN-SIGNAL-D523EAE41F069D38	country_gap_no_parent_source		Azerbaijan observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:180 (nearby lines 178-182; Azerbaijan query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02590	LIMEN-SIGNAL-D54375E33C556A9B	country_gap_no_parent_source		Afghanistan observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:113 (nearby lines 111-115; Afghanistan query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
BPSE-02591	LIMEN-SIGNAL-D5DA4896A19E62E3	country_gap_no_parent_source		Lithuania observability research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:160 (nearby lines 158-162; Lithuania query/profile row)	Country query/profile placeholder lists search targets and preferred source types, but no explicit parent URL is present locally.	source-discovery placeholder only; no direct-source or case existence claim	find a named official/institutional source before any case review
