negative_id	record_or_lead	source_family	what_was_visible	what_was_not_available_or_not_safe_to_infer	methodological_value	next_safe_action
NEG-001	LIMEN-AUTH-000002 EEOC iTutorGroup	Regulator and enforcement sources	EEOC lawsuit and settlement summaries are public and captured.	No open court-originating complaint, consent decree, docket entry, or judicial order text captured in this snapshot.	Shows that official agency summaries can still be below court-text depth.	Keep agency-posture ceiling or locate genuinely public court-facing text without bypass.
NEG-002	LIMEN-AUTH-000003 Nate	Court and tribunal records	DOJ charging-stage press release and DOJ-hosted indictment PDF are represented.	Caption normalization and disposition/final-authority follow-through remain incomplete.	Shows why a court-facing document can still be accusation-stage only.	Finish caption/OCR normalization and monitor public disposition records.
NEG-003	LIMEN-008-NTE-002 NEJM	Academic and research-integrity sources	DOI/retraction metadata visible via DOI/Crossref-level surfaces.	Direct NEJM publisher notice page returned HTTP 403 in shard notes; detailed rationale cannot be restated.	Shows that retraction metadata is not equivalent to direct notice text.	Keep as blocked-notice negative result unless public direct notice becomes reachable without bypass.
NEG-004	SEC Delphia and Global Predictions	Regulator and enforcement sources	SEC press release and prior captured administrative-order metadata exist in local authoritative ledger.	Public-link audit recorded shell 403 for SEC PDFs on this host.	Shows current retrieval barriers even for official public records.	Use prior captured provenance; do not bypass blocked retrieval.
NEG-005	FTC DoNotPay and Workado	Regulator and enforcement sources	Public FTC pages are web-visible and PDF rows are locally represented in the authoritative ledger.	Local shell case-page retrieval returned 403 in prior checks; page/PDF chronology still needs careful document-date separation.	Shows why official pages are not a single frictionless source surface.	Use captured public PDFs and explicit posture/date notes; no bypass.
NEG-006	Helsinki procurement trace	Public-sector registers and procurement	Buyer-side procurement companion signals exist in prior dashboard-paper notes.	Exact row-specific linkage below contract/tender proof remains unresolved.	Shows procurement-register ambiguity and buyer-side trace limits.	Keep as below-exact-proof appendix unless a public tender/award/contract row is captured.
NEG-007	Amsterdam algorithm register	Public-sector registers and procurement	Register/export signals are public and link audit shows API CSV retrieval succeeded.	Register/export metadata does not by itself establish operational impact, legality, or completeness.	Shows public-sector disclosure is a source surface, not proof of deployment effects.	Use disclosure-field completeness, not harm or compliance language.
NEG-008	LIMEN-ML low-cap multilingual leads	Reputable multilingual media and investigations	Title glosses and direct-source extraction notes exist for several rare-language leads.	Official corroboration, exact dates, and final procedural posture are missing for multiple rows.	Shows why language diversity must be coupled to translation and source-depth caution.	Prioritize one direct official source capture per underrepresented language before promotion.
NEG-009	LIMEN-FTC-000003 Rytr	Regulator and enforcement sources	FTC page indicates a valuable AI review/testimonial generator matter and later set-aside chronology in prior notes.	A simple current-final-order characterization would be misleading without full chronology reading.	Shows that official records can weaken simple exemplars by adding procedural complexity.	Read complaint, final order, set-aside order, and dissent/order posture before reuse.
NEG-010	LIMEN-PS-000001 Datatilsynet SU AI	Public-sector registers and procurement; Regulator and enforcement sources	Official Danish regulator page is reachable and dated.	The source supports governance/legal-basis discussion, not harm, illegality, failed deployment, or compliance certification.	Shows that a strong public-sector anchor can be non-harm evidence.	Keep in source-depth or governance comparator panel.
