queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00553	LIMEN-SIGNAL-523CA239D728DD79	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:61	Research-queue country placeholder lists Kiribati search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00554	LIMEN-SIGNAL-524754976A86AF71	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:64	Research-queue country placeholder lists Marshall Islands search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00555	LIMEN-SIGNAL-5308D43E0D717A47	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:45	Research-queue country placeholder lists Belarus search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00556	LIMEN-SIGNAL-53184E403164FF0A	country_gap_no_parent_source		PALLAS_OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:4	Research-queue country placeholder lists Spain search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00557	LIMEN-SIGNAL-5387F8121D64C669	country_gap_no_parent_source		PALLAS_OBSERVABILITY_COUNTRY_INDEX country profile	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:243	Antigua and Barbuda score/profile row gives gap flags and multiple source examples but no direct regulatory-sandbox parent URL.	processing-state gap/profile marker only	resolve from source-refresh/source-pack before review
BPSE-00558	LIMEN-SIGNAL-53912DEF79597925	country_gap_no_parent_source		PALLAS_OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:21	Research-queue country placeholder lists Iceland search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00559	LIMEN-SIGNAL-53DE06E51E1138FF	parent_source_wrapper		Estonia/Finland preprint sample table	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_ESTONIA_FINLAND_PREPRINT_SAMPLE.tex:348	Line names multiple register surfaces (Kratid/use-case catalogues, Kela, Helsinki); human must choose parent source.	wrapper only; no single reviewed source	split into one row per selected register source
BPSE-00560	LIMEN-SIGNAL-544A402F9AA7C0C9	country_gap_no_parent_source		OBSERVABILITY_250_COUNTRY_MATRIX country profile	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:67	Åland score/profile row says no algorithm register found and lists multiple examples without URL.	processing-state gap/profile marker only	resolve from source-refresh/source-pack before review
BPSE-00561	LIMEN-SIGNAL-54A9DA1106087086	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:34	Research-queue country placeholder lists Faroe Islands search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00562	LIMEN-SIGNAL-54C0A081B43A96DA	parent_source_wrapper		Estonia/Finland RESULT sandbox discussion	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/RESULT.md:120	Discussion names Estonia and Finland sandbox leads and says human reviewer should reconcile them; no single URL.	wrapper/discussion only	split or resolve exact sandbox lead before review
BPSE-00563	LIMEN-SIGNAL-54CD3C60F4D8E066	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:4	Research-queue country placeholder lists Spain search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
BPSE-00564	LIMEN-SIGNAL-54EA1004DFEA4A5E	country_gap_no_parent_source		OBSERVABILITY_RESEARCH_QUEUE country gap row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:65	Research-queue country placeholder lists Mauritius search/source classes only; no parent URL.	processing-state gap marker only	no action until a named local source URL is found
