signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-8407ABECB24DD54D	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded official-search negative for a sandbox surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv
LIMEN-SIGNAL-840A4D54D86A4BA1	needs_named_source_extraction	wrapper_or_proxy_to_source	Research-queue row lists country-level targets but no single named direct source surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-840B2CCA8792BA90	source_reviewed_candidate	named_official_source_surface	Local metadata names the UK FCA Regulatory Sandbox, a concrete regulator source surface.	source posture only	open a bounded packet on the named source surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/sources/sources.md
LIMEN-SIGNAL-840E0B48A29F5778	reject_noise	internal_or_derived_artifact	Local row is a patent-landscape record, not a direct public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/patent-power-history.jsonl
LIMEN-SIGNAL-841385562BC5BD98	translation_review_needed	named_translation_sensitive_source_surface	Local metadata names Malaysia National Guidelines on Artificial Intelligence Governance and Ethics on an official government site and flags translation sensitivity.	source posture only; translation-sensitive	run bounded translation-aware source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl
LIMEN-SIGNAL-841793CD7ECFCA02	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps the Helsinki AI Register; this manuscript row is derivative.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/venue/estonia-finland-ai-and-ethics-preprint-anon.md
LIMEN-SIGNAL-841F2522B828EA08	negative_evidence_candidate	search_negative_or_gap	Local row is an evidence-limit crawl error, not a positive direct source surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/estonian-baltic-language-history.jsonl
LIMEN-SIGNAL-84213B99332E3C58	merge_existing_surface	registry_surface_already_modeled	Local metadata points to a Helsinki AI Register case already nested under an existing modeled register surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/records.jsonl
LIMEN-SIGNAL-842B52DBC119206D	reject_noise	internal_or_derived_artifact	Local row is a config seed fragment, not a reviewable direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-842D5484F6B5858E	reject_noise	internal_or_derived_artifact	Local row is a scholarly index record, not a direct public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-84344EF44B60D469	reject_noise	internal_or_derived_artifact	Local row is an internal sprint summary directing searches, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SUMMARY.md
LIMEN-SIGNAL-84384BA113870AFD	reject_noise	internal_or_derived_artifact	Local row is a claim-support digest over a paper artifact, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.csv
LIMEN-SIGNAL-8445BF11F8DA7BA7	negative_evidence_candidate	search_negative_or_gap	Local row is a weak-source warning about missing AI-specific procurement evidence.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-8450B6DB21B0F68E	reject_noise	internal_or_derived_artifact	Local row is a source-document inventory entry for a private vendor artifact, not a public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-120-20260603T0704/source_documents.jsonl
LIMEN-SIGNAL-8455B2DF27FF53C8	merge_existing_surface	registry_surface_already_modeled	Local metadata already resolves the FCA sandbox URL as a canonical existing surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/portal-dedupe-control/atlas-portal-dedupe-control-20260607T170229Z/canonical-records-sample.jsonl
LIMEN-SIGNAL-845F3A70A87EC1BE	reject_noise	internal_or_derived_artifact	Local row is internal manuscript prose, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-rescinded-model-boundary-update.md
LIMEN-SIGNAL-846F93AB10A5009A	reject_noise	internal_or_derived_artifact	Local row is package metadata for a preprint artifact, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/zenodo-published-record-v0.2-20260608.json
LIMEN-SIGNAL-84709931A287D1E4	reject_noise	internal_or_derived_artifact	Local row is internal project prose about future search input, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/patents/patent-power-dashboard-v0.2.md
LIMEN-SIGNAL-847165240471D9FE	reject_noise	internal_or_derived_artifact	Local row is a scholarly index result, not a direct public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-84799C26A29DC1C8	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points to Enterprise Singapore and related official sources but does not isolate one reviewable surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-curated.json
LIMEN-SIGNAL-847C750F6E015219	reject_noise	internal_or_derived_artifact	Local row is a scholarly index record, not a direct public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl
LIMEN-SIGNAL-8484C1DD782588F6	source_reviewed_candidate	named_official_source_surface	Local metadata names the Bank of Lithuania Regulatory Sandbox page, a concrete regulator source surface.	source posture only	open a bounded packet on the named source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-848515638F570DFC	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps the Helsinki AI Register; this is a sample row from that surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv
LIMEN-SIGNAL-848C315F3E06B2FA	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded official-search negative for a public algorithm register.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-848E5B110B5B79C7	negative_evidence_candidate	search_negative_or_gap	Local row is a weak-source warning that municipal Helsinki material is not national-register evidence.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-8492B0649E4AB393	reject_noise	internal_or_derived_artifact	Local row is an internal journal blocker note, not a direct source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/projects/public-ai-procurement-gap/journal.md
LIMEN-SIGNAL-84A1B47BE6D29157	source_reviewed_candidate	named_official_source_surface	Local metadata names the NAMFISA regulatory sandbox page, a concrete official regulator surface.	source posture only	open a bounded packet on the named source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv
LIMEN-SIGNAL-84A69917567FD9FB	source_reviewed_candidate	named_official_source_surface	Local metadata names the CBSL FinTech Regulatory Sandbox page and framework PDF, concrete official regulator surfaces.	source posture only	open a bounded packet on the named source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-84AB1D4A2C0B7459	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded official-search negative for a Bulgarian AI sandbox surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-84B0EEEA45AA6A2F	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row summarizes hardening findings and hints at underlying official surfaces without isolating one named review packet.	source posture only	extract the underlying named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-84B6C65714AD6125	reject_noise	internal_or_derived_artifact	Local row is an internal agent-atlas record, not a direct public source surface.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/records.jsonl.bak-cycle165
