queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-03201	LIMEN-SIGNAL-79CD7E8DE204052F	research_queue_search_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	213	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03202	LIMEN-SIGNAL-79DCD12792BA4AE5	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	28940	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
BPSE-03203	LIMEN-SIGNAL-7A21C8DA2594CCDB	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	189	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03204	LIMEN-SIGNAL-7A8CDBB2B34B811C	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	209	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03205	LIMEN-SIGNAL-7A907BCD38082A9C	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25453	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
BPSE-03206	LIMEN-SIGNAL-7B0F2D11A0DF934E	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	182	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03207	LIMEN-SIGNAL-7B406192F368F1AC	research_queue_search_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	199	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03208	LIMEN-SIGNAL-7C6BCD2D7B947043	research_queue_search_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	245	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03209	LIMEN-SIGNAL-7C7DF2E2F4AEFDC8	research_queue_search_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	245	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03210	LIMEN-SIGNAL-7CC999F502515806	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	17350	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
