packet_id	path	exists	recorded_sha256	current_sha256	recorded_size_bytes	current_size_bytes	drift_state	allowed_action	blocker_or_note
manuscript_current	draft/preprint-v0.3-f1000.md	yes	74f77d887bf2dca2635cef96b0f8d177c1ecdd519f9bfec8c2d07a43599929cf	74f77d887bf2dca2635cef96b0f8d177c1ecdd519f9bfec8c2d07a43599929cf	36646	36646	UNCHANGED	read-only-review	primary release text
dashboard_spec	dashboard/limen-dashboard-spec-v0.1.md	yes	25a4228daac96dd409c3a322c2a63e6f807a0134c2b2b36cd070389e0ad52409	bb7fd5843bf554d2047c2addd6dfa5ef7c8257820f8a2af08329db6fe9870e54	19936	20511	CONTENT_DRIFT_REVIEW_REQUIRED	read-only-review	required lane output
article_architecture	papers/article-architecture-v0.1.md	yes	290ba38e9127882ba6d3f475b1c49ee202193c6200f6116969e12eced5ff83e2	8b201822dc0c9e0c8a84c1be800ddb9875aee9ebd8a69136203925f71fe7af3d	17875	18465	CONTENT_DRIFT_REVIEW_REQUIRED	read-only-review	required lane output
dashboard_api_bundle	dashboard/limen-dashboard-api-bundle-v0.1.json	yes	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	78095	78095	UNCHANGED	internal-consume	do not present as public release proof
static_dashboard_preview	dashboard/static-dashboard-preview-v0.1.html	yes	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	20238	20238	UNCHANGED	internal-consume	no upload/deploy action
si_manifest	results/boost/limen-dashboard-paper-forge/si-package/si-package-manifest.json	yes	8220c90950b8361c55b2b6dc98728f66fc620f58889ab4da838f039d84a3f923	8220c90950b8361c55b2b6dc98728f66fc620f58889ab4da838f039d84a3f923	1408	1408	UNCHANGED	read-only-review	check file presence before deposit
pre_submit_tool	tools/limen_pre_submit_check.py	yes	0db4c5154a92c2dfb5c15a8693c3d48ca36d454418c2e57a6f83fed61ec1bb32	0db4c5154a92c2dfb5c15a8693c3d48ca36d454418c2e57a6f83fed61ec1bb32	18226	18226	UNCHANGED	internal-run	rerun after edits
caption_gate_test	tests/test_limen_caption_currentness_gate.py	yes	76ecdcdca0a0380847c1ce4080421080ff2cb50ce519392e0c7816dfdf893f0d	76ecdcdca0a0380847c1ce4080421080ff2cb50ce519392e0c7816dfdf893f0d	2825	2825	UNCHANGED	internal-run	rerun after edits
closure_audit_v23	results/boost/limen-dashboard-paper-forge/required-output-closure-audit-v2.3.md	yes	fe09e291b65621ef6af9e3fdf4592f62c03816dfa7dee93c9ad0b2d48c5193cc	fe09e291b65621ef6af9e3fdf4592f62c03816dfa7dee93c9ad0b2d48c5193cc	3304	3304	UNCHANGED	read-only-review	current closure state before v2.4
source_join_scope_v22	results/boost/limen-dashboard-paper-forge/file-qualified-source-join-scope-audit-v2.2.md	yes	9c399f33542801db272923329bdd60d4c2475846b478593d09a80ca5f35a660e	9c399f33542801db272923329bdd60d4c2475846b478593d09a80ca5f35a660e	5407	5407	UNCHANGED	read-only-review	do not enable tooltips before file-qualified joins
release_checklist_v20	results/boost/limen-dashboard-paper-forge/human-release-decision-checklist-v2.0.md	yes	264a4c9eedf8007150dd33a43f235106244a0e715f67c7100cac11e9003bb7f1	264a4c9eedf8007150dd33a43f235106244a0e715f67c7100cac11e9003bb7f1	4894	4894	UNCHANGED	read-only-review	external upload/deposit remains Anton-controlled
status	results/dashboard-paper/status.md	yes	29d9ec53ed7a15dbbe231062781a490e0748a8951ff2d684cd0af5ed4d3b51e1	9f9a35e55d59d4edd379dbdeb741a60d075ffcaacb104ecc3a6c412b154438c6	29405	30678	EXPECTED_APPEND_DRIFT	read-only-review	append-only summary surface
manifest	manifest.json	yes	480242f0a79df6513e931db2db8d55d354e3bfd09c379fc3f9fde426c499a004	b1a5f9f1f7d847e39c9609d3e3ca77b91bef8e35dde0660324e7bbb21bc59e51	18428	19475	CONTENT_DRIFT_REVIEW_REQUIRED	internal-consume	must remain valid JSON
