queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00401	LIMEN-SIGNAL-139E33F9522ED545	translation_source_reviewed	th	https://www.etda.or.th/th/Our-Service/AIGC/index.aspx	AIGC - สพธอ.	Local Thai ETDA AIGC page is an official AI-governance surface; no concrete case-level event extracted.	source-surface/context only; no legal, policy, safety, or prevalence claim	retain as translation-sensitive source context; extract only if parent needs Thai AI governance vocabulary
BTR-00402	LIMEN-SIGNAL-14D40C7C3ED945AC	source_surface_only_no_case	fr	https://www.data.gouv.fr/pages/suivi-algorithmes-publics	data.gouv.fr / Etalab — Suivi des algorithmes publics	French data.gouv.fr/Etalab algorithm-tracking page is a general transparency surface, not PM-specific edge-case evidence.	surface existence only; no jurisdiction-specific register or case claim	keep as comparator/background or require parent-specific source before case use
BTR-00403	LIMEN-SIGNAL-152A3E5DB3BB18D1	translation_source_reviewed	pl	https://uodo.gov.pl/589	Sztuczna inteligencja - UODO	Polish UODO AI hub is an official regulator surface with AI terms; local row supports only guidance-context review.	source-surface/context only; no compliance or incident finding	retain for translation-aware regulator vocabulary extraction
BTR-00404	LIMEN-SIGNAL-168FC455CAC9A30C	source_surface_only_no_case	fr	https://www.boamp.fr/	Direction de l’information légale et administrative — BOAMP - Bulletin officiel des annonces des marchés publics	BOAMP is an official French procurement publication portal but row explicitly says infrastructure-only and no GF AI procurement governance.	procurement portal existence only; no AI procurement or governance claim	do not promote; use only as procurement-infrastructure context
BTR-00405	LIMEN-SIGNAL-192A4B53AF4F28C7	candidate_for_parent_source_extraction	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ดีอี จับมือ ETDA ประกาศ Guideline ใหม่! “แนวทางประยุกต์ใช้ Generative AI อย่างมีธรรมาภิบาลสำหรับองค์ - สพธอ.	Thai ETDA generative-AI governance guideline page is official and locally captured; source is suitable for bounded parent-source extraction.	translation-sensitive guidance surface only; no substantive policy claim from machine translation	extract title/locator/provenance with Thai-capable review before any claim use
BTR-00406	LIMEN-SIGNAL-1933DA74C4682302	cross_project_duplicate	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ดีอี จับมือ ETDA ประกาศ Guideline ใหม่! “แนวทางประยุกต์ใช้ Generative AI อย่างมีธรรมาภิบาลสำหรับองค์ - สพธอ.	Same ETDA generative-AI guideline URL/content as BTR-00405 from an earlier history file.	duplicate source-surface only; no independent claim	deduplicate to BTR-00405 canonical source review
BTR-00407	LIMEN-SIGNAL-1B588514658CAFF5	candidate_for_parent_source_extraction	el	https://ai.gov.gr/artificial-intelligence/	Τεχνητή Νοημοσύνη | Ειδική Γραμματεία Τεχνητής Νοημοσύνης και Διακυβέρνησης Δεδομένων	Greek ai.gov.gr page is an official AI/governance surface with local Greek source text and public-administration term hits.	translation-sensitive government AI policy surface only; no legal/policy finding	extract canonical source metadata with Greek-capable review
BTR-00408	LIMEN-SIGNAL-1BAC182C1128C7B0	candidate_for_parent_source_extraction	pt	https://www.gov.br/anpd/pt-br/assuntos/noticias/publicado-edital-para-participacao-em-sandbox-regulatorio-em-inteligencia-artificial	ANPD publica edital para participação em sandbox regulatório experimental em inteligência artificial	Portuguese ANPD page explicitly names an AI regulatory sandbox notice in local captured text.	translation-sensitive sandbox source surface only; no legal or compliance finding	queue parent-source extraction with Portuguese review of exact ANPD wording
BTR-00409	LIMEN-SIGNAL-1C4FE8CD766CA602	candidate_for_parent_source_extraction	es	https://www.gob.pe/institucion/pcm/noticias/1243553-gobierno-aprobo-el-reglamento-de-la-ley-que-promueve-el-uso-de-la-inteligencia-artificial	Presidencia del Consejo de Ministros — Gobierno aprobó el Reglamento de la Ley que promueve el uso de la Inteligencia Artificial	Spanish PCM gob.pe news row explicitly names regulation of Peru AI law; support remains official-news surface.	official news surface only; Spanish wording unresolved; no legal finding	extract as secondary/official-news source with Spanish review
BTR-00410	LIMEN-SIGNAL-1D4E090507D1E41B	source_surface_only_no_case	no	https://www.digdir.no/kunstig-intelligens/digdir-lanserer-tverrsektoriell-oversikt-over-offentlig-ki-bruk/4331	Norwegian Digitalisation Agency (Digdir) — Digdir lanserer tverrsektoriell oversikt over offentlig KI-bruk	Norwegian Digdir row describes a cross-sector public AI-use overview but notes no comprehensive statutory register or SJ-specific inventory.	surface/context only; no algorithm-register or territory-specific claim	keep as partial transparency comparator; require original Norwegian source for extraction
BTR-00411	LIMEN-SIGNAL-1E81038421116C61	translation_source_reviewed	ms	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	Malaysia government AIGE page is official and locally captured, but content is broad governance guidance.	source-surface/context only; no impact-assessment or risk-management claim	retain for translation-aware source context; no case promotion
BTR-00412	LIMEN-SIGNAL-1E8DCC3559A178E5	candidate_for_parent_source_extraction	da	https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	Kunstig intelligens	Danish Datatilsynet AI page is an official regulator AI hub; local metadata flags sandbox/public-sector guidance relevance.	translation-sensitive regulator surface only; no Article 57, sandbox-operation, or compliance finding	extract canonical source surface with Danish-capable review
BTR-00413	LIMEN-SIGNAL-1F3B1BBE361D41E1	cross_project_duplicate	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ดีอี จับมือ ETDA ประกาศ Guideline ใหม่! “แนวทางประยุกต์ใช้ Generative AI อย่างมีธรรมาภิบาลสำหรับองค์ - สพธอ.	Same ETDA generative-AI guideline URL/content already reviewed as BTR-00405.	duplicate source-surface only; no independent claim	deduplicate to BTR-00405 canonical source review
BTR-00414	LIMEN-SIGNAL-20A2D43C573AB044	candidate_for_parent_source_extraction	es	https://www.argentina.gob.ar/programa-nacional-de-transparencia-y-proteccion-de-datos-personales-en-el-uso-de-la-inteligencia	Argentina.gob.ar / AAIP — Programa Nacional de Transparencia y Protección de Datos Personales en el uso de la Inteligencia Artificial	Spanish Argentina.gob.ar/AAIP program page locally mentions automated-decision documentation and transparency criteria.	translation-sensitive official program surface only; no full register or compliance claim	extract bounded source metadata with Spanish review
BTR-00415	LIMEN-SIGNAL-20FEF0748CF0A231	cross_project_duplicate	ms	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	Same Malaysia government AIGE URL/content as BTR-00411 in history/latest records.	duplicate source-surface only; no independent claim	deduplicate to BTR-00411 source review
BTR-00416	LIMEN-SIGNAL-211BD586748CBB6A	cross_project_duplicate	el	https://ai.gov.gr/artificial-intelligence/	Τεχνητή Νοημοσύνη | Ειδική Γραμματεία Τεχνητής Νοημοσύνης και Διακυβέρνησης Δεδομένων	Same Greek ai.gov.gr AI/governance URL/content as BTR-00407 in history/latest records.	duplicate source-surface only; no independent claim	deduplicate to BTR-00407 source review
