queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01177	LIMEN-SIGNAL-D31F9DED213CCFE4	source_url_extracted	https://nbg.gov.ge/en/page/regulatory-laboratory	National Bank of Georgia Regulatory Laboratory	/srv/tyche/pallas/imports/zeus2-wsl-pallas-ai-agent-observatory-20260605/prompts/waves/pallas-hardening-sprint-12/ge-source-hardening.md:55; source line 1350	Local hardening table gives exact URL for sectoral fintech regulatory laboratory; not a general AI sandbox.	source-surface existence only from local metadata/files	review_extracted_source_surface_only
BPSE-01178	LIMEN-SIGNAL-D344CBBE1F149231	parent_source_wrapper		Retraction Watch / OpenAlex fallback / Crossref notice-enrichment layers	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-rescinded-model-boundary-update.md:83	Draft separates multiple parent source/enrichment layers and provides no single parent URL at this row.	source-family wrapper only; no incident/legal/safety finding	human_choose_parent_source_from_package
BPSE-01179	LIMEN-SIGNAL-D350D3BE19F6CB86	country_gap_no_parent_source		Guinea algorithm/transparency register gap	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv:96	Country score row states no public algorithm/transparency register located; no extractable parent URL.	bounded negative gap metadata only	leave_as_gap_placeholder
BPSE-01180	LIMEN-SIGNAL-D3C03E0862F5022D	source_surface_only_no_case		AI evidence infrastructure policy brief ideas	/srv/tyche/atlas/tyche-thesis-atlas-factory/briefs/what-ai-sandboxes-must-record-institute-brief-latest.md:44	Internal brief opportunity list; no concrete public parent source URL or case surface.	internal planning/source-surface context only	no_parent_source_action
BPSE-01181	LIMEN-SIGNAL-D3C7AF5C0EC748BE	source_url_extracted	https://www.digdir.no/kunstig-intelligens/digdir-lanserer-tverrsektoriell-oversikt-over-offentlig-ki-bruk/4331	Digdir AI-use overview	/srv/tyche/pallas/imports/zeus2-wsl-pallas-ai-agent-observatory-20260605/prompts/waves/pallas-hardening-sprint-14/no-source-hardening.md:61; source line 126	Local hardening table gives exact Digdir AI-use overview URL referenced by the score row.	source-surface existence only; not mandatory register claim	review_extracted_source_surface_only
BPSE-01182	LIMEN-SIGNAL-D3C7EF7D20A1E232	country_gap_no_parent_source		Guatemala sandbox gap / Initiative 6514 context	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:701	Country score row says no named operational AI/regulatory sandbox found; no extractable parent URL.	bounded negative gap metadata only	leave_as_gap_placeholder
BPSE-01183	LIMEN-SIGNAL-D3CDC2E9845BFA67	parent_source_wrapper		Nekropolis release profile: retraction_watch candidate	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/release-summary.json:186	Release summary names a source family/profile but not a concrete original public URL.	source-family wrapper only	human_choose_parent_source_from_release_entries
BPSE-01184	LIMEN-SIGNAL-D3D884CDB8473B5C	country_gap_no_parent_source		Turkey sandbox gap	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:1024	Country warning says only weak sandbox mentions and no operational AI-specific sandbox page verified.	bounded negative gap metadata only	leave_as_gap_placeholder
BPSE-01185	LIMEN-SIGNAL-D3D9CC6EA3BE5EF3	country_gap_no_parent_source		EU regulatory-sandbox comparison gap	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_EU_OFFICIAL_COMPARISON_MATRIX.csv:5	Aggregate comparison row describes a common operational-evidence gap, not a named parent URL.	aggregate gap/comparison only	leave_as_gap_placeholder
BPSE-01186	LIMEN-SIGNAL-D3E6B239250E826E	source_url_extracted	https://algoritmes.overheid.nl/en/algoritme/gm0363/21579514/reports-public-space-signals-sia	Dutch Algorithm Register: Reports public space: signals (SIA)	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/authority-buyer-control-audit-v0.3.csv:6; /srv/tyche/projects/public-ai-procurement-gap/data/pilot/register-records-v0.1.csv:6	Local source_basis_paths include exact Dutch Algorithm Register detail URL for the register record.	source-surface/negative-link guard only; no procurement linkage claim	review_extracted_source_surface_only
BPSE-01187	LIMEN-SIGNAL-D3F2DB60FAD6EC5B	country_gap_no_parent_source		Belize regulatory sandbox gap	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md:323-325	Country warning says first-pass checks found no fintech, AI, or cross-sector regulatory sandbox.	bounded negative gap metadata only	leave_as_gap_placeholder
BPSE-01188	LIMEN-SIGNAL-D40077389D83B130	source_surface_only_no_case		Global Agent Atlas lane-06 query plan	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/source-plan.json:1032	Line is an internal search-query string, not a source surface or parent URL.	internal source-plan metadata only	no_parent_source_action
