queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-02913	LIMEN-SIGNAL-761022D70226767C	country_profile_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	20989	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02914	LIMEN-SIGNAL-78672B4B98DE79EA	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24102	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02915	LIMEN-SIGNAL-7C3BD0090C7A12A4	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24408	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02916	LIMEN-SIGNAL-7CF1C934B93F3B08	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24256	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02917	LIMEN-SIGNAL-7E350AC7CD347889	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	36604	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02918	LIMEN-SIGNAL-800386D292FD92AA	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	32032	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02919	LIMEN-SIGNAL-80207F0ED1027F29	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22727	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02920	LIMEN-SIGNAL-816FBFB3426A39F4	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	31119	Local atlas country-profile label/wrapper points to a topic but does not expose a named reviewable source surface.	source-extraction triage only; no direct source existence claim until a named surface is extracted	extract a named official/procurement source or remove from direct-source queue
BPSE-02921	LIMEN-SIGNAL-85D2CD6AE2969135	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	33557	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02922	LIMEN-SIGNAL-87556A12E584C1C6	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	23737	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02923	LIMEN-SIGNAL-89CC4289B35F9C13	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	26544	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02924	LIMEN-SIGNAL-89F63BD1A9E4FFBA	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	23338	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02925	LIMEN-SIGNAL-8A479A53D63DE5A0	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	16854	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02926	LIMEN-SIGNAL-8BC6B903A22DAED5	research_queue_query_pack	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	248	Research-queue row lists country/query strings and observability priority, not a named reviewable direct source surface.	No direct-source claim until a named public source surface is extracted.	Extract a named official/regulator/vendor/register surface before source review.
BPSE-02927	LIMEN-SIGNAL-8D99DD44EDDD4C06	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25324	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02928	LIMEN-SIGNAL-91A1B076404AA193	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25629	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02929	LIMEN-SIGNAL-9268D9D559688CC9	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	30049	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02930	LIMEN-SIGNAL-9623B54C582F1F60	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	30508	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02931	LIMEN-SIGNAL-97E9B899FC69D2DA	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24043	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
