signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-B6D514D569336D96	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	47	sha256:afb230116c704e69a3a38da16d5e9312132b27b6fc4e61a3ad47e5b76bcfdacc	"FI-HEL-AI-SAMPLE-4,FI-HEL-AI,Helsinki AI Register,City of Helsinki AI Register,""Helsinki, Finland"",Finland,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,2026-06-05,International House Helsinki,listing_snippet,coded"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6DD09CC94BB1BEB	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv	76	sha256:17da58d9bef2b35fddb7d7e61f4f55a9ed1e2ef0a6f39050d08d3a8dd4a9a179	"IT,I05,1,M,1,M,""No central public algorithm/AI register found from AgID AI page, AgID consultation materials, or national open-data portal checks. Retain conservative score and mark as negative evidence rather than absence proof."",true,it-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6EAD01E4DCAC554	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-tests-v0.2.3.csv	7	sha256:54de0cc0561c331a17dd2a87e591e98dd3717db8a6a5f3af70bc248ed740ed85	"evidence_package_schema_exists,Legal duties to machine-readable evidence,PASS,""The Atlas now contains a reusable AI evidence-package profile/schema connecting legal duties, actor roles, standards fragments, and evidence objects."",2,2,2,2"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6EE28A9A443D644	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv	15	sha256:22bc8cb3ecb686c33d93397195f3b712bd25d85af9952b2fcc490e5a03c3fdf2	"helsinki-sotebotti-hester-register-20260531,helsinki-sotebotti-hester,Sotebotti Hester,description,""Helsinki's AI register describes Sotebotti Hester as a chatbot for social services, health care, and rescue services that combines multiple knowledge bases and"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6F3B0C4DAB11735	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SUMMARY.md	194	sha256:3083452495192206b3e8a3d2e0b9ab3ead8bc5d78058a2528b8a1e9eb32b4c9e	- I08 procurement: schedule an AI-specific procurement-model-clause pass; do not substitute generic procurement portals for AI procurement controls.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6F3D96FCBA78888	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-001/source-family-authority-gate-refresh-20260612T1520.tsv	5	sha256:fc2bee5eaffaf487df5dd8c85696286110ee20eea4a4dd46d31a14eabda88d42	SF-AUTH-UPGRADE-FREEZE-public-sector-20260612T152057Z 2026-06-12T15:27:00Z limen-boost-001 public-sector sf09;sf07;sf12 2 20260612T152057Z 20260612T143540Z 31298 31273 25 50 algorithm register 0.323 /srv/tyche/pallas/pallas-ai-agent-observatory 0.380 medium ro	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6F41BAF31C8DBB5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	137	sha256:3bddc899b3ccf04d11609472f14c1e7498a68a62adaa7ab146f535c9dd14e2d1	pallas-readiness-sprint-4,KH,Cambodia,0,L,1,M,1,L,1,L,0,L,1,L,1,M,1,M,2,M,1,L,22,no_official_ai_law_found;no_named_ai_competent_authority;sandbox_not_verified;standards_ai_participation_unverified;no_algorithm_register_found;weak_identity_pki_evidence;no_ai_ev	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6FDD24EA1E7A3B7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv	56	sha256:3d8cf55ee6ad26b5617a3d4230258000cedaa7d8732b09d12aec01c9f79a7a94	DZ,I05,0,L,0,L,No public algorithm register or automated-decision inventory found on checked official portals. Negative finding remains source-limited.,true,dz-source-hardening	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B6FF373110DD10F1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/nekropolis-explainer-ru-2026-05-22.md	159	sha256:9300b1f1dc74129ec093e4d286036188b3b0df681ccbb9383dde58f88e684bd0	| Retraction Watch | Известная общественная база данных об отозванных научных статьях. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B704C4428DBECAC9	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-4eab32bd3c3812da.bin	190	sha256:076601c302524a52ebe988eb802dba86a72240e9758e5fbe1227cc3acda7c0aa	"<li id=""menu-item-817"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-item-home menu-item-817""><a href=""https://ai.hel.fi/en/ai-register/"">AI Register</a></li>"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B704FA6B4BEB79BB	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json	4010	sha256:24195ebbaa1653a1f65b7c839c9b26a71c7c46eb9e1c631e9c28e8e9a08fac36	"text: ""Keep conservative score and low confidence because absence search is environment-limited.,true tr-source-hardening,TR,Turkey,I04,2,M,2,H,confidence_only,TSE/ISO evidence remains adequate for standards participation; no score change proposed.,false tr-"	needs direct source, source-pack resolution, or translation-aware review before example promotion
