queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00257	LIMEN-SIGNAL-BA609EB9C8AF9FE9	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	3	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00258	LIMEN-SIGNAL-BAD7D3A4BBB6F1DF	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json	29650	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00259	LIMEN-SIGNAL-BAE210515BEB0F2C	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	43	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00260	LIMEN-SIGNAL-BAE87FF587FD9C87	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	30	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00261	LIMEN-SIGNAL-BB442E9EC5B80325	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	809	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00262	LIMEN-SIGNAL-BC09D7A0CBA9B81A	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	893	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00263	LIMEN-SIGNAL-BC294441C4458369	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	36	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00264	LIMEN-SIGNAL-BC53F1F3349083F9	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	893	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00265	LIMEN-SIGNAL-BD82FAB67539D2EB	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	703	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00266	LIMEN-SIGNAL-BDFF42F9CC0FAE14	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	19	Plausible direct official surface, but local evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-safe review	route to translation-aware source review
BTR-00267	LIMEN-SIGNAL-BF0A2D3C9627E8E1	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/manuscript.md	138	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00268	LIMEN-SIGNAL-BF84927617AB85C0	translation_sensitive_surface	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-latest.jsonl	1	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00269	LIMEN-SIGNAL-BF8B9AF60B9DA210	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md	29	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00270	LIMEN-SIGNAL-C04E1642293AC2A5	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	9	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00271	LIMEN-SIGNAL-C0706FF9FF80E58D	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	296	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
BTR-00272	LIMEN-SIGNAL-C0CE1C9ECDDCCC35	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	536	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review
