signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-452E3AF33E8B0F74	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	94	sha256:4497d026ef7a4bbab9f97acf57b8a85bc1fda383dd72184731910085557a9b86	TF,French Southern and Antarctic Lands,high,D thin visibility,high,French Southern and Antarctic Lands AI Act implementation competent authority; French Southern and Antarctic Lands algorithm register public sector AI; French Southern and Antarctic Lands AI re	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-455EF507ACDEB951	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	19322	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4617B865DACFD73C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	172	sha256:8a059ccbc7ef1399ecaa6763e87456130b9ae66788eb751a2a56658a7299ba2c	PE,Peru,high,C fragmented but observable,medium,Peru AI Act implementation competent authority; Peru algorithm register public sector AI; Peru AI regulatory sandbox; Peru AI procurement public sector guidance; Peru AI audit logs provenance post-market monitori	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-467E6F04CE820C27	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	96	sha256:0c7cf48dc3b98b759ad7f62da7b9b94809151d8941ac49f6265f0cca675734ef	HM,Heard Island and McDonald Islands,high,D thin visibility,high,Heard Island and McDonald Islands AI Act implementation competent authority; Heard Island and McDonald Islands algorithm register public sector AI; Heard Island and McDonald Islands AI regulatory	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4695107DE2639401	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	15477	sha256:f789c3793933fca3e3413581adc43607befd98fcf66c5ccd5b24529c3147a60e	"summary: ""First-pass Saint Lucia profile shows operational baseline legal/administrative infrastructure in data protection, e-transactions, cybersecurity offences, standards, procurement, tenders and statistics, but no public AI-specific law, sandbox, algori"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-46D0B065F489538C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	10287	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-473C13776437B657	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	97	sha256:08f16b3283b300ce2888c327a1824d1804c99d4676f099d16df76711c0aa64cd	IQ,Iraq,high,D thin visibility,high,Iraq AI Act implementation competent authority; Iraq algorithm register public sector AI; Iraq AI regulatory sandbox; Iraq AI procurement public sector guidance; Iraq AI audit logs provenance post-market monitoring; Iraq AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-478509CE61386CEF	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	13486	sha256:d4a384dcb69dda5e577878fadb366b8145534c66a5a2aeecc7b9bdab0ad2676f	"summary: ""Ecuador shows strong open-data, PKI/e-signature, standards-body and cybersecurity-sector evidence, plus emerging official AI policy and legislative activity. First pass did not find enacted AI-specific law, an operational AI sandbox, a public algor"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-47CFF66660AB900D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	2125	sha256:a371451c1ef5b1c28ddb8389e83530f2c47b1783a3dcc601b4efd859339e9291	- Aruba has public-access/transparency-law evidence, but no public algorithm register or AI-system transparency register was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4806BABFE4A93E7E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T06:39:38Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	117	sha256:083ee602ff586247b094d07a0876816c0d85cbb05fa94d58e37c729bacb046bc	BQ,Caribbean Netherlands,high,E very low public observability,high,Caribbean Netherlands AI Act implementation competent authority; Caribbean Netherlands algorithm register public sector AI; Caribbean Netherlands AI regulatory sandbox; Caribbean Netherlands AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
