category_code	category_label	review_priority	seed_case_count	local_support_profile	framework_anchor_profile_now	claim_ceiling_bucket_now	legal_conclusion_limit	next_stronger_source_needed	observatory_hook
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	5	mixed_tier_authority_led	unesco	mixed_authority_context_insufficient	Impossible to conclude illegality or AI Act breach from media allegations alone	court complaint/decree text, police or election-authority notice, or platform/police enforcement rationale that narrows actor role and legal threshold	Legal-risk heatmap by category and evidence tier
security_risk	Security risk	High	10	mixed_tier_authority_led	nist	mixed_authority_context_insufficient	Public evidence often cannot show whether duty-to-report thresholds or formal security obligations were triggered	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Security-to-governance edge list for graph/table views
agentic_control_failure	Agentic control failure	High	10	mixed_tier_authority_led	nist	mixed_authority_context_insufficient	Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations	deployment-context incident report, architectural postmortem, or provider/deployer documentation of the failing control path	Agentic-control matrix linking case type to oversight evidence needs
institutional_absurdity	Institutional absurdity	Medium	3	candidate_only_public_reporting	unesco	non_authoritative_public_reporting_only	Often impossible to separate organizational dysfunction from AI-specific legal significance using public evidence alone	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved leads	Public-sector absurdity typology and dashboard filter
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	8	mixed_tier_authority_led	nist+oecd	mixed_authority_context_insufficient	Public silence or incomplete procurement records cannot by themselves establish hidden prohibited or high-risk use	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement that narrows public-authority role and legal basis	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	3	mixed_tier_authority_led	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence	authoritative police/court/platform source for the Finnish or Lithuanian leads, election-authority notice, or forensics/contract record tying content provenance to a legal process	Synthetic-identity topology linking media, provenance evidence, and harm types
legal_procedural_contamination	Legal/procedural contamination	High	3	mixed_tier_authority_led	nist+oecd	mixed_authority_context_insufficient	Public examples rarely show whether contamination came from user misuse, vendor design, or institutional process failure	court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family	Process-contamination typology for justice/admin case tables
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	0	zero_seed_placeholder	unesco	zero_seed_placeholder	Impossible to infer certification, standard-of-care breach, or high-risk status from weak public evidence	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	Sector split for health-related LIMEN cases with uncertainty flags
education_workplace_or_hr	Education, workplace, or HR	High	6	mixed_tier_authority_led	unesco	mixed_authority_context_insufficient	Public reporting usually lacks sufficient data on model function, decision authority, and comparator treatment	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Employment/education decision-flow matrix
finance_insurance_or_market	Finance, insurance, or market	Medium	2	authority_only_seeded	oecd	authority_led_but_context_insufficient	Cannot infer regulatory breach, discriminatory effect, or regulated-system scope from anecdotal market stories alone	consumer-complaint record, contract/prospectus text, or non-SEC sectoral comparator before generalizing beyond regulated finance	Sectoral harm matrix across finance/insurance/market records
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	4	authority_only_seeded	oecd	authority_led_but_context_insufficient	Very difficult to reach final legal conclusions without authoritative legal text, official notice, or court/regulator record	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table
research_integrity	Research integrity	Medium	0	zero_seed_but_locally_non_empty_shadow_package	unesco	zero_seed_but_locally_non_empty_shadow_package	Often impossible to distinguish misconduct, weak process, and tool failure without stronger institutional evidence	apply the explicit bounded seed-admission rule to one authority-scored exemplar, or add one institutional investigation / dataset-version provenance package / formal postmortem that can travel without overclaiming misconduct	Research-integrity dashboard slice and methods-paper examples
ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	6	mixed_tier_authority_led	oecd	mixed_authority_context_insufficient	Public contradiction between claim and reality may still be insufficient for final legal characterization	procurement challenge, contract text, technical audit, or official correction outside regulated-finance enforcement	AI-washing typology for procurement and market-facing visuals
normative_or_moral_outlier	Normative or moral outlier	Medium	5	mixed_tier_authority_led	oecd	mixed_authority_context_insufficient	Legal conclusion is usually impossible without additional authority; queue for human interpretation rather than automated scoring	authoritative follow-up that narrows the framework fit instead of leaving the row as broad salience only	Normative-anomaly gallery with explicit uncertainty coding
residual_unclassified	Residual/unclassified	High	0	zero_seed_placeholder	no_direct_framework_anchor	no_framework_anchor_visible	No final legal or governance conclusion should be drawn until category fit improves	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	Gap queue feeding taxonomy evolution and future figure on framework residuals
