queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00001	LIMEN-SIGNAL-007B09815DD788EB	country_gap_no_parent_source		Barbados country profile / FSC Regulatory Sandbox mention	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md:180-185	Country profile source-example line names a sandbox lead but exposes no parent URL.	processing-state only; no source claim	Resolve from Barbados source pack before promotion.
BPSE-00002	LIMEN-SIGNAL-020E38A2779174A7	country_gap_no_parent_source		Andorra readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:1-2	Aggregate country matrix gap row; no source URL in local row.	processing-state only; no source claim	Resolve from Andorra source pack before promotion.
BPSE-00003	LIMEN-SIGNAL-0274D84E084707BD	source_url_extracted	https://www.digital.go.jp/en/policies/genai	Government AI GENAI / Japan Digital Agency	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-054/observatory-cells.json source_summaries url for gaia054-japan-digital-agency-genai-government-ai	GAIA observatory cell preserves the official source URL for the table-patch row.	source posture only; no legal, compliance, safety, efficacy, or prevalence claim	Open direct source review packet with archived-snapshot caveat.
BPSE-00004	LIMEN-SIGNAL-028375CD0C629A29	country_gap_no_parent_source		Pakistan country profile / SECP Regulatory Sandbox mention	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1512-1517	Country profile source-example line names a sandbox lead but exposes no parent URL.	processing-state only; no source claim	Resolve from Pakistan source pack before promotion.
BPSE-00005	LIMEN-SIGNAL-0332904E4B7745F4	country_gap_no_parent_source		United Kingdom observability index row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:1-5	Aggregate country score row; source examples are truncated and not the requested sandbox parent URL.	processing-state only; no source claim	Resolve from UK source pack before promotion.
BPSE-00006	LIMEN-SIGNAL-03E443422259A440	country_gap_no_parent_source		Guernsey world country matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:47-52	Aggregate country matrix row names procurement gap; no concrete procurement-AI parent URL.	processing-state only; no source claim	Resolve from Guernsey source pack before promotion.
BPSE-00007	LIMEN-SIGNAL-03EE5223FE6F1171	source_url_extracted	https://www.rma.org.bt/media/Laws_By_Laws/FinTech%20REGULATORY%20SANDBOX%20FRAMEWORK.pdf	FinTech Regulatory Sandbox Framework / Royal Monetary Authority of Bhutan	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv:54 and prompts/waves/pallas-hardening-sprint-10/bt-source-hardening.md:55	Score-delta row names the RMA framework; source-pack row preserves its official PDF URL.	source posture only; sectoral fintech sandbox evidence, not general AI sandbox claim	Open bounded direct source review.
BPSE-00008	LIMEN-SIGNAL-05C89C1B79476F63	country_gap_no_parent_source		Gibraltar readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:10-12	Aggregate country matrix gap row; no concrete procurement-AI parent URL.	processing-state only; no source claim	Resolve from Gibraltar source pack before promotion.
BPSE-00009	LIMEN-SIGNAL-06371C9DF456B47B	country_gap_no_parent_source		Kosovo readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:30-33	Aggregate country matrix gap row; no algorithm-register parent URL.	processing-state only; no source claim	Resolve from Kosovo source pack before promotion.
BPSE-00010	LIMEN-SIGNAL-094DB8C474CE5B1E	parent_source_wrapper		Ethiopia hardening summary source list	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:95 and prompts/waves/pallas-hardening-sprint-7/et-source-hardening.md:51-70	Country hardening summary and source-pack list multiple Ethiopian surfaces; human must choose the relevant parent source.	processing-state only; no source claim	Human select one Ethiopia parent source before review.
