source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://patentscope.wipo.int	closed_noncase_source_surface	https://patentscope.wipo.int/	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_ip_surface		international	PATENTSCOPE host/profile surface is a source family pointer, not a concrete AI edge-case record.	May support source-family/topology accounting only.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	Input metadata exposes only the PATENTSCOPE host/index, with no named event, finding, or case-level claim.	Identify a separate concrete public event, authority record, or finding with bounded AI-edge-case facts.	Not eligible without a reviewed, evidence-tiered case record.	Close as noncase source surface.
https://patentscope.wipo.int/search/en/detail.jsf?docId=US370961902	closed_noncase_source_surface	https://patentscope.wipo.int/search/en/detail.jsf?docId=US370961902	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_ip_surface;watermark_c2pa_context		international	Patent detail page is an IP record surfaced by a watermark query, not a concrete AI edge-case event.	May identify an IP/source-family surface; cannot stand as an incident or authority finding.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	Patents can describe inventions or applications but the row does not expose a concrete event/action/vulnerability/finding/official enforcement record.	Find a separate public event/finding tied to the technology and bound the claim to the source text.	Not eligible without public case evidence beyond patent metadata.	Close as noncase source surface.
https://patentscope.wipo.int/search/en/detail.jsf?docId=US380162153	closed_noncase_source_surface	https://patentscope.wipo.int/search/en/detail.jsf?docId=US380162153	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_ip_surface;watermark_c2pa_context		international	Patent detail page is an IP record surfaced by a watermark query, not a concrete AI edge-case event.	May identify an IP/source-family surface; cannot stand as an incident or authority finding.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	Patents can describe inventions or applications but the row does not expose a concrete event/action/vulnerability/finding/official enforcement record.	Find a separate public event/finding tied to the technology and bound the claim to the source text.	Not eligible without public case evidence beyond patent metadata.	Close as noncase source surface.
https://patentscope.wipo.int/search/en/detail.jsf?docId=US443651803	closed_noncase_source_surface	https://patentscope.wipo.int/search/en/detail.jsf?docId=US443651803	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_ip_surface;watermark_c2pa_context		international	Patent detail page is an IP record surfaced by watermark/C2PA queries, not a concrete AI edge-case event.	May identify an IP/source-family surface; cannot stand as an incident or authority finding.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	Patents can describe inventions or applications but the row does not expose a concrete event/action/vulnerability/finding/official enforcement record.	Find a separate public event/finding tied to the technology and bound the claim to the source text.	Not eligible without public case evidence beyond patent metadata.	Close as noncase source surface.
https://patentscope.wipo.int/search/en/result.jsf?queryString=FP%3A%28%28%22AI+evidence%22+OR+%22evidence+package%22+OR+%22audit+trail%22+OR+provenance%29+AND+%28%22artificial+intelligence%22+OR+%22machine+learning%22%29%29	closed_noncase_source_surface	https://patentscope.wipo.int/search/en/result.jsf?queryString=FP%3A%28%28%22AI+evidence%22+OR+%22evidence+package%22+OR+%22audit+trail%22+OR+provenance%29+AND+%28%22artificial+intelligence%22+OR+%22machine+learning%22%29%29	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_search_wrapper;ai_evidence_context		international	PATENTSCOPE search-results wrapper for AI evidence/provenance terms is not a named case-level record.	May support landscape accounting only.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	A result-list URL lacks a bounded event, affected entity, finding, or official decision.	Extract a concrete named public record and case claim if one exists outside the wrapper.	Not eligible from wrapper/search surface alone.	Close as noncase source surface.
https://patentscope.wipo.int/search/en/result.jsf?queryString=FP%3A%28%28%22post+quantum%22+OR+%22post-quantum%22+OR+%22quantum+resistant%22%29+AND+%28%22public+key+infrastructure%22+OR+PKI+OR+certificate+OR+%22digital+signature%22%29%29	closed_noncase_source_surface	https://patentscope.wipo.int/search/en/result.jsf?queryString=FP%3A%28%28%22post+quantum%22+OR+%22post-quantum%22+OR+%22quantum+resistant%22%29+AND+%28%22public+key+infrastructure%22+OR+PKI+OR+certificate+OR+%22digital+signature%22%29%29	patentscope.wipo.int	patentscope.wipo.int		source_family_accounting	patent_search_wrapper;pki_context		international	PATENTSCOPE search-results wrapper for post-quantum PKI terms is not a named AI edge-case record.	May support patent landscape/source accounting only.	Do not infer incident, deployment, safety issue, infringement, validity, market use, or prevalence from patent/index presence.	The row is a query wrapper and is outside direct LIMEN case extraction absent a concrete event/finding.	Provide a concrete public case source with bounded AI relevance.	Not eligible from patent query wrapper alone.	Close as noncase source surface.
https://purl.org/dc/elements/1.1	closed_noncase_source_surface	http://purl.org/dc/elements/1.1/	purl.org	purl.org		source_family_accounting	metadata_schema_surface		international	Dublin Core metadata namespace page is a vocabulary/schema source, not a concrete AI edge-case record.	May support citation/metadata normalization context only.	Do not infer patent status, regulatory action, AI deployment, incident, or compliance finding from a metadata namespace.	The source is a generic metadata schema URL and contains no event/action/vulnerability/finding/official case record.	A separate concrete case source would be required.	Not eligible without case-level evidence.	Close as noncase source surface.
/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	closed_noncase_source_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	EUR-Lex GDPR Regulation 2016/679 EN page			official_legal_text_context	gdpr;policy_law_surface	2016-04-27	European Union	Local EUR-Lex GDPR witness is legal/regulatory context, not a concrete AI edge-case event or finding.	May support legal-context background only.	Do not infer incident, legal violation, compliance status, deployment proof, safety finding, or prevalence from policy/guidance/index text.	Inspected locator line 1: it is the GDPR/EUR-Lex page text/interface, not a named AI case or authority finding.	Need concrete source passage, actor/event, and bounded case claim.	Not eligible without a reviewed case-level claim.	Close as noncase source surface.
/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604t114556z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	closed_noncase_source_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	EUR-Lex GDPR witness page			official_legal_text_context	gdpr;policy_law_surface	2016-04-27	European Union	Snapshot EUR-Lex GDPR witness is legal/regulatory context, not a concrete AI edge-case event or finding.	May support legal-context background only.	Do not infer incident, legal violation, compliance status, deployment proof, safety finding, or prevalence from policy/guidance/index text.	Inspected snapshot locator line 1: it duplicates the GDPR/EUR-Lex witness page rather than an AI case source.	Need concrete source passage, actor/event, and bounded case claim.	Not eligible without a reviewed case-level claim.	Close as noncase source surface.
/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4055	closed_noncase_source_surface	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4055	UN Guatemala Evaluación de IA en Guatemala			official_public_sector_context	ai_governance_assessment;regulatory_sandbox_context		Guatemala	UN Guatemala digest text says UNDP AI Sprint supported responsible AI assessment and noted governance gaps; it does not identify a named deployment or edge-case event.	May support governance-radar context only.	Do not infer actual AI deployment, regulatory sandbox operation, legal compliance gap finding, safety issue, or prevalence.	Inspected local JSON quote_safe_paraphrase: the text explicitly treats the page as governance-radar context, not a named-agent deployment.	Need original public source text plus a concrete event/finding/entity if any case claim is later proposed.	Not eligible without concrete case evidence and claim ceiling.	Close as noncase source surface.
/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4070	closed_noncase_source_surface	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4070	UN Guatemala Evaluación de IA en Guatemala			official_public_sector_context	ai_governance_assessment;regulatory_sandbox_context		Guatemala	UN Guatemala digest text says UNDP AI Sprint supported responsible AI assessment and noted governance gaps; it does not identify a named deployment or edge-case event.	May support governance-radar context only.	Do not infer actual AI deployment, regulatory sandbox operation, legal compliance gap finding, safety issue, or prevalence.	Inspected local JSON summary: the text explicitly treats the page as governance-radar context, not a named-agent deployment.	Need original public source text plus a concrete event/finding/entity if any case claim is later proposed.	Not eligible without concrete case evidence and claim ceiling.	Close as noncase source surface.
