as_of_utc	lane_id	family_id	field_name	old_value	new_value	change_class	why_change_now	evidence_anchor
2026-06-08T00:42:42Z	limen-boost-049	sf11	next_verification_move	First remove one zero state (`supply_chain_or_plugin_extension` or `peer_reviewed_security_case_support`), then add one peer-reviewed exemplar or similarly strong supply-chain/identity-abuse row; do not spend the next cycle on more Langflow/CrewAI notice-depth polishing alone.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep LIMEN-000012 explicitly singleton-only until a second exemplar or stronger independent attachment appears.	shared_dashboard_currentness_repair	Shared dashboard row lagged the post-Playwright source-map/security package and still preserved older route wording.	results/source-map/source-family-figure1-register-v0.1.tsv:sf11 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf11 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf11	unsafe_overread_to_avoid	Do not convert mixed-authority rows into prevalence or full-remediation claims.	Do not convert mixed-authority rows into prevalence or complete-remediation claims, and do not overread the retired supply-chain/plugin zero state into broad trust-boundary coverage.	shared_dashboard_currentness_repair	Shared dashboard row lagged the post-Playwright source-map/security package and still preserved older route wording.	results/source-map/source-family-figure1-register-v0.1.tsv:sf11 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf11 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf11	provenance_note	Grounded in 2026-06-07 local role-split artifacts plus the LangChain and LlamaIndex Snyk exemplars; preserve the distinction between issuer notice, coordination metadata, release-note signal, and independent technical validation	Grounded in the local security package after the Playwright MCP promotion and post-promotion sync passes on 2026-06-07; peer-reviewed support is now the only explicit family-level zero state, while supply-chain/plugin breadth remains singleton-only and reviewer-bounded.	shared_dashboard_currentness_repair	Shared dashboard row lagged the post-Playwright source-map/security package and still preserved older route wording.	results/source-map/source-family-figure1-register-v0.1.tsv:sf11 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf11 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf13	negative_evidence_class	direct_notice_depth_still_single_exemplar	top_depth_direct_notice_publisher_concentration	shared_dashboard_currentness_repair	Shared dashboard row still preserved the retired one-direct-notice negative-evidence state after the two-direct-notice but Springer-concentrated upgrade.	results/boost/limen-boost-049/sf13-direct-notice-diversity-router.tsv ; results/source-map/source-family-figure1-register-v0.1.tsv:sf13
2026-06-08T00:42:42Z	limen-boost-049	sf13	best_current_negative_artifact	results/source-map/research-integrity-family-inventory-v0.1.tsv ; results/boost/limen-boost-008/document-depth-matrix.tsv	results/boost/limen-boost-049/sf13-direct-notice-diversity-router.tsv ; results/source-map/research-integrity-family-inventory-v0.1.tsv	shared_dashboard_currentness_repair	Shared dashboard row still preserved the retired one-direct-notice negative-evidence state after the two-direct-notice but Springer-concentrated upgrade.	results/boost/limen-boost-049/sf13-direct-notice-diversity-router.tsv ; results/source-map/source-family-figure1-register-v0.1.tsv:sf13
2026-06-08T00:42:42Z	limen-boost-049	sf13	provenance_note	Grounded in 2026-06-07 shard-008 DOI/publisher verification rows and the new source-map family inventory; keep title-level metadata, mediated statements, and direct notice text explicitly separated	Grounded in 2026-06-07 shard-008 DOI/publisher verification rows plus the sf13 direct-notice diversity router; two direct publisher-originating notice-text exemplars now exist, but both remain Springer-family top-depth support, so cross-publisher diversification is still open.	shared_dashboard_currentness_repair	Shared dashboard row still preserved the retired one-direct-notice negative-evidence state after the two-direct-notice but Springer-concentrated upgrade.	results/boost/limen-boost-049/sf13-direct-notice-diversity-router.tsv ; results/source-map/source-family-figure1-register-v0.1.tsv:sf13
2026-06-08T00:42:42Z	limen-boost-049	sf15	next_verification_move	Use the implemented empty residual-frontier queue template and count progress only if one populated row records an explicit inclusion rule, an explicit exclusion check, an authority-band label, and whether the row stays methods-only or gains a stronger corroboration route.	Use the governed residual row as the live control surface and count further progress only if a direct platform moderation, indexing-service action, publisher statement, or institutional report lands for the same lineage, or if a second governed row materially changes taxonomy pressure without widening seeded use.	shared_dashboard_currentness_repair	Shared dashboard row still described the residual frontier as implemented-empty after one governed populated row became the live state.	results/source-map/source-family-figure1-register-v0.1.tsv:sf15 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf15 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf15	safe_claim_posture_now	Planned frontier only; still not safe for shared claims, but the residual queue contract now exists and keeps the family below seeded use.	Planned frontier only; still not safe for shared claims, but one governed residual queue row now exists and remains below seeded use.	shared_dashboard_currentness_repair	Shared dashboard row still described the residual frontier as implemented-empty after one governed populated row became the live state.	results/source-map/source-family-figure1-register-v0.1.tsv:sf15 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf15 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf15	exact_upgrade_trigger	one_populated_queue_row_with_inclusion_rule_exclusion_check_authority_band_and_seeded_use_decision_added	direct_platform_moderation_indexing_service_publisher_or_institutional_action_document_for_FQI_002_ROW_001_or_second_governed_row_with_material_taxonomy_delta_added	shared_dashboard_currentness_repair	Shared dashboard row still described the residual frontier as implemented-empty after one governed populated row became the live state.	results/source-map/source-family-figure1-register-v0.1.tsv:sf15 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf15 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf15	best_current_negative_artifact		results/boost/limen-boost-001/frontier-queue-populated-rows.tsv	shared_dashboard_currentness_repair	Shared dashboard row still described the residual frontier as implemented-empty after one governed populated row became the live state.	results/source-map/source-family-figure1-register-v0.1.tsv:sf15 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf15 ; results/source-map/status.md
2026-06-08T00:42:42Z	limen-boost-049	sf15	must_travel_with	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf15 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf15 ; results/boost/limen-boost-037/frontier-family-intake-contract.tsv ; results/boost/limen-boost-001/frontier-queue-implementation.tsv:FQI-002	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf15 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf15 ; results/boost/limen-boost-037/frontier-family-intake-contract.tsv ; results/boost/limen-boost-001/frontier-queue-populated-rows.tsv:FQI-002-ROW-001	shared_dashboard_currentness_repair	Shared dashboard row still described the residual frontier as implemented-empty after one governed populated row became the live state.	results/source-map/source-family-figure1-register-v0.1.tsv:sf15 ; results/source-map/source-family-provenance-register-v0.1.tsv:sf15 ; results/source-map/status.md
