queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01153	LIMEN-SIGNAL-D20B441163922218	parent_source_wrapper		Financial Management chapter; Public Auditor chapter; Revenue Management System launch	PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:605; PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv:142-144	source-pack pointer resolves to three adjacent FM I10 sources; human must choose parent surface	source-surface existence only from local metadata/files	choose one FM I10 source if direct review is needed
BPSE-01154	LIMEN-SIGNAL-D21030B23CAE00C2	source_url_extracted	https://legislation.mt/eli/ln/2025/226/eng	Artificial Intelligence Regulations, 2025 - AI regulatory sandbox	PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:42; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:1526	named I03 source resolves to explicit Legislation Unit URL in local source pack	source-surface existence only from local metadata/files	open direct source review packet
BPSE-01155	LIMEN-SIGNAL-D212D3BE7F824462	parent_source_wrapper		BDCB Enhances the Guidelines on FinTech Regulatory Sandbox; Fintech	PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:129; PALLAS_READINESS_WORLD_SOURCE_PACK.csv:2845-2846	country matrix row points to sectoral sandbox evidence with multiple local source-pack parents	source-surface existence only from local metadata/files	choose one Brunei sandbox parent source if direct review is needed
BPSE-01156	LIMEN-SIGNAL-D220B15129741478	parent_source_wrapper		ASIC and CDR sandboxes	PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md:179	warning names plural adjacent sandbox surfaces but no single parent URL on row	source-surface existence only from local metadata/files	resolve ASIC/CDR parent source before direct review
BPSE-01157	LIMEN-SIGNAL-D22A8DF186F0BE90	source_surface_only_no_case		Security research and advisories	public-source-families-v0.1.tsv:8	generic source-family taxonomy row, not a concrete public source or case	source-surface existence only from local metadata/files	keep as taxonomy/background only
BPSE-01158	LIMEN-SIGNAL-D230C15609750DFB	parent_source_wrapper		FinTech Regulatory Sandbox Framework; FinTech Regulatory Sandbox Framework PDF	PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:82; PALLAS_SECOND_PASS_SPRINT_15_SOURCE_REFRESH.csv:142-143	Sri Lanka country/profile row maps to page and PDF sandbox parents; human must choose one	source-surface existence only from local metadata/files	choose CBSL page or PDF if direct review is needed
BPSE-01159	LIMEN-SIGNAL-D23C2A9EA1A5210A	reject_noise		JERHRE resubmission preview packet	journal-targeting-matrix-2026-05-21.md:418	internal manuscript preview path; no public parent source URL in local context	not a LIMEN example; process trace only	keep as negative/noise evidence only
BPSE-01160	LIMEN-SIGNAL-D255B9C60BC5FDFF	source_surface_only_no_case		Russian-language automated-decision source seed	hermes-v02-expansion-seeds.json:421	internal expansion seed describes a search need but exposes no concrete parent source	source-surface existence only from local metadata/files	do not promote without a resolved public source
BPSE-01161	LIMEN-SIGNAL-D266686755052DA2	country_gap_no_parent_source		Åland Islands country readiness row	PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:4	country score/profile placeholder with no extractable parent URL on row	source-surface existence only from local metadata/files	leave for country-gap review, not source review
BPSE-01162	LIMEN-SIGNAL-D27DF9135C6CA2FA	source_url_extracted	https://www.sainthelena.gov.sh/	Official site keyword checks for sandbox/artificial intelligence/algorithm	PALLAS_SECOND_PASS_SPRINT_4_CANDIDATE_MATRIX_DELTA.csv:114; PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv:228	local source-refresh row gives explicit official portal URL for negative search surface	source-surface existence only from local metadata/files	open direct source review packet for negative-search surface only
