normalized_record_key	source_path	line_no	local_id_field	local_id	record_title	record_status	evidence_tier	current_confidence	publication_confidence_cap	confidence_rule_status	translation_status	safe_join_scope	duplicate_control_state	cluster_id	lineage_counting_rule	jurisdictions	languages	paper_thesis_use	dashboard_hook	supporting_rule_or_queue
data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl	1	case_id	LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000001	never join on bare local_id; count only by normalized_record_key until global namespace repair	Italy	it	methods appendix on namespace collision and overcount prevention	join-safety validator; duplicate-collision warning card	REVIEW-IDCOLLISION-LIMEN-000001
data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl	2	case_id	LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002	never join on bare local_id; count only by normalized_record_key until global namespace repair	United States	en	methods appendix on namespace collision and overcount prevention	join-safety validator; duplicate-collision warning card	REVIEW-IDCOLLISION-LIMEN-000002
data/cases/authoritative-candidates.jsonl:LIMEN-000003	data/cases/authoritative-candidates.jsonl	3	case_id	LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-ICO-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	United Kingdom	en	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-ICO-001
data/cases/authoritative-candidates.jsonl:LIMEN-000004	data/cases/authoritative-candidates.jsonl	4	case_id	LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-ICO-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	United Kingdom	en	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-ICO-001
data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl	5	case_id	LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	authoritative_charging_stage	T3_authoritative_source	medium	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000005	never join on bare local_id; count only by normalized_record_key until global namespace repair	United States	en	methods appendix on namespace collision and overcount prevention	join-safety validator; duplicate-collision warning card	REVIEW-IDCOLLISION-LIMEN-000005
data/cases/authoritative-candidates.jsonl:LIMEN-000006	data/cases/authoritative-candidates.jsonl	6	case_id	LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	collapse only for lineage counts; do not count both base and queue rows as separate cases	United States	en	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318
data/cases/authoritative-candidates.jsonl:LIMEN-000007	data/cases/authoritative-candidates.jsonl	7	case_id	LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-GP-20260318	collapse only for lineage counts; do not count both base and queue rows as separate cases	United States	en	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-SEC-GP-20260318
data/cases/security-agentic-candidates.jsonl:LIMEN-000001	data/cases/security-agentic-candidates.jsonl	1	case_id	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-CODEEXEC-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-CODEEXEC-001
data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl	2	case_id	LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	candidate	T1_single_public_source	medium	low	confidence_overhang	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002	never join on bare local_id; count only by normalized_record_key until global namespace repair	Global	English	methods appendix on namespace collision and overcount prevention	join-safety validator; duplicate-collision warning card	REVIEW-IDCOLLISION-LIMEN-000002
data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl	3	case_id	LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000003	never join on bare local_id; count only by normalized_record_key until global namespace repair	Global	English	methods appendix on namespace collision and overcount prevention	join-safety validator; duplicate-collision warning card	REVIEW-IDCOLLISION-LIMEN-000003
