queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00673	LIMEN-SIGNAL-6B3DE4BC5C9DCCBC	country_gap_no_parent_source		Saint Pierre and Miquelon	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:22	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
BPSE-00674	LIMEN-SIGNAL-6B72C5C3CABAFEBB	country_gap_no_parent_source		Tajikistan	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:28	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
BPSE-00675	LIMEN-SIGNAL-6BA4338F18C897B1	source_surface_only_no_case		transparency/evidence source class	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_NARRATIVE_REPORT.md:144	Narrative report lists evidence classes only; no named public source or URL is present.	processing-state only; no source review promotion or substantive claim	replace with a concrete named source before source review
BPSE-00676	LIMEN-SIGNAL-6BF33D0B595AE38C	country_gap_no_parent_source		Argentina	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:58	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
BPSE-00677	LIMEN-SIGNAL-6C05A3C7E99A9B21	country_gap_no_parent_source		BZ	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:83	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
BPSE-00678	LIMEN-SIGNAL-6C0998808F84ADFA	country_gap_no_parent_source		Estonia EU legal review row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_EU_OFFICIAL_LEGAL_SOURCE_REVIEW.csv:9	EU legal review row is review-bound country metadata; no source URL appears in local context.	processing-state only; no source review promotion or substantive claim	extract a named Estonia source from a source pack, not this legal-review row
BPSE-00679	LIMEN-SIGNAL-6C18ABA5C51029C1	parent_source_wrapper		North Macedonia I10 score-delta wrapper	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv:111	Score-delta row names SAO/PDPA evidence families indirectly; multiple parent sources require human selection.	processing-state only; no source review promotion or substantive claim	choose one concrete SAO or PDPA source from local source pack
BPSE-00680	LIMEN-SIGNAL-6C211448BF3BCCB9	source_url_extracted	https://www.plataformadetransparencia.org.mx/	Plataforma Nacional de Transparencia	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:4184-4190 and Mexico top_sources I05	Same Mexico JSON object lists I05 top source with explicit URL.	processing-state extraction only; source supports transparency-portal context, not a public algorithm-register finding	requeue extracted URL for article-level source review
BPSE-00681	LIMEN-SIGNAL-6C4502E2BFCAABBB	country_gap_no_parent_source		Ireland	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:13	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
BPSE-00682	LIMEN-SIGNAL-6C7486EBDBF5E23E	country_gap_no_parent_source		Nauru	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:67	Local row is a country/profile gap placeholder and contains no explicit parent source URL.	processing-state only; no source review promotion or substantive claim	leave in parent-source extraction queue until a named local source is supplied
