signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-BDCEE63BC71DEA72	negative_evidence_candidate	access_error	Local row is an HTTP 429 index failure, so it records evidence limits rather than a named source surface.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-BDD2131B5A4F093C	merge_existing_surface	existing_registry_surface	Names Helsinki AI Register/Lokki via local atlas facts; this is an already-modeled register surface.	dedupe only; do not re-promote or infer beyond the existing modeled surface	merge into existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/facts.jsonl
LIMEN-SIGNAL-BDD3BC6422E3160D	needs_named_source_extraction	source_examples_wrapper	Country profile lists Malta source examples but not one bounded source surface to review here.	wrapper or adjacent artifact only; must extract a named direct source before review	extract one named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-BDD6A452C57DC89A	merge_existing_surface	existing_registry_surface	Concrete Helsinki AI Register detail page already belongs to an existing local register surface.	dedupe only; do not re-promote or infer beyond the existing modeled surface	merge into existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv
LIMEN-SIGNAL-BDDB813A45CEA5E6	reject_noise	internal_script_noise	Snippet comes from an internal bridge script, not a direct source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/scripts/build-pallas-gaia-bridge.py
LIMEN-SIGNAL-BDDE58ADDF1E3D97	negative_evidence_candidate	negative_gap_note	Local matrix records no public algorithm register found for Serbia.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-BDDE991B7C4A8A31	merge_existing_surface	existing_registry_surface	Translated sample row points to the already-modeled Dutch national Algorithm Register.	dedupe only; do not re-promote or infer beyond the existing modeled surface	merge into existing modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-BDE240A67EF77003	reject_noise	paper_artifact_noise	Claim-support digest and submission record are internal paper artifacts, not direct source surfaces.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-digest.json
LIMEN-SIGNAL-BDE45848F9CF6858	negative_evidence_candidate	weak_source_warning	Hardening summary is a weak-source caution with no named direct source surface.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-BDEF50A120026B01	negative_evidence_candidate	access_error	Local row is an SSL/index failure, so it is evidence-limit metadata rather than a source surface.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/local-hermes/PCEE241002/data/lanes/japanese-korean-language-latest.jsonl
LIMEN-SIGNAL-BDF3C87144648F86	translation_review_needed	translation_sensitive_official_surface	Local metadata indicates a multilingual official source but the surface is language-sensitive.	surface existence only pending translation-sensitive review	queue translation-aware source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl
LIMEN-SIGNAL-BDF47F8CB57E2D06	negative_evidence_candidate	negative_gap_note	Local summary records no public regulatory sandbox evidence on checked official pages.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-BDF6EB1B59353F11	needs_named_source_extraction	adjacent_claim_digest	Internal claim-support digest points toward underlying sandbox-law evidence but does not expose a named source surface.	wrapper or adjacent artifact only; must extract a named direct source before review	extract one named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.csv
LIMEN-SIGNAL-BDFE729B720228D5	needs_named_source_extraction	adjacent_claim_digest	Internal claim-support digest points toward an Estonia case source but not a reviewable named surface.	wrapper or adjacent artifact only; must extract a named direct source before review	extract one named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192817Z/claim-support-digest.csv
LIMEN-SIGNAL-BE19B70978BD43DD	reject_noise	internal_queue_noise	Research queue wishlist names Belarus topics, not a concrete source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-BE1DB8B4AB271FC5	needs_named_source_extraction	legacy_source_metadata	Legacy source-document metadata signals a public-sector source context but the original source was not reconstructed.	wrapper or adjacent artifact only; must extract a named direct source before review	extract one named direct source	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-121-20260603T0419/source_documents.jsonl
LIMEN-SIGNAL-BE1FBA3832C5FA8A	source_reviewed_candidate	vendor_surface	Local metadata names Levelpath's own procurement-agent surface, which is a concrete vendor self-description.	surface existence only; do not infer truth, legality, safety, compliance, prevalence, or ranking	prepare bounded source packet	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-111-20260603T051321/facts.jsonl
LIMEN-SIGNAL-BE2FEAD4C37F80F1	negative_evidence_candidate	negative_gap_note	Review queue row records targeted official checks that did not verify a sandbox.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-BE30190F3C5844A9	reject_noise	internal_packet_noise	Pilot review packet is an internal scoring artifact, not a direct source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-006/pilot-review-packets-v0.1.csv
LIMEN-SIGNAL-BE305666AEE3798D	negative_evidence_candidate	negative_gap_note	Local delta note says sandbox-adjacent language exists but no named operational sandbox was found.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-BE3BBDD1F69EF094	reject_noise	scholarly_index_noise	Scholarly index result is secondary literature, not a direct source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/french-german-language-history.jsonl
LIMEN-SIGNAL-BE3EC5A5832D74F5	merge_existing_surface	existing_registry_surface	Helsinki AI Register listing snippet is already part of an existing modeled register surface.	dedupe only; do not re-promote or infer beyond the existing modeled surface	merge into existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-record-level-denominator-v0.2.csv
LIMEN-SIGNAL-BE445BE4E7616F35	negative_evidence_candidate	negative_gap_note	Source-pack row records a negative official-site check for Venezuela register surfaces.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv
LIMEN-SIGNAL-BE46B568953CE3C7	merge_existing_surface	existing_registry_surface	Gap-map sample still points to the same existing Helsinki AI Register surface.	dedupe only; do not re-promote or infer beyond the existing modeled surface	merge into existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-BE4871A131704A55	reject_noise	paper_artifact_noise	Evidence-package design digest is an internal manuscript artifact, not a direct source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-digest.csv
LIMEN-SIGNAL-BE4D29899EA9E674	reject_noise	internal_helper_noise	Project helper markdown is internal workflow text, not a source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/agents/helpers/paper-nekropolis-ai-content-regime-helper.md
LIMEN-SIGNAL-BE559215D4F7738F	negative_evidence_candidate	negative_gap_note	Local note records France-level official inventory context plus no French Guiana-specific algorithm-register hit.	absence or evidence-limit note only; not proof of non-existence	keep as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-BE56D7581E7CCE49	reject_noise	manuscript_noise	Paper draft prose about Crossref signals is not a direct source surface.	internal or derived artifact only; not a direct source surface	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md
