as_of_utc	priority_id	surface_path	surface_scope	currentness_state	stale_or_live_contract	why_it_matters_now	recommended_action	preferred_current_companion	paper_thesis_use	visualization_dashboard_hook	mandatory_caution
2026-06-07T20:09:41Z	SEC-CUR-040-001	results/boost/limen-boost-040/security-route-decision-register.tsv	lane_local_route_logic	current_live	peer_reviewed_gap_first_then_langflow_then_crewai	This remains the canonical limen-boost-040 route-order sidecar after Playwright promotion and keeps the retired supply-chain zero-state route visible only as historical threshold context.	Reuse as current-live route logic; no patch needed this cycle.	results/security/security-agentic-next-route-board-v0.1.tsv; results/security/security-agentic-case-support-register-v0.1.tsv	Current shard-004 methods/results route note, reviewer-response route defense, and thesis backlog ordering.	security_route_board; blocker-order badge	Do not reuse this file as denominator proof; it orders upgrades, not package counts.
2026-06-07T20:09:41Z	SEC-CUR-040-002	results/boost/limen-boost-040/table6-control-travel-kit.tsv	lane_local_table_bundle	current_live	3_core_6_appendix_1_limitations_1_gap	This bundle now keeps LIMEN-C-007, LIMEN-VIS-015, CCR-017, the manuscript bundle, and the objection layer synchronized to the live post-Playwright package.	Reuse as current-live Table 6 routing bundle; no patch needed this cycle.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	Current Table 6 / thesis security package handoff.	table6_travel_bundle; caption-safe legend	Do not cite the bundle alone as empirical support; it routes to the underlying evidence surfaces.
2026-06-07T20:09:41Z	SEC-CUR-040-003	results/boost/limen-boost-040/paper-fragment.md	lane_local_prose_bridge	current_live	3_core_6_appendix_1_limitations_1_gap	This is the safest lane-local prose lift for current shard-004 writing because it already encodes the seeded Playwright row and the single remaining peer-reviewed gap.	Reuse as current-live prose bridge; no patch needed this cycle.	results/security/security-agentic-manuscript-bundle-v0.1.tsv; results/boost/limen-boost-040/table6-control-travel-kit.tsv	Manuscript paragraph lift, reviewer-response paragraph, thesis narrative bridge.	manuscript_paragraph_router	Keep evidence-architecture framing explicit; do not convert one trust-boundary row into balanced-family rhetoric.
2026-06-07T20:09:41Z	SEC-CUR-040-004	results/boost/limen-boost-040/security-publication-threshold-demonstrator.tsv	lane_local_threshold_panel	stale_historical_only	3_core_5_appendix_1_limitations_2_gap_plus_supply_chain_frontier_rows	This panel still preserves the retired supply-chain gap and pre-promotion package counts, so it is useful only as route-history evidence and unsafe for current Table 6 reuse.	Leave unpatched and classify as historical-only; route live reuse to shared post-Playwright panels.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-reviewer-panels-v0.1.tsv	Historical threshold-evolution appendix only.	legacy_threshold_panel	Do not reuse its counts or gap wording on live manuscript, dashboard, or thesis surfaces.
2026-06-07T20:09:41Z	SEC-CUR-040-005	results/boost/limen-boost-040/security-threshold-propagation-register.tsv	lane_local_patch_governance	stale_historical_only	contains_retired_supply_chain_gap_patch_path	This propagation board predates the Playwright-seeded package and still includes threshold logic for a gap that is no longer live, so it can confuse downstream patch planning.	Leave unpatched and classify as historical-only; use the shared next-route board plus case-support register for live patch routing.	results/security/security-agentic-next-route-board-v0.1.tsv; results/security/security-agentic-case-support-register-v0.1.tsv	Historical synchronization-governance evidence only.	patch_bundle_history	Do not trigger current updates from the retired supply-chain-gap row.
2026-06-08T10:42:39+02:00	SEC-CUR-040-006	results/boost/limen-boost-012/current-visual-package-reuse-register.tsv:LIMEN-VIS-015	shared_visual_reuse_register	current_live	already_states_3_core_6_appendix_1_limitations_1_gap	The live `LIMEN-VIS-015` shared visual row already reflects the post-Playwright single-gap package and keeps Playwright MCP visible as a singleton trust-boundary appendix row rather than a missing-family gap.	Reuse as current-live shared visual routing; no patch needed now.	results/boost/limen-boost-012/current-visual-package-reuse-register.tsv:LIMEN-VIS-015; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	Directly affects visual-package selection for paper, dashboard, and thesis packaging.	figure_table_currentness_retired_false_positive	Do not claim stronger evidence from this state; it confirms only that the shared visual helper is already synchronized.
2026-06-08T10:42:39+02:00	SEC-CUR-040-007	results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv:sf11	shared_experiment_priority_surface	current_live	peer_reviewed_gap_first_then_singleton_trust_boundary_caution	The current `sf11` Route-B selector already treats peer-reviewed support as the only true zero state and demotes trust-boundary work to singleton-breadth or stronger-independent-attachment logic.	Reuse as current-live Route-B selector; pair with the live peer-review attachability split.	results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv:sf11; results/security/security-agentic-next-route-board-v0.1.tsv:SEC-NRB-001; results/security/security-agentic-peer-review-attachability-board-v0.1.tsv	Controls next-experiment selection for Route B and therefore affects publication-speed tradeoffs.	route_b_selector_retired_false_positive	Do not treat the corrected route order as peer-reviewed closure; the scholarly gap remains open.
2026-06-08T10:42:39+02:00	SEC-CUR-040-008	results/boost/limen-boost-025/source-family-negative-result-bridge.tsv:SFNR-025-006	shared_negative_result_bridge	current_live	peer_review_gap_row_plus_singleton_trust_boundary_split_present	The live negative-result bridge already splits sf11 caution into one remaining peer-reviewed gap row and one separate singleton trust-boundary breadth row after Playwright promotion.	Reuse as current-live negative-result bridge; no patch needed now.	results/boost/limen-boost-025/source-family-negative-result-bridge.tsv:SFNR-025-006..SFNR-025-007; results/security/security-agentic-balance-gap-matrix-v0.1.tsv; results/security/security-agentic-case-support-register-v0.1.tsv:LIMEN-000012	Negative-results appendix, source-family limitations prose, and thesis methods discussion.	negative_result_bridge_retired_false_positive	Do not collapse the split rows into one generic maturity claim; peer-reviewed support remains open and trust-boundary breadth remains thin.
2026-06-08T11:38:20+02:00	SEC-CUR-040-009	results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv	shared_claim_ceiling_surface	live_drift	missing_playwright_and_toolhive_rows_from_live_11_row_package	The shared claim-ceiling matrix still stops at `LIMEN-000009`, so current manuscript, dashboard, or thesis reuse can silently lose the seeded MCP trust-boundary pair and preserve a pre-ToolHive claim-ceiling picture.	Do not treat as current-live; route reuse to the manuscript case table and the lane-local helper-coverage audit until the shared matrix is repaired.	results/security/security-agentic-manuscript-case-table-v0.1.tsv; results/boost/limen-boost-040/security-shared-helper-coverage-audit-2026-06-08.tsv	Reviewer-safe Table 6 / claim-ceiling QA and thesis methods notes on helper drift.	shared_claim_ceiling_live_drift	This is a currentness defect only; it does not change any row evidence tier or imply that the missing MCP rows are core results.
2026-06-08T11:38:20+02:00	SEC-CUR-040-010	results/security/security-agentic-evidence-role-matrix-v0.1.tsv	shared_evidence_role_surface	live_drift	missing_toolhive_exact_avid_mcp_row_from_live_11_row_package	The shared evidence-role matrix includes Playwright MCP but still omits ToolHive, which understates the strongest current trust-boundary evidence-role breadth inside the seeded package.	Do not treat as current-live for trust-boundary breadth; pair current reuse with the manuscript case table and the lane-local helper-coverage audit until the shared matrix is repaired.	results/security/security-agentic-manuscript-case-table-v0.1.tsv; results/boost/limen-boost-040/security-shared-helper-coverage-audit-2026-06-08.tsv	Trust-boundary breadth QA, reviewer-response notes, and thesis evidence-layer discussion.	shared_evidence_role_live_drift	Keep the claim ceiling explicit: this omission does not justify broader MCP prevalence rhetoric even after ToolHive is restored.
