queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03273	LIMEN-SIGNAL-8DE5563B2430639E	country_gap_no_parent_source		Nigeria research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:237	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03274	LIMEN-SIGNAL-8EAE246CE5ECAA2C	country_gap_no_parent_source		Taiwan research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:201	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03275	LIMEN-SIGNAL-8F207F09E562839F	source_url_extracted	https://www.biot.gov.io/sitemap/	BIOT site search / governance and legislation pages	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv:185	Same-country I03 hardening row gives official site-index URL for negative sandbox check.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	open bounded source-surface packet; do not treat as sandbox proof
BPSE-03276	LIMEN-SIGNAL-8FB080641E7D68A1	parent_source_wrapper		Myanmar I03 source-pack rows	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv:138-139	Same-country I03 hardening has two weak CBM adjacent URLs; human must choose review surface.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	choose one CBM source row before direct source review
BPSE-03277	LIMEN-SIGNAL-8FCFF5886184E136	country_gap_no_parent_source		DR Congo research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:221	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03278	LIMEN-SIGNAL-8FD260A468F6D1FD	country_gap_no_parent_source		Malawi research-queue placeholder	OBSERVABILITY_RESEARCH_QUEUE.csv:230	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03279	LIMEN-SIGNAL-8FE876D87918F494	country_gap_no_parent_source		Bhutan research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:187	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03280	LIMEN-SIGNAL-9026EBFCA2860960	source_url_extracted	https://www.industry.gov.au/science-technology-and-innovation/technology/artificial-intelligence	Artificial intelligence policy page	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv:6	Same-country I03 hardening row gives parent-state policy URL as negative sandbox context.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	review only as parent-state context; do not use as HM sandbox proof
BPSE-03281	LIMEN-SIGNAL-907CF621C411F48C	country_gap_no_parent_source		Mali research-queue placeholder	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:231	Research-queue row lists country/query targets only; no parent source URL in local row.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as gap/profile placeholder until a named source-pack row is selected
BPSE-03282	LIMEN-SIGNAL-90AA98B5FB340C0E	parent_source_wrapper		Egypt I03 source-pack rows	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv:123-124	Same-country I03 hardening has CBE sandbox URL and AI governance framework URL; human choice required.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	choose CBE sandbox or framework source before source-surface review
