case_id	source_id	jurisdiction	language	document_type	anchor_theme	anchor_quote	english_paraphrase	claim_use	caution_note	source_url	observatory_hook
LIMEN-000001	SRC-AUTH-0001	Italy	it	regulator_order_html	provisional_limitation_scope	la misura della limitazione provvisoria del trattamento	The order imposes a provisional limitation on the processing.	Supports narrow wording that the Garante imposed an urgent provisional limitation rather than a final merits determination.	Keep Italian original alongside any paraphrase; do not overread provisional measure as a final illegality finding.	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	authority_anchor_panel; privacy_enforcement_table; jurisdiction_language_map
LIMEN-000001	SRC-AUTH-0001	Italy	it	regulator_order_html	legal_basis_notice_accuracy_age_checks	non viene fornita alcuna informativa agli utenti ... l’assenza di idonea base giuridica ... il trattamento di dati personali ... risulta inesatto ... l’assenza di qualsivoglia verifica dell’età degli utenti	The order states that no privacy notice was provided to users/data subjects, that there was no suitable legal basis for training-related processing, that outputs could be inaccurate, and that no age-verification mechanism was present.	Supports compact enumeration of the concern types expressly listed in the order text.	Use as a bounded list of concerns stated by the regulator; preserve legal nuance in the Italian source.	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	privacy_enforcement_table; legal_basis_issue_matrix; minors_governance_note
LIMEN-000003	SRC-AUTH-0008	United Kingdom	en	ICO_enforcement_notice_pdf	attendance_monitoring_scope	Serco processes biometric data for the purpose of monitoring employee attendance. Facial recognition technology (FRT) is in use at all 38 Relevant Facilities.	The notice states that Serco used biometric systems, including facial recognition, for employee attendance monitoring across 38 facilities.	Supports direct notice-text wording on workplace attendance-monitoring scope and scale.	Keep the claim tied to the notice and avoid converting one case into a broader sector-prevalence statement.	https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	biometric_governance_table; remedy_type_matrix; authority_anchor_panel
LIMEN-000003	SRC-AUTH-0008	United Kingdom	en	ICO_enforcement_notice_pdf	articles_5_6_9_and_remedy	This Notice is in relation to contraventions of Articles 5(1)(a), 6 and 9 of the UK GDPR. ... Cease all processing of biometric data for the purpose of employment attendance checks ... Destroy all biometric data and all other personal and special category data that Serco is not legally obliged to retain.	The notice ties the enforcement action to Articles 5(1)(a), 6, and 9 UK GDPR and orders Serco to stop biometric attendance processing and destroy data not legally required to be retained.	Supports precise legal-basis and remedy wording for table captions and manuscript prose.	Stay within the notice text; do not generalize remedy terms beyond the named facilities/controllers.	https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	remedy_type_matrix; biometric_governance_table; legal_basis_issue_matrix
LIMEN-000004	SRC-AUTH-0009	United Kingdom	en	ICO_reprimand_pdf	article_35_and_deployment_timing	Article 35(1) of the UK GDPR ... prior to the processing, carry out an assessment ... Chelmer Valley High School introduced facial recognition technology in March 2023.	The reprimand states that a DPIA should have been completed before processing and that the school introduced facial recognition in March 2023.	Supports bounded wording on the process failure and deployment timing.	Keep schoolchild context metadata-first and avoid unnecessary factual expansion.	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	minors_public_interest_table; biometric_governance_panel; authority_anchor_panel
LIMEN-000004	SRC-AUTH-0009	United Kingdom	en	ICO_reprimand_pdf	opt_out_consent_invalidity	from March to November 2023 the controller had been relying on assumed consent ... consent on an opt-out basis would not have been valid or lawful	The reprimand states that the controller relied on assumed opt-out consent from March to November 2023 and that such consent would not have been valid or lawful.	Supports precise process-failure wording about the consent posture without expanding into broader conclusions.	Retain the regulator framing and avoid unnecessary detail because the case involves minors.	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	minors_public_interest_table; consent_failure_matrix; authority_anchor_panel
LIMEN-000006	SRC-AUTH-0013	United States	en	SEC_administrative_order_pdf	misstatement_substance	From at least August 2019 to August 2023, Delphia represented that it used artificial intelligence and machine learning to analyze its retail clients’ spending and social media data to inform its investment advice when, in fact, no such data was being used in its investment process.	The order states that Delphia claimed to use AI/ML on client spending and social-media data for investment advice when no such data was being used in the investment process.	Supports narrow wording on the substance of the alleged AI-washing misstatement within the settled SEC order.	Keep settlement-order posture explicit; do not present the order as independent judicial fact-finding.	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	settled_ai_washing_table; sanctions_matrix; authority_anchor_panel
LIMEN-000006	SRC-AUTH-0013	United States	en	SEC_administrative_order_pdf	civil_money_penalty	Delphia shall, within 10 days of entry of this Order, pay a civil money penalty of $225,000 to the Securities and Exchange Commission	The order requires Delphia to pay a $225,000 civil money penalty.	Supports exact sanction-amount wording in the AI-washing comparison table.	Use only as a settled-order sanction figure and not as a prevalence or impact proxy.	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	sanctions_matrix; settled_ai_washing_table; authority_anchor_panel
LIMEN-000007	SRC-AUTH-0015	United States	en	SEC_administrative_order_pdf	ai_adviser_claims	making false and misleading claims about its use of artificial intelligence (“AI”), its status as the “first regulated AI financial advisor,” and the services that it offered	The order states that Global Predictions made false and misleading claims about its AI use, its claimed status as the first regulated AI financial advisor, and the services it offered.	Supports precise wording on the substantive marketing claims at issue in the settled order.	Keep the settlement-order posture explicit and avoid generalizing beyond the named respondent.	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	settled_ai_washing_table; authority_anchor_panel; sanctions_matrix
LIMEN-000007	SRC-AUTH-0015	United States	en	SEC_administrative_order_pdf	civil_money_penalty	Respondent shall pay a civil money penalty in the amount of $175,000 to the Commission	The order requires Global Predictions to pay a $175,000 civil money penalty.	Supports exact sanction-amount wording in the settled AI-washing sanctions matrix.	Use only as an order-specific sanction figure and not as a broader impact measure.	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	sanctions_matrix; settled_ai_washing_table; authority_anchor_panel
