as_of_utc	lane_id	audit_scope	file_path	surface_type	avid_state_before	avid_state_after	next_threshold_after	evidence_basis	paper_or_dashboard_hook	notes
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-hardening-priority-v0.1.tsv	shared_priority_board	one canonical direct join reviewer-safe control surface	2 canonical direct AVID joins plus 9 explicit non-match/control rows	third canonical direct AVID join outside current Langflow-plus-ToolHive pair or exact negative-match rule	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/seed-import-join-prototype-v0.1.tsv ; results/crosswalks/avid-direct-join-appendix-v0.1.tsv	Figure 1 source-family maintenance priority note ; reviewer-safe interoperability appendix	Promotes the shared source-family priority board from stale singleton language to replicated-but-thin AVID exactness.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-publication-gate-board-v0.1.tsv	shared_publication_gate_board	one direct security-row bridge	2 exact security-row bridges with explicit non-match controls	third canonical direct AVID join outside current Langflow-plus-ToolHive pair or exact negative-match rule	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/seed-import-join-prototype-v0.1.tsv ; results/crosswalks/source-status-v0.1.md	Table 6A comparator package ; shared publication gate board	Highest-value publication gate surface now reflects the live AVID exactness state and points to this lane audit.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-coverage-map-v0.1.tsv	shared_coverage_map	9 scanned security rows with 1 canonical direct AVID join	11 seeded security rows with 2 canonical direct AVID joins and 9 explicit non-match/context-control rows	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/seed-import-join-prototype-v0.1.tsv	Source-family saturation map ; coverage comparison panel	Coverage wording now states the live seeded-row denominator and exactness split.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-dashboard-view-matrix-v0.1.tsv	shared_dashboard_router	one direct security-row bridge	2 exact security-row bridges	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/source-threshold-priority-board-v0.1.tsv	Source-family saturation map ; security_agentic_crosswalk	Both dashboard-facing AVID rows now carry the same replicated-but-thin exactness message.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-claim-coverage-v0.1.tsv	shared_claim_router	second canonical AVID join still pending	third canonical AVID join is the next threshold	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/source-threshold-priority-board-v0.1.tsv	Table 6A comparator package ; security interoperability appendix	Shared claim-coverage routing now stops asking for an already-landed second join.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-publication-route-support-v0.1.tsv	shared_route_support_board	one already-populated direct security-row bridge	2 already-populated exact security-row bridges	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/avid-direct-join-appendix-v0.1.tsv	Route A / Route B source-family support framing	Route-support prose now matches the live AVID replicated exactness state without widening claim ceilings.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-required-brief-route-board-v0.1.tsv	shared_lane_brief_front_door	one direct security-row bridge	2 exact security-row bridges	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/source-status-v0.1.md	Lane-brief reuse bundle ; Table 6A comparator package	Required-brief front door now reflects live AVID currentness and cites this lane audit in reuse bundle.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-figure1-register-v0.1.tsv	shared_figure_register	one direct security-row bridge	2 exact security-row bridges	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/source-threshold-priority-board-v0.1.tsv	Figure 1 source-family panel	Figure 1 register no longer advertises stale singleton AVID exactness.
2026-06-08T08:54:17Z	limen-boost-038	high_value_shared_source_family_ledgers	results/source-map/source-family-priority-audit-v0.1.tsv	shared_priority_audit	second canonical AVID join pending	third canonical AVID join pending	results/crosswalks/source-threshold-priority-board-v0.1.tsv ; results/crosswalks/source-exactness-gate-board-v0.1.tsv	Priority-group audit	Compact audit row refreshed so future brief checks inherit the repaired threshold language.
2026-06-08T08:54:17Z	limen-boost-038	lane_threshold_register_refresh	results/boost/limen-boost-038/crosswalk-threshold-event-register.tsv	lane_threshold_event_register	one canonical direct join plus eight explicit non-direct rows	2 canonical direct AVID joins plus 9 explicit non-match/control rows	third canonical direct AVID join outside current Langflow-plus-ToolHive pair	results/crosswalks/source-exactness-gate-board-v0.1.tsv ; results/crosswalks/seed-import-join-prototype-v0.1.tsv ; results/crosswalks/avid-direct-join-appendix-v0.1.tsv	Direct_join_ladder_panel	Lane-local threshold register refreshed so shard-038 no longer routes through retired singleton wording.
