row_id	row_kind	current_bucket	mechanism_family	authority_family	current_evidence_tier	promotion_target	current_blocker_class	minimum_new_evidence_shape	preferred_route	safe_publication_delta_if_met	reviewer_guardrail	priority_register_link	source_trace	dashboard_or_figure_hook
LIMEN-000001	case	1_core_results	unsafe_code_execution	vendor_advisory_exact_fix_visible	T3_authoritative_source	core_results_maintain_only	core_row_stable_but_interop_still_indirect_or_technique_level	Only a canonical AVID or exact ATLAS incident record would materially change the interoperability story.	No active retrieval priority unless a direct external case record appears.	Current role already supports core-results remediation visibility without stronger cross-framework incident matching.	Do not oversell indirect/technique-only framework context as direct incident interoperability.	maintain_not_priority_escalate	LIMEN-S-006; LIMEN-S-012	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000002	case	3_limitations_queue_only	unsafe_code_execution	candidate_exact_join_notice_gap	T1_single_public_source	appendix_strengthening_without_core_promotion	vendor_notice_depth_gap_despite_exact_avid_join	Vendor-authored advisory or release-note-grade statement explicitly tied to CVE-2024-37014; exact fixed-version language if visible.	Bounded verification on existing Langflow vendor surfaces already cited in local package.	Would preserve the row as a strong interoperability-limitation exemplar and could justify moving from candidate/T1 rhetoric toward appendix-grade remediation language only if vendor notice depth improves.	Do not let exact AVID interoperability substitute for remediation authority.	priority_rank=3 from limen-boost-016	LIMEN-S-007; LIMEN-S-014; LIMEN-S-019; LIMEN-S-024; LIMEN-S-025; LIMEN-S-026	unsafe_code_execution__candidate_exact_join_notice_gap__3_limitations_queue_only
LIMEN-000003	case	1_core_results	exfiltration_or_credential_exposure	vendor_advisory_exact_fix_visible	T3_authoritative_source	core_results_maintain_only	core_row_stable_but_interop_still_indirect_or_technique_level	Only a canonical AVID or exact ATLAS incident record would materially change the interoperability story.	No active retrieval priority unless a direct external case record appears.	Current role already supports core-results remediation visibility without stronger cross-framework incident matching.	Do not oversell indirect/technique-only framework context as direct incident interoperability.	maintain_not_priority_escalate	LIMEN-S-008; LIMEN-S-013	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000004	case	2_appendix_supporting_results	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	T3_authoritative_source	appendix_to_stronger_appendix_notice_depth	coordination_plus_release_note_without_cve_specific_vendor_bulletin	Vendor-authored advisory, changelog, or release text explicitly tying CVE-2026-2285 to a version or remediation statement.	Bounded verification on existing CrewAI official release/advisory surfaces before any lateral expansion.	Would tighten remediation-visibility wording inside appendix and notice-depth tables without yet making prevalence claims.	Relevant release-note language is not equal to a CVE-specific vendor bulletin until the text names the CVE or exact fix route.	priority_rank=4 from limen-boost-016	LIMEN-S-009; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	exfiltration_or_credential_exposure__coordination_plus_vendor_release_note__2_appendix_supporting_results
LIMEN-000005	case	2_appendix_supporting_results	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	T3_authoritative_source	appendix_to_stronger_appendix_notice_depth	coordination_plus_release_note_without_cve_specific_vendor_bulletin	Vendor-authored advisory, changelog, or release text explicitly tying CVE-2026-2286 to a version or remediation statement.	Bounded verification on existing CrewAI official release/advisory surfaces before any lateral expansion.	Would tighten remediation-visibility wording inside appendix and notice-depth tables without yet making prevalence claims.	Relevant release-note language is not equal to a CVE-specific vendor bulletin until the text names the CVE or exact fix route.	priority_rank=4 from limen-boost-016	LIMEN-S-010; LIMEN-S-015; LIMEN-S-020; LIMEN-S-021	exfiltration_or_credential_exposure__coordination_plus_vendor_release_note__2_appendix_supporting_results
LIMEN-000006	case	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	T3_authoritative_source	appendix_to_appendix_with_stronger_vendor_corrob	independent_lab_support_without_direct_vendor_remediation_statement	Direct vendor-authored remediation statement or release note clarifying version language for CVE-2023-29374.	Vendor-authored LangChain release/advisory material if public and clearly tied to the CVE.	Would keep the row as a source-independence exemplar while narrowing fix-language ambiguity.	Do not collapse Snyk plus CVE phrasing into a single exact-fix statement without direct vendor corroboration.	priority_rank=2 analogue (source-independence strengthening)	LIMEN-S-032; LIMEN-S-033	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results
LIMEN-000007	case	2_appendix_supporting_results	unsafe_code_execution	independent_lab_source_qualified_fix	T3_authoritative_source	appendix_to_appendix_with_stronger_vendor_corrob	independent_lab_support_with_asymmetric_version_language	Direct vendor-authored remediation statement or release note clarifying version language for CVE-2024-3271.	Vendor-authored LlamaIndex release/advisory material if public and clearly tied to the CVE.	Would keep the row as a source-independence exemplar while reducing version-language asymmetry in tables.	Keep CVE and Snyk version wording source-qualified unless a direct vendor statement resolves the mismatch.	priority_rank=2 analogue (source-independence strengthening)	LIMEN-S-036; LIMEN-S-037	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results
LIMEN-000008	case	1_core_results	memory_state_contamination	vendor_advisory_exact_fix_visible	T3_authoritative_source	core_results_to_core_results_with_external_interop	memory_state_family_is_singleton_and_lacks_direct_external_join	One second memory/state contamination row or a direct external framework join if a canonical AVID/ATLAS case later appears.	Prefer non-LangChain memory/state row or direct canonical interoperability anchor if it appears.	Would strengthen figure/table language that security diversity extends beyond one memory/state exemplar.	Do not treat advisory impact examples as proof of realized poisoning or credential incidents.	priority_rank=6 from limen-boost-016	LIMEN-S-041; LIMEN-S-042	memory_state_contamination__vendor_advisory_exact_fix_visible__1_core_results
LIMEN-000009	case	2_appendix_supporting_results	identity_boundary_abuse	vendor_advisory_exact_fix_visible	T3_authoritative_source	appendix_to_family_balance_support	identity_abuse_family_is_singleton_and_vendor_centric	One second bounded identity-boundary or authorization-abuse row, preferably non-framework or with stronger independent support.	Non-framework platform/service row or strongly independent public-security analysis.	Would let the package discuss identity-boundary abuse as more than a singleton appendix curiosity.	Do not generalize from one advisory-backed row to balanced identity-abuse coverage.	priority_rank=5 from limen-boost-016	LIMEN-S-045	identity_boundary_abuse__vendor_advisory_exact_fix_visible__2_appendix_supporting_results
GAP-peer_reviewed_security_case_support	gap	0_gap_only	cross_family_gap	peer_reviewed_security_case_support	gap	gap_to_first_seeded_peer_reviewed_mapping	no_live_row_has_peer_reviewed_or_conference_grade_case_support	Peer-reviewed paper, workshop paper, conference proceedings, or similarly citable public technical case analysis with enough incident specificity to map cleanly.	Exploit existing rows first; if none fit, add one new bounded row rather than broad harvesting.	Would strengthen the methods/results discussion of evidence-layer heterogeneity and reduce reviewer concern that the package is only vendor/CVE/advisory shaped.	Do not inflate independent-lab advisory rows into peer review.	priority_rank=2 from limen-boost-016	none	cross_family_gap__peer_reviewed_security_case_support__0_gap_only
GAP-supply_chain_or_plugin_extension	gap	0_gap_only	supply_chain_or_plugin_extension	gap_no_current_case	gap	gap_to_first_seeded_supply_chain_row	no_clean_supply_chain_dependency_plugin_trust_boundary_row	Primary CVE/advisory text plus at least one direct vendor or upstream remediation surface; independent-lab-only support is acceptable only if version language remains source-qualified.	Public CVE/advisory family or upstream GitHub security advisory affecting plugin, package, dependency, extension, or trust-boundary logic.	Would reduce the current framework-execution-heavy appearance and widen mechanism diversity in a reviewer-legible way.	Do not describe plugin-like language in existing rows as supply-chain coverage until a distinct row exists.	priority_rank=1 from limen-boost-016	none	supply_chain_or_plugin_extension__gap_no_current_case__0_gap_only
