queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-03537	LIMEN-SIGNAL-DAD509DFA17DE1D0	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	19492	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03538	LIMEN-SIGNAL-DB2C984D6993B75C	jurisdiction_source_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	227	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03539	LIMEN-SIGNAL-DBF58B936E866610	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22077	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03540	LIMEN-SIGNAL-DC5887383989BDD2	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	31400	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03541	LIMEN-SIGNAL-DCC55B45DFAE712A	jurisdiction_source_pack	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	205	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03542	LIMEN-SIGNAL-DDC86BE47EF196D5	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	29109	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03543	LIMEN-SIGNAL-DE3254CA13721A7F	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	35971	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03544	LIMEN-SIGNAL-DE3770ADBA69B49B	jurisdiction_source_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	199	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03545	LIMEN-SIGNAL-DE731A4D0AC7E186	jurisdiction_source_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	211	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03546	LIMEN-SIGNAL-DEAC9402F051B9F8	jurisdiction_source_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	199	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03547	LIMEN-SIGNAL-DF36E7EA32E01B71	atlas_indicator_or_country_profile	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	26216	Atlas indicator/profile row points toward a review topic but does not expose a named reviewable source surface in this row.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	extract a named source title/publisher/url from nearby top_sources before source review
BPSE-03548	LIMEN-SIGNAL-DF7279A2ADFF8521	jurisdiction_source_pack	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	227	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03549	LIMEN-SIGNAL-E00A7274B46EF77E	jurisdiction_source_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	209	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
BPSE-03550	LIMEN-SIGNAL-E15197EBB586A74B	jurisdiction_source_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	185	Research-queue row is a jurisdiction/query pack listing target source types, not a named reviewable source surface.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	resolve to a named official/institutional source surface before review
