signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-F893A2A28F2D0B17	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/results/gaia-multilingual-coverage/reviewer-routing-panel.json	431	sha256:ce3d9c774db6f8dfb0e52d97ebcf7a90797ef1b1df72afaf491a3a51b68e66b5	"paper_use: ""one authority-first Dutch preservation probe keyed to the live Algorithm Register lead or explicit negative-result card"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F896FA141FA035B7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/precision/precision-at-20-books-theory.csv	2	sha256:971e0ba30d794df4c92815d707a0faa17eb6f363afda88f1a3067c6ea04028d9	"1,unreviewed,yes,94,""Operationalising AI regulatory sandboxes under the EU AI Act: The triple challenge of capacity, coordination and attractiveness to providers"",journal-article,scholarly-doi-source,Use as a candidate research input after manual source-qualit"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F898B8D08E55152F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	736	sha256:31f763579dce1cf6d2a8c6e3565cd5c9603dd5233ba70b05f5e2fb6c0a5c007d	PM,Saint Pierre and Miquelon,I10,Publications - Les services de l'État à Saint-Pierre et Miquelon,Préfecture / Services de l'État à Saint-Pierre et Miquelon,https://www.saint-pierre-et-miquelon.gouv.fr/Publications,2026-05-30,official,Local publications area c	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F89D36F20E4BAD97	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/japanese-korean-language-history.jsonl	42	sha256:7d1f51c463a5bf2c893b294ab84d45a9c56026d546b38df43904044e50120fee	"{""already_in_main_dataset"": false, ""authors"": [""Hooshin Kim""], ""category"": ""scholarly-index-result"", ""container_title"": ""ADMINISTRATIVE LAW JOURNAL"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.35979/alj.2025.11.78.279"", ""domain"": ""doi.org"", ""factory_record_i"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F89F622FEB137F65	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_COUNTRY_MATRIX.csv	30	sha256:2ffee872ae0b682ad1b8714cc27ed14af004473fc1515bbc80c764aacec4e2c8	PK,Pakistan,2,M,2,M,2,M,2,M,0,L,2,M,2,H,2,M,2,M,1,L,21,official_ai_policy_pdf_not_retrieved;no_public_algorithm_register_found;ai_specific_sandbox_not_confirmed;ecac_site_not_extracted;open_data_portal_needs_verification;no_public_ai_attestation_or_revocation_	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8A16D22A3265651	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	325	sha256:3da9d62f332ed122177a6152340217a7794b61276825261559a7e396004d74d7	"summary: ""Austria shows strong digital identity/trust-services, cyber/NIS, procurement, and open-data infrastructure, plus active AI Act information and RTR service-desk capacity. First-pass gaps are a clearly consolidated AI Act implementing-authority map,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8AD81D654704C22	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-latest.jsonl	3	sha256:4c73a552b5aa19537a006012db2fc92ffbe06d39424dd770cd23df4a2bf9ee2f	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source-tuned"", ""content_hash"": ""ed3b9c2c379fc1162d81d556736e332b36f98ed1136654da587067140315a3af"", ""content_type"": ""text/html; charset=utf-8"", ""corpus_version"": ""v"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8AED05FEBB83E4E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_SOURCE_REFRESH.csv	120	sha256:38028c12aa4ffa25aed48dc2025177caf59f31d9fcd8952d6067fc2a28cf40d9	BT,Bhutan,I03,FinTechBhutan Regulatory Sandbox,Royal Monetary Authority of Bhutan / FinTechBhutan,https://fintechbhutan.bt/,2026-05-31,official regulator initiative page,confirms public-facing sandbox initiative,M,HTTPS certificate validation failed in lane en	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8AED2372E43AA66	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-013/source-delta.tsv	5	sha256:e1e4f214b2905d3e9ceeb9b4a5c40f7941db5c7916e2b3a93684f42feb7f9e3e	2026-06-07T15:19:15Z limen-boost-013 4 Finland fi sf09 public AI register entry Same-family sf09 hardening to page-specific companion Helsinki parking-chatbot row / pspcf-002 core middle-state row with linkage badge Official same-buyer procurement package and	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8AF5C9D4CE21A33	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z	4436	sha256:7a43a30c4cc7c03acb2267f112a9a7f93a786a476e82724568e2351fc1be034e	"why: ""India DPDP Act supplies statutory privacy/accountability hooks for AI evidence and DPI comparison."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8BAB5A0260644AD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/scripts/generate-pallas-venue-preprints.py	615	sha256:cdfbd671b005f56ee67e7e434facc5e9001a1e05721de55e86dc720ef0a60497	"f""Sokolov, Anton. 2026c. From digital state to AI evidence state. Tyche Institute PALLAS Zenodo archival package. {ZENODO_DOI_URL}."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8BF08EDAC0B718B	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.csv	142	sha256:6e20bb33dce070193367f95718c0afd516e751bb5451043be1c5715c46ef1041	acc73c167a362eac6dc56d59,evidence-package-design,strong,153.0999,use cautiously with cited support,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/papers/03-tyche-thesis-atlas-data-method-v0.2.3.pdf,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8BF2064D7C352A9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COMPLETION_REPORT.md	128	sha256:88871cf41de874cc0e947f4fad582f871f3e1c4525776ca2797774bb71f6ef52	Finland is the paired Nordic comparator. The second pass strengthened implementation evidence through official AI Regulation and supervision-project sources, improved confidence on authority-capacity and sandbox-negative findings, and kept the Helsinki AI Regi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8C229FAED16CE97	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/sandboxes-cases-latest.md	129	sha256:964c64b24eed521b3d8ff7d6a7f1c4fe888533151e2ad7348ce3f7002cb6810c	- Why it matters: Find national AI regulatory sandbox implementation research and comparison material.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8C6BA35934779E9	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	777	sha256:c81ed0654234048d511e41749423883a36e050dd40eb8cd8d1acd0e66b7bcdee	"8,DO,Dominican Republic,I08,,1,M,1,H,,TRUE,,""OGTIC official no-objection service strengthens general ICT procurement-control evidence and ENIA lists a planned 2025 AI procurement resolution, but no enacted AI-specific procurement rules were verified."",,,,do-so"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8CD43CAAB2CA178	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-indicators-v0.2.jsonl	80	sha256:e5ac8aa301038a4b3aca37f40394fe17927f7d9581ad5e0f68dcab9ec51fc418	"{""corpus_version"": ""v0.2"", ""country"": ""United Kingdom"", ""country_id"": ""united_kingdom"", ""country_priority"": ""P1"", ""generated_at"": ""2026-06-05T11:00:06Z"", ""indicator"": ""Sandbox or experimentation route"", ""indicator_id"": ""sandbox_experimentation"", ""source_count"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8CF1855D4190F30	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md	302	sha256:da86cd3ba06312341d94a1a0e929eca47d578a4d61690ea3eb0b8b42f8bc0e86	- First pass did not locate a central public algorithm register with live entries.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F8D41A38A761F10D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	4303	sha256:c3ac4358fdc62243ea3f3e6e61cfa85f40dcdfd62edffc2ec3857190e94807eb	"summary: ""Netherlands shows strong public evidence infrastructure: national AI Act implementation and supervision planning, active AP algorithm oversight, a large public algorithm register, mature standards/digital identity/open-data layers, and NIS2/Cyberbe"	needs direct source, source-pack resolution, or translation-aware review before example promotion
