signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-CCCDE3DD382F9397	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	1039	sha256:76df936e40343ba35b775cce6d875e507d3c4158ff08929cf63fcf67632785c7	"title: ""Netherlands Algorithm Register"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCD462B87AC5D572	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/RESULT.md	147	sha256:b4de79422c38034da88f751d5cf69263cd9d2ac764ef664b7a616469d3df2900	| 2 | Estonia | I03 | Confirm whether any operational AI-specific regulatory sandbox exists, with entry rules, supervising authority, cohorts, reports, or real-world testing records. | Prevents over-reading Accelerate Estonia or action-plan references. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCD53CD7EB6E7529	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	4950	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCD969E08F582520	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z	96	sha256:e238a6de5f3512d5d00160aec94d86bdd70fd0e102dc983ec334274cdf20ea8e	"mission: ""Monitor Indonesia as a high-value comparative jurisdiction for AI regulation, data protection, PKI/digital identity, regulatory sandboxes, public-sector evidence infrastructure, and law-to-evidence/standards-to-evidence crosswalks."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCD9A6794E568FA7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/program/10-pallas-gaia-bridge/data/pallas_gaia_agent_observability_stress_test.csv	40	sha256:336ff4ae9f3c39d25b81e39bbf9739aed5904266927bd26b713246324c8f2613	"PG-039,albania-diella-ealbania-procurement-oversight-assistant,Diella eAlbania virtual assistant and procurement-oversight system,""National Agency for Information Society of Albania (AKSHI), Office of the Prime Minister of Albania, with Microsoft/OpenAI cloud"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCDB2CDAC6976703	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	47	sha256:a0656fb99e7db62b91825b6617a3ce18967998dbca4cbb830736e9ac65e6c0c5	BJ,Benin,high,D thin visibility,high,Benin AI Act implementation competent authority; Benin algorithm register public sector AI; Benin AI regulatory sandbox; Benin AI procurement public sector guidance; Benin AI audit logs provenance post-market monitoring; Be	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCF0E1FB94F3E271	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	fabricated reference	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/legal-research-cross-project-public-anchor-candidates-v0.1.tsv	4	sha256:e28fac7c71b3f5be06ef05ffdd482fc73e3a3c3598ef3e6fb6bc591eb00061c1	2026-06-08T06:51:53Z limen-continuous-experiments fabricated reference gaia /srv/tyche/gaia/tyche-research-vault/notes/references-audit-2026-05-25/03-papers-a-d-halduskultuur.md:311-314 halduskultuur-fabricated-reference-correction United Kingdom en https://ww	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCF5FAFEED29A169	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/source-resolution-side-panel-join-v0.1.csv	5	sha256:99f168fca694b5df113a98c44b52b09d0715cfa97ed11a26b823bed60f6aff77	JOIN-SRL-FR-ETALAB-ALG-20260605,FR-ETALAB-ALG-CANDIDATE,France,France public algorithms candidate: algorithmes.etalab.gouv.fr,https://algorithmes.etalab.gouv.fr/,2026-06-05,environment_resolution_failure,gray,exclude_from_active_register_counts,outside_active_	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CCFCFD5C81FE0569	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	2716	sha256:00c15147bf40f58e1d52d35dc02a6a5d5bb72d910dac53d4c503bf165bf43e52	- First pass found the Data Protection Act 2023, including automated decision-making/profiling provisions, but did not locate a Guyana AI Act, national AI strategy, or AI-specific implementing instrument in official sources checked.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CD0254CC1F14CF50	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_CANDIDATE_MATRIX_DELTA.csv	34	sha256:084d7015721d9910c989ebdc8702a84adbd0c7b7fbf7084f3dcf3f5d999c3381	"CI,I03,1,L,1,M,""BCEAO regional FinTech BCSF-UEMOA evidence improves innovation-regulator contact evidence, but no explicit regulatory sandbox/bac-à-sable was verified for Ivory Coast or AI."",true,ci-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-CD0683AEFCC09859	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	research integrity	/srv/tyche/gaia/tyche-research-vault/notes/tickler-2026-06-11-jerhre-26-0083-status-check.md	47	sha256:f53ce182cdd69eecc59a976c5909e7faae593f27cf7d80553cc42197d2935a9c	- *(retired)* RIPR — Research Integrity and Peer Review (BMC).	needs direct source, source-pack resolution, or translation-aware review before example promotion
