as_of_utc	family_id	source_family	priority	figure1_role	evidence_use_band	authority_profile_short	access_method_short	reuse_posture	allowed_use_now	blocked_or_not_yet_safe	smallest_upgrade_trigger	dashboard_hook	paper_or_thesis_use_now
2026-06-07T22:37:49Z	sf01	AI Incident Database (AIID)	P0	maintenance_comparator	metadata_baseline_only	Curated incident database with strong discovery and comparison value, but not a final authority for legal status or allegation truth.	Public cite pages, public snapshot surfaces, and bounded route inspection.	bounded_metadata_or_manual_reuse	Comparator metadata, overlap checks, and source-baseline discussion.	Do not treat as final authority on allegation truth, legal status, or completeness.	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims.
2026-06-07T22:37:49Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	maintenance_comparator	metadata_baseline_only	Official institutional monitor with strong policy-facing authority for incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations.	Public incident pages and unauthenticated JSON facet endpoints under the OECD incidents service.	bounded_metadata_or_manual_reuse	Comparator metadata, overlap checks, and source-baseline discussion.	Do not treat as final authority on allegation truth, legal status, or completeness.	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims.
2026-06-07T22:37:49Z	sf03	AI Vulnerability Database (AVID)	P0	maintenance_comparator	structured_security_comparator	High structured technical authority for public AI vulnerability/report metadata when exact IDs and references are preserved.	Public website plus openly downloadable GitHub raw JSON and repository contents.	structured_open_reuse	Use exact IDs/references for direct security joins and interoperability appendices.	Do not collapse placeholder/context rows into solved joins or complete incident counts.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.
2026-06-07T22:37:49Z	sf04	MITRE ATLAS	P0	maintenance_comparator	technique_context_comparator	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations.	Public website plus Apache-licensed GitHub YAML/data distribution.	structured_open_reuse	Use technique and mitigation context for security crosswalks and figure overlays.	Do not claim ATLAS case-study equivalence where only technique context exists.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.
2026-06-07T22:37:49Z	sf05	MIT AI Risk Repository	P0	maintenance_comparator	taxonomy_methods_only	Secondary but important structured authority for risk and harm definitions; not an incident-truth source.	Public website and navigator-style interface.	bounded_public_reuse	Use as taxonomy/definition support and methods framing.	Do not use as event evidence.	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence.
2026-06-07T22:37:49Z	sf06	CSET AI Harm taxonomy / overview	P1	route_a_guardrail	appendix_only_manual_overlay	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence.	Public Georgetown CSET article surface plus exact public PDF/README anchors captured in local bridge work.	manual_citation_only	Use as appendix-only manual harm overlay and related-work support.	Do not present as ingest-ready row-level evidence.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.
2026-06-07T22:37:49Z	sf07	Regulator and enforcement sources	P0	supporting_empirical_or_discovery_layer	authoritative_event_support	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction.	Official regulator portals, enforcement pages, press releases, decisions, and linked official documents.	public_document_citation_reuse	Use for official actions, orders, procedural posture, and authority upgrading.	Do not generalize beyond the issuing authority text or jurisdictional scope.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.
2026-06-07T22:37:49Z	sf08	Court and tribunal records	P0	route_b_blocker	highest_authority_event_anchor	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public.	Public court databases, judgment portals, tribunal repositories, or official DOJ/agency-linked docket materials.	bounded_public_reuse	Use for complaints, judgments, decrees, filings, and court-grade posture.	Do not infer court text where only agency summaries or partial OCR exist.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.
2026-06-07T22:37:49Z	sf09	Public-sector registers and procurement	P1	route_b_blocker	public_sector_disclosure_surface	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated.	Official registers, procurement portals, tender notices, award pages, contract pages, and public-body project pages.	bounded_metadata_or_manual_reuse	Use for disclosed register/procurement/project-page facts and heterogeneity comparisons.	Do not infer capability, legality, impact, or exact buyer-side linkage beyond the cited record.	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims.
2026-06-07T22:37:49Z	sf10	Company and platform notices	P1	supporting_empirical_or_discovery_layer	issuer_notice_timing_layer	Primary only for what the issuer disclosed; self-interested and incomplete for broader truth claims.	Public status pages, transparency reports, release notes, product incident notes, GitHub advisories/issues.	bounded_public_reuse	Use for issuer timing, remediation signals, and disclosure chronology.	Do not rely on issuer notices alone for full incident characterization.	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Remediation timeline overlay; issuer-vs-independent-source comparison table.	Useful for timing and remediation claims; should rarely stand alone for incident characterization.
2026-06-07T22:37:49Z	sf11	Security research and advisories	P1	route_b_blocker	security_mechanism_and_coordination_layer	Variable authority; strongest when tied to CERTs, established labs, coordinated disclosure, or peer-reviewed work.	Public blogs, conference papers, CERT notes, vendor advisories, and coordinated-disclosure pages.	bounded_public_reuse	Use for mechanism discovery, coordination posture, remediation visibility, and bounded security comparisons.	Do not convert mixed-authority rows into prevalence or complete-remediation claims, and do not overread the retired supply-chain/plugin zero state into broad trust-boundary coverage.	Close `GAP-peer_reviewed_security_case_support` first; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep LIMEN-000012 explicitly singleton-only until a second exemplar or stronger independent attachment appears.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims, with one remaining peer-reviewed gap and singleton-only trust-boundary breadth.
2026-06-07T22:37:49Z	sf12	Reputable multilingual media and investigations	P1	supporting_empirical_or_discovery_layer	discovery_and_local_context_layer	Secondary corroborative authority valuable for discovery, local context, and timeline stitching, but weaker than official sources.	Public news sites, investigative outlets, archives, and broadcaster pages.	bounded_public_reuse	Use for discovery, local context, language coverage, and source-resolution funnels.	Do not make strong legal or normative claims from media alone.	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims.
2026-06-07T22:37:49Z	sf13	Academic and research-integrity sources	P1	route_a_guardrail	research_integrity_limitations_layer	Medium-to-high authority for retractions, correction notices, benchmark-integrity notes, and scholarly dispute records depending on source.	Public journal notices, publisher pages, DOI registries, retraction databases, and institutional reports.	bounded_public_reuse	Use for notice depth, retraction/correction surfaces, and limitations discussion.	Do not infer editorial reasoning where direct notice text is absent.	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Strong for bounded claims about article identification, retraction/correction surfaces, publisher-notice depth, and source-resolution friction; weaker for editorial reasoning where direct notice text is blocked or absent.
2026-06-07T22:37:49Z	sf14	Social and web lead sources	P2	planned_frontier	lead_queue_only	Low authority alone; discovery surface only until independently corroborated.	Public posts, forums, community trackers, screenshots, issue threads, and public discussion surfaces.	bounded_public_reuse	Use only through the implemented corroboration-first lead queue while rows remain below seeded use.	Do not treat as evidence without an upgrade path.	Populate at most one governed queue row with an exact public anchor and higher-authority corroboration target before any broader family expansion.	Lead queue; corroboration backlog; source-upgrade funnel.	Useful only for discovery until upgraded.
2026-06-07T22:37:49Z	sf15	Creative/absurd and normative outlier sources	P2	planned_frontier	residual_novelty_frontier_only	Usually low formal authority but valuable for taxonomy stress tests and novelty-boundary cases.	Public contests, art/culture coverage, satire clarifications, showcases, and local anomaly reporting.	bounded_public_reuse	Use only through the implemented residual-frontier queue while rows remain below seeded use.	Do not reward sensational or low-authority anomalies as paper-grade evidence.	Populate at most one governed residual queue row with explicit inclusion, exclusion, authority-band, and seeded-use-decision fields before any broader family expansion.	Residual-category queue; novelty/authority matrix; taxonomy stress-test panel.	Potentially important for article differentiation if sharply bounded and reviewer-legible.
