signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-765DBF9E7BADF928	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv	46	sha256:09878b4d254dd6e0aea98cb4c4003d52c2e2903419afa32336ff1a042b23b6df	"BN,I05,0,M,0,H,""Confidence uplift for negative evidence. Data.gov.bn is an open-data portal and no public algorithm/automated-decision/AI register was located in checked public sources. Negative finding should remain carefully phrased as not located, not absen"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-766BEFB109AC8CC8	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/stratified-record-review-frame-20260608.csv	31	sha256:5dd150d442f34261a05fc25ce355b49d79e543138a8f7bea2a2eb6416d3ca398	SRF-20260608-030,ALL-CA-AI-REG-0114,CA-AI-REG,Government of Canada AI Register,active_register,Canada,2526-NSERC-CRSNG-001,Wordly,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,federal public administration,production	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-766FA3B585162D74	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-bridge-mini-batch-v0.1.csv	5	sha256:7c4acba53642757c433fb06916a9258399c86cb0faf87ce263f7af194bae3c86	4,PG-005,BH,Bahrain,Bahrain Council of Representatives parliamentary bill and document chatbot use case,legal,C fragmented governance route,ar; en; fr,ar,Arabic,register; audit,HIGH_IMPACT_VERTICAL; PUBLIC_REGISTER_WEAK; AUDIT_PROVENANCE_WEAK; EU_AI_ACT_ROUTE_	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-7674A2B72F071DEF	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	84	sha256:1ae4152e7093aa9cbe3231eacab903bd9fda0d7a8db97b5aba8ba4e18594e9ac	ALL-NL-ALG-REG-0083,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-89853782,i-citizenship,https://algoritmes.overheid.nl/en/algoritme/89853782,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk CSV row	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-76803D9056752220	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	10574	sha256:e0b5d4a727fccc41df1a67da3d82dd1f700ecdd4f0482a6c4185f21946d47de5	"summary: ""First-pass public evidence shows operational digital-government, eIDAS/trust-services, statistics/data, procurement-publication, ICT/security-office, data-protection, accreditation and new regulatory-sandbox building blocks. It does not yet show a"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-7692AF4C199F3C71	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	C2PA	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/verification/verification-priority-semantic-links-v0.2.jsonl	109	sha256:35d4eda4edd9387c0f35c6bb9d3e4c94280122e17ce52e46faf8a029f6c0ca8d	"{""corpus_version"": ""v0.2"", ""generated_at"": ""2026-06-01T05:45:34Z"", ""relation"": ""source-supports-verification-task"", ""source_title"": ""ENISA Trust Services"", ""source_url"": ""https://www.enisa.europa.eu/topics/trust-services"", ""task_id"": ""verify-c2pa-content-prove"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-76A28CC9D3E20CCD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_HARDENING_SUMMARY.csv	8	sha256:fa2dc8db6ed8647705f8550fd8845bd7f60ec8effa3bfce7460ac53de34b60ed	DM,Dominica,Americas remainder,1.2,28,true,22,10,0,none,2,I05 L→M; I10 M→H,7,none,I01: Laws - Government of Dominica Web Portal | I02: Information and Communication Technology (ICT) Unit; About Us - National Telecommunications Regulatory Commission | I03: FinT	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-76A4DBC76B273192	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	279	sha256:66276a3bb2c5fb3a6269c8fbdda8a386f6a56a04bc1e40b9f4712e98e4bb4fd8	"{""already_in_main_dataset"": false, ""authors"": [""Elliot Posner""], ""category"": ""scholarly-index-result"", ""container_title"": ""Extending Experimentalist Governance?"", ""doi"": ""10.1093/acprof:oso/9780198724506.003.0008"", ""domain"": ""doi.org"", ""is_referenced_by_count"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-76AA305DFE20FF17	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	890	sha256:03e5016f02871623a4cf98b24448da5c63b8cb65a5951bebffaa8f87bf5c17d4	9,SR,Suriname,I03,,0,L,0,M,,true,,Central Bank/government surfaces checked; no public regulatory sandbox found. Negative evidence only.,,,,sr-source-hardening,confidence_only	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-76AD2B945A71248F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	2	sha256:040c5b93e55b54194d239dd130b1613ab6fb111e7a2a137a1afcfaa13845bf76	CN,China,high,A visible governability,high,China AI Act implementation competent authority; China algorithm register public sector AI; China AI regulatory sandbox; China AI procurement public sector guidance; China AI audit logs provenance post-market monitori	needs direct source, source-pack resolution, or translation-aware review before example promotion
