signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-37C4151364A7AB43	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv	10	sha256:29ebd42deee317cf88becb0973a073063c8dfc5ee338849787251eecf05507a7	"FI-HEL-AI,City of Helsinki AI Register,""Helsinki, Finland"",5,complaints,0,5,0,0,5,0.500,consistent_partial,FI-HEL-AI-SAMPLE-1; FI-HEL-AI-SAMPLE-2; FI-HEL-AI-SAMPLE-3; FI-HEL-AI-SAMPLE-4; FI-HEL-AI-SAMPLE-5,2026-06-05,data/registry-sample-records-v0.2.csv,parti"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37C4FAA571B799AB	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z	3723	sha256:c7ccab7ad4e5882918715f4c19982c853b045d2ff3771b98dce93cb70adbefdd	"why: ""Brazil has a mature national PKI that can be compared with eIDAS/EUDI and AI evidence signing requirements."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37CDB77DD7BC0A2F	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-power-history.jsonl	142	sha256:0e8ace3ecea04ce4d5e528f2c4931af4b82f533a579d8527663c8271f4c5a48d	"{""assignee"": ""美商戴爾產品有限公司"", ""category"": ""patent-landscape"", ""corpus_version"": ""v0.2-working"", ""country_label"": ""Taiwan"", ""factory_record_id"": ""ab2c8aae3b6e1370cd38ae8e"", ""family_countries"": [""CN"", ""EP"", ""TW"", ""US"", ""WO""], ""family_country_labels"": [""China"", ""Eur"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37CE1C51117B1CDC	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/start_tyche_hermes_factory.sh.bak-20260604T095014Z	99	sha256:59b044eb2653772b3becd1c5aa05843c7f04d0de8c95acea12ccffab9ad85218	for lane in legal-regulatory sandboxes-cases standards-evidence; do	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37CF6DE4ACC096E9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/french-german-language-latest.jsonl	13	sha256:57d707a930e28703bf54712cc9212a99dad58ec4f71043c4da2a41d25d662a3d	"{""already_in_main_dataset"": false, ""authors"": [""Bruno Deffains""], ""category"": ""scholarly-index-result"", ""cited_by_count"": 6, ""doi"": ""https://doi.org/10.3917/pouv.170.0043"", ""domain"": ""doi.org"", ""is_open_access"": true, ""lane"": ""french-german-language"", ""languag"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37D7A4849C0E30DC	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/preprint-action-board-20260605T193902Z/preprint-action-board.csv	63	sha256:fea7aef3a0dde8815494d9ddf83047e56c1c57d7b68c195ae53164ba0e74af0f	"pallas,12,estonia-case,103.4206,use-after-citation-check,""\\| \\| I05 \\| Public algorithm registers / transparency \\| 1/M -> 2/M \\| 2/M -> 2/M \\| Estonia improves through Kratid algorithm-transparency guidance with 19 mandatory questions, while a Riigikogu"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37D9484F8CF146AC	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv	30	sha256:3b637ea2697bf1df3223a604163969f9966eb56231c665a74b6a862293f82297	"helsinki-parking-chatbot-register-description-20260601,helsinki-parking-chatbot,Parking chatbot,description,""Helsinki’s AI register describes the parking chatbot as a public customer-service channel that answers parking questions using natural-language topic d"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37ED4DB6379C6705	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z	1784	sha256:d0e16b42dd45e851bda57dac669ef6d4c1bf5ae4a2be4b6ba5bac0568dc17d93	"why: ""Canonical financial regulatory sandbox model useful for comparison to AI Act sandbox design."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37EF81060B5E87A4	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv	19	sha256:4f49655a47ed89b6303534ba7d43a3bd4d69cf8f69491d07f949fb13e4ff6398	"LU,Luxembourg,3.0,3,3,3,3,1,M,17,generic_only,0,ai_act_designations_need_statutory_verification;regulatory_sandbox_pending;no_public_algorithm_register_found;ai_specific_procurement_controls_not_found;evidence_controls_fragmented,""Luxembourg has strong digital"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37F6529E5925A023	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	582	sha256:efe16d9667fdbf1e904f18cc1bb85c1e93b37a7f2afc8da6325455aef6ece795	7,TV,Tuvalu,I05,,0,L,0,M,,TRUE,,No official public algorithm register found; ICT policy has no register/transparency inventory.,,,,,,,,tv-source-hardening,confidence_only	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37F76EBB693DD694	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_CANDIDATE_MATRIX_DELTA.csv	89	sha256:6c9f7bbc18fd9c96121ff44cff986c835eef2feb30b927277d6d3dabae2b439d	jo-source-hardening,JO,Jordan,I08,1,M,1,M,none,GPD/JONEPS support generic procurement only; no AI procurement rulebook found.,true	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37F7CEAE9655178C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	security-agentic	agent security	/srv/tyche/projects/limen-ai-edge-case-atlas/lanes/zeus1-launch-brief-v0.1.md	20	sha256:0c0594bd09d8b340a0670258be45612f8c14c686a38eb8c44b59fa397d7db56a	| `limen-security-agentic-watch` | Track AI/agent security advisories, vulnerabilities, agentic failures, and mitigations without exploit reproduction. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37F9363E6B8017FA	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193210Z/claim-support-curated.json	1609	sha256:6fb38d5cd0dcaa88954a4489f37e887af41e7806693cb9ba98590f4ce3f03f6a	"text: ""it combines mature public-administration infrastructure with a different visible pathway: official AI Act implementation-project evidence, Ministry of Economic Affairs and Employment materials on AI regulation and Article 77 authorities, AI Board subg"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-37FF571A7365AA01	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/verification-priority-queue-v0.2.jsonl	13	sha256:92542b2f80c23f11d65b32c591c0d2df90855acf8ff1b98c4bff8fd79f1b5043	"{""corpus_version"": ""v0.2"", ""estimated_minutes"": 45, ""expected_output"": ""PALLAS correction seeds and country-readiness notes."", ""generated_at"": ""2026-06-05T11:02:45Z"", ""paper"": ""PALLAS / country AI-readiness"", ""priority"": ""P1"", ""question"": ""Are PALLAS gaps for"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-380F9FA1AE34FABD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md	29	sha256:c74a1f55499db8ad5d8a93808494afe0196252a09bdf5ea336c49a56583d762a	## I03: regulatory sandbox maturity	needs direct source, source-pack resolution, or translation-aware review before example promotion
