source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.3390/laws15030042	2	LIMEN-SIGNAL-E89DAC29C8FC71DE; LIMEN-SIGNAL-EB2C23EBD2DEE227	bulk_named_source_autoresolve	doi.org	https://doi.org/10.3390/laws15030042	doi.org	regulatory sandbox; algorithm register	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.3403/30327466u	1	LIMEN-SIGNAL-C95E21166A3068D0	hardening_translation_source_review	doi.org	https://doi.org/10.3403/30327466u	Health informatics. Public key infrastructure		- Why it matters: Find Estonian-language digital identity, electronic-signature, PKI, and governance sources relevant to signed AI evidence.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.34755/irok.2022.87.78.073	1	LIMEN-SIGNAL-7C20A7AEEECC8372	bulk_named_source_autoresolve	doi.org	https://doi.org/10.34755/irok.2022.87.78.073	doi.org	AI evidence	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.34925/eip.2022.146.9.234	1	LIMEN-SIGNAL-E5D2024A48A797E8	bulk_named_source_autoresolve	doi.org	https://doi.org/10.34925/eip.2022.146.9.234	doi.org	AI evidence	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.35497/345258	2	LIMEN-SIGNAL-97C320C4908319CF; LIMEN-SIGNAL-D3432AA8295C8E75	bulk_named_source_autoresolve	doi.org	https://doi.org/10.35497/345258	doi.org	AI evidence	Index row may help trace sources but does not itself expose a direct reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.35497/566975	1	LIMEN-SIGNAL-F06EA2BB7E75D485	bulk_named_source_autoresolve	doi.org	https://doi.org/10.35497/566975	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.35650/jt.3072.d.2024	1	LIMEN-SIGNAL-DEA827F12A56B7FA	bulk_named_source_autoresolve	doi.org	https://doi.org/10.35650/jt.3072.d.2024	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.35979/alj.2025.3.76.37	1	LIMEN-SIGNAL-7C55E8E408777EBC	bulk_named_source_autoresolve	doi.org	https://doi.org/10.35979/alj.2025.3.76.37	doi.org	automated decision	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.36024/1248-045-997-005	2	LIMEN-SIGNAL-35DFCFBAD8A4A28B; LIMEN-SIGNAL-DB8F3349D206F272	bulk_named_source_autoresolve	doi.org	https://doi.org/10.36024/1248-045-997-005	doi.org	regulatory sandbox	Row is scholarly or adjacent metadata, not a named direct source surface; extract the underlying official source first.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.36349/fujpam.2026.v5i01.013	1	LIMEN-SIGNAL-E6981CA6AA4EE612	bulk_named_source_autoresolve	doi.org	https://doi.org/10.36349/fujpam.2026.v5i01.013	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
