queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02378	LIMEN-SIGNAL-89D95E45513198DF	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:148	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02379	LIMEN-SIGNAL-89E36D4EA3F5C9D0	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:173	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02380	LIMEN-SIGNAL-89E3F3A3A80FE988	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:170	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02381	LIMEN-SIGNAL-89F5118B64AD1888	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:94	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02382	LIMEN-SIGNAL-8AD30F2A656A979F	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:117	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02383	LIMEN-SIGNAL-8BF0A8E07FDDDBF6	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:161	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02384	LIMEN-SIGNAL-8CE1F793D8DC08A2	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:94	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02385	LIMEN-SIGNAL-8D069DF8087B40A3	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:146	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02386	LIMEN-SIGNAL-8D6F6FD52607CE06	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:102	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02387	LIMEN-SIGNAL-8D94274E726A428C	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:144	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02388	LIMEN-SIGNAL-8DAFF31396CB086A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:180	Aggregate country/query-pack gap row lists search targets or source examples but no single extractable parent public URL.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02389	LIMEN-SIGNAL-8DD0920833DC449E	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:96	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02390	LIMEN-SIGNAL-8E082DB2C8FD2054	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:167	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02391	LIMEN-SIGNAL-8E3D71F1F0455467	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:113	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02392	LIMEN-SIGNAL-8ED625335CBD2BA1	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:161	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02393	LIMEN-SIGNAL-8F66718F3563D59A	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:157	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02394	LIMEN-SIGNAL-8F9ED0AC9B1EB20F	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:92	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02395	LIMEN-SIGNAL-8FE62E815B7C15EB	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:121	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02396	LIMEN-SIGNAL-904A4B5843EE2113	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:104	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02397	LIMEN-SIGNAL-90B9D053BEE3A7A2	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:108	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02398	LIMEN-SIGNAL-9129A64428803913	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:175	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02399	LIMEN-SIGNAL-9139D93DC436B199	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:109	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02400	LIMEN-SIGNAL-91496FD6C0CAEE6B	country_gap_no_parent_source			/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:155	Research-queue country gap row lists seed queries/search targets only; no named reviewable parent public URL is present.	local aggregate/query metadata only; no case/source claim	extract a named source surface from local source-pack/ledger before review
BPSE-02401	LIMEN-SIGNAL-915B5402CEF9B903	source_url_extracted	https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2025/10/sou-2025101/	Anpassningar till AI-förordningen SOU 2025:101	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:1243; /srv/tyche/pallas/pallas-ai-agent-observatory/work/waves/pallas-hardening-sprint-12/se-source-hardening/source_refresh.csv:10; REPORT.md:32,42,108	Second-pass SE I05 source-pack explicitly maps the score-delta reason to the Government Offices SOU page for narrow high-risk AI registration; not a comprehensive algorithm register.	local source-pack URL extraction only; proposal/negative-register context; no legal or operational finding	human review of proposed registration source before any score/core promotion
