as_of_utc	category_code	category_label	live_lineage_count	direct_authority_lineages	single_public_lineages	translation_caution_lineages	live_support_state	staged_support_state	overlay_route_status	fragility_flags	paper_safe_role_now	claim_links	shared_controls	live_denominator_contract	next_smallest_publishability_move	forbidden_overread	source_basis
2026-06-07T19:28:00Z	unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	5	3	2	2	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	posture-aware comparison across accusation, enforcement, and suspected misuse rows		CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Route through legal-uncertainty and posture controls before any count-facing manuscript prose.	Do not collapse charging-stage, suspected, and regulator-final rows into one adjudicated-unlawful count.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	security_risk	Security risk	10	9	1	0	authoritatively_seeded	authoritatively_seeded	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	bounded repeated-mechanism overlay inside existing taxonomy labels	LIMEN-C-007	CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Propagate the repeated-mechanism overlay into Figure 2 / caption controls while preserving denominator-safe language.	Do not convert recurrence into prevalence, comparative product safety, or a new top-level label.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	agentic_control_failure	Agentic control failure	10	9	1	0	authoritatively_seeded	authoritatively_seeded	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	bounded repeated-mechanism overlay inside existing taxonomy labels	LIMEN-C-007	CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Propagate the repeated-mechanism overlay into Figure 2 / caption controls while preserving denominator-safe language.	Do not convert recurrence into prevalence, comparative product safety, or a new top-level label.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	institutional_absurdity	Institutional absurdity	3	0	3	3	candidate_only_seeded	candidate_only_seeded	queue_or_methods_guardrail	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	residual-pressure queue and small governance-anomaly appendix		CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Seek one stronger municipal or official corroboration route, otherwise keep as queue/limitations material.	Do not turn thin local-news leads into a stable category family or public-sector prevalence claim.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	public_sector_misuse_or_gap	Public-sector misuse or evidence gap	8	5	3	4	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	small comparison panel on disclosure-surface heterogeneity	LIMEN-C-012	CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Keep Table 1B / public-sector proof ceilings aligned and seek one genuinely different official companion surface.	Do not flatten official project pages, regulator documents, and register rows into one procurement-proof class.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	deepfake_or_synthetic_identity	Deepfake or synthetic identity	3	1	2	2	authoritatively_seeded	candidate_only_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	limitations-forward queue and provenance-confusion methods panel	LIMEN-C-004A; LIMEN-C-004B	CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Only upgrade with a compliant direct article or official-source companion, likely Finland before Lithuania.	Do not imply authoritative deepfake event closure from title-gloss or single-source multilingual leads.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	legal_procedural_contamination	Legal/procedural contamination	3	2	1	2	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator	LIMEN-C-008	CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Hold at Table 1E evidence-depth status unless a second document-grade authority row appears.	Do not convert this thin package into misconduct prevalence or system-wide legal-process conclusions.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	health_medical_or_mental_health	Health, medical, or mental-health misuse	0	0	0	0	zero_seed_local_gap	zero_seed_local_gap	queue_or_methods_guardrail	zero_seed_methods_guardrail	methods safeguard and zero-seed heatmap row		CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Retain zero-seed row and assign only if a reviewer-legible case genuinely escapes existing labels.	Do not read zero assignments as real-world absence or taxonomy closure.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	education_workplace_or_hr	Education, workplace, or HR	6	5	1	1	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed	cross-domain comparator for hiring, schooling, and worker monitoring		CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Keep as a small comparator with explicit domain split and no subtype promotion yet.	Do not treat education/employment recurrence as one harmonized authority class.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
2026-06-07T19:28:00Z	finance_insurance_or_market	Finance, insurance, or market	2	2	0	0	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	narrow sector-concentrated comparator attached to AI-washing findings		CCR-001; CCR-002; LIMEN-VIS-002; TSRQ-046	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	Keep bundled with AI-washing posture logic rather than as an independent expansion target.	Do not narrate this as a general finance-AI failure rate or broader market pattern.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-046/figure2-post-danish-drift-reaudit.tsv
