queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00433	LIMEN-SIGNAL-32D60CD7A7421607	research_queue_query_bundle	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	36	Country research-queue row lists generic Iran source targets without a named reviewable surface.	underlying source naming only	extract one named official source from local queue metadata
BPSE-00434	LIMEN-SIGNAL-332AD71C3B142290	research_queue_query_bundle	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	38	Country research-queue row lists generic Liechtenstein source targets without a named reviewable surface.	underlying source naming only	extract one named official source from local queue metadata
BPSE-00435	LIMEN-SIGNAL-341C80AD12EA064E	research_queue_query_bundle	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	84	Country research-queue row lists generic Zimbabwe source targets without a named reviewable surface.	underlying source naming only	extract one named official source from local queue metadata
BPSE-00436	LIMEN-SIGNAL-342B0FB3E93F3EF8	review_queue_wrapper	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	1559	Review-queue row points to NSW AIAF and related register evidence but does not expose the primary source surface here.	underlying source naming only	extract the named primary policy or register source from local review metadata
BPSE-00437	LIMEN-SIGNAL-343D529AE18670A3	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	13	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
BPSE-00438	LIMEN-SIGNAL-3443B645511EB15D	wrapper_or_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	85	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
BPSE-00439	LIMEN-SIGNAL-34515E51EA679F84	wrapper_or_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	24	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
BPSE-00440	LIMEN-SIGNAL-34728E7A198D363F	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md	2044	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
BPSE-00441	LIMEN-SIGNAL-34D638458E46875E	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	71	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
BPSE-00442	LIMEN-SIGNAL-34D6B9486465C2E7	wrapper_or_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3301	Wrapper, summary, seed, or proxy row does not yet expose a named reviewable source surface.	underlying named source still unresolved	extract named source from local artifact
