signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-765DBF9E7BADF928	negative_evidence_candidate	official_negative_check	Local metadata records an official search-negative or gap check; keep as bounded negative evidence only.	Checked-source non-location only; absence remains non-conclusive.	Keep as negative-evidence packet, not as positive direct-source promotion.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-766BEFB109AC8CC8	merge_existing_surface	existing_registry_surface	Already-modeled Canada AI Register surface or record proxy; dedupe instead of re-promoting.	Dedupe to existing modeled surface only; no new source claim.	Merge into existing modeled surface and remove duplicate queue item.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/stratified-record-review-frame-20260608.csv
LIMEN-SIGNAL-766FA3B585162D74	translation_review_needed	translation_sensitive_surface	Row names a plausible direct source surface, but the local evidence is materially non-English or translation-sensitive.	Translation-safe source-surface existence only; no policy/legal inference from machine translation.	Route to translation-aware source review.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-bridge-mini-batch-v0.1.csv
LIMEN-SIGNAL-7674A2B72F071DEF	merge_existing_surface	existing_registry_surface	Already-modeled Dutch algorithm-register surface or record proxy; dedupe instead of re-promoting.	Dedupe to existing modeled surface only; no new source claim.	Merge into existing modeled surface and remove duplicate queue item.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-76803D9056752220	needs_named_source_extraction	wrapper_or_summary_row	Wrapper/summary metadata points toward a source family but does not yet expose one named reviewable source surface.	Needs named source extraction before any direct-source claim.	Extract a named source title/URL or direct local line before re-queueing.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-7692AF4C199F3C71	source_reviewed_candidate	direct_institutional_surface	Row names a concrete institutional or official source surface sufficient for bounded source-surface review.	Source-surface existence only; no truth, legality, safety, or prevalence claim.	Keep in direct-source review queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/verification/verification-priority-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-76A28CC9D3E20CCD	needs_named_source_extraction	wrapper_or_summary_row	Wrapper/summary metadata points toward a source family but does not yet expose one named reviewable source surface.	Needs named source extraction before any direct-source claim.	Extract a named source title/URL or direct local line before re-queueing.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-76A4DBC76B273192	reject_noise	derived_internal_artifact	Internal draft, script, summary, or derived artifact; not a direct-source queue item.	Not a direct source surface; no source-review claim should be made from this row.	Drop from direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-76AA305DFE20FF17	negative_evidence_candidate	official_negative_check	Local metadata records an official search-negative or gap check; keep as bounded negative evidence only.	Checked-source non-location only; absence remains non-conclusive.	Keep as negative-evidence packet, not as positive direct-source promotion.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-76AD2B945A71248F	reject_noise	derived_internal_artifact	Derived artifact or non-source row; not suitable for the bounded direct-source queue.	Not a direct source surface; no source-review claim should be made from this row.	Drop from direct-source queue.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
