queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-01201	LIMEN-SIGNAL-D522A0AD8899A03A	source_url_extracted	https://www.bvifsc.vg/products-services/sandbox/about-us	Sandbox: About Us	/srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_SOURCE_REFRESH.csv:304	VG I03 score-change row points to vg-source-hardening; local source-refresh lists official FSC sandbox page.	source-surface existence only; sectoral financial-services sandbox, not AI-specific	review extracted FSC page; inspect companion laws/participants if making a stronger source-family claim
BPSE-01202	LIMEN-SIGNAL-D52C947BB3190508	parent_source_wrapper		Estonia/Finland I03 sandbox source-refresh bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md:2100; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:7-8,22-23	Comparative aggregate cites multiple Estonia and Finland sandbox/innovation-helpdesk sources; no single parent source is selected.	source-surface existence only from local metadata/files	human choose EE vs FI and primary vs supporting source before review
BPSE-01203	LIMEN-SIGNAL-D54CBF44C4EDABEA	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data	Retraction Watch Database public CSV	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-profile-v01-strict-window-label-repaired-20260522T161104Z.svg:20; /srv/tyche/gaia/tyche-research-vault/papers/nekropolis-negative-results-corpus-v0.1.tex:721-723	SVG labels a Retraction Watch source-family slice; local bibliography gives Crossref GitLab CSV source URL.	source-family surface only; no incident truth or AI-only adjudication	review source-family/corpus method, not individual retraction claims
BPSE-01204	LIMEN-SIGNAL-D552F9C212AC82F6	source_surface_only_no_case		Thomson Reuters CoCounsel target-evidence placeholder	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json:2677-2683	Manifest lists generic target evidence categories and no concrete public URL.	no parent-source claim; placeholder only	keep in gap/source-discovery queue until a concrete URL is locally ledgered
BPSE-01205	LIMEN-SIGNAL-D554C12A9C5673FC	parent_source_wrapper		Brunei country profile source bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:129; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_SOURCE_REFRESH.csv:91-110	Country profile aggregates AITI AI governance, BDCB sandbox, data/cyber/procurement sources; no single parent source is selected.	country profile/source-surface evidence only	human select indicator-specific parent URL before direct review
BPSE-01206	LIMEN-SIGNAL-D5719211EE5E507F	reject_noise		Conceptual retraction-log prose	/srv/tyche/gaia/tyche-research-vault/outlines/on-the-crossroads-v0.4-publication.md:533-544	Line is conceptual prose about detectable retraction in an attestation-log pattern, not a public source or case surface.	no source claim	drop from parent-source extraction queue
BPSE-01207	LIMEN-SIGNAL-D575999B6594207C	country_gap_no_parent_source		Algorithm-register absence warning	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md:621-625	Weak-source warning states no national algorithm register was found; it exposes no parent source URL.	negative country-gap/profile evidence only	do not promote; resume source discovery if needed
BPSE-01208	LIMEN-SIGNAL-D58417ACB93D8183	country_gap_no_parent_source		United States Virgin Islands country profile	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv:51	Country matrix/profile row states no territorial sandbox/register/lifecycle source found and gives no concrete parent URL.	country profile/gap only	do not promote; source discovery required for any parent URL
BPSE-01209	LIMEN-SIGNAL-D58F8D9C1A470AD2	source_url_extracted	https://gitlab.com/crossref/retraction-watch-data	Retraction Watch Database public CSV	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-candidate-only-boundaries-update.md:41; /srv/tyche/gaia/tyche-research-vault/papers/nekropolis-negative-results-corpus-v0.1.tex:721-723	Draft describes Retraction Watch-derived candidate slice; local bibliography gives Crossref GitLab CSV URL.	source-family surface only; candidate slice, not adjudicated AI-only corpus	review corpus method and source-family boundary only
BPSE-01210	LIMEN-SIGNAL-D59A7CD8D270E054	source_url_extracted	https://cbs.gov.ws/news/cbs-approves-regulatory-sandbox-testing-of-pacwallex-and-ticktap-card-in-samoa	CBS approves regulatory sandbox testing of PacWallex and TickTap Card	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:605; /srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2012	Samoa I03 score-change row maps to ws-source-hardening; source-refresh lists official CBS sandbox approval page.	source-surface existence only; sector digital-payments sandbox, not AI-specific	review extracted CBS source before any source-quality decision
