queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-01009	LIMEN-SIGNAL-BAB2674521055074	generic_gap_sprint_wrapper	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	3184	"Generic ""algorithm or AI register entry"" row does not expose a named source surface."	needs named direct source before review	extract named source from local pack/record
BPSE-01010	LIMEN-SIGNAL-BAF99D02E63AC7A0	country_index_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	16	Country index summarizes review state and gaps but does not expose a named source surface.	needs named direct source before review	extract named source from local pack/record
BPSE-01011	LIMEN-SIGNAL-BB224A6B0D6F8070	country_profile_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	1755	Country profile summarizes observability but does not expose a named source surface here.	needs named direct source before review	extract named source from local pack/record
BPSE-01012	LIMEN-SIGNAL-BB9B0E6FF40CCBC7	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	80	Country research queue names search targets but no named reviewable source surface.	needs named direct source before review	extract named source from local pack/record
BPSE-01013	LIMEN-SIGNAL-BBCC8B90CE3FEF7A	generic_gap_sprint_wrapper	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	3420	"Generic ""algorithm or AI register entry"" row does not expose a named source surface."	needs named direct source before review	extract named source from local pack/record
BPSE-01014	LIMEN-SIGNAL-BBDAEF83D9BA7811	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	91	Country research queue names search targets but no named reviewable source surface.	needs named direct source before review	extract named source from local pack/record
BPSE-01015	LIMEN-SIGNAL-BBDEBF91B1BD8D67	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	77	Country research queue names search targets but no named reviewable source surface.	needs named direct source before review	extract named source from local pack/record
BPSE-01016	LIMEN-SIGNAL-BC0BA6EFDB066288	source_pack_or_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	90	country research queue lists target topics, not a named source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named source from local wrapper before promotion
BPSE-01017	LIMEN-SIGNAL-BC556CEB9E1338A2	source_pack_or_wrapper	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/source-plan.json	2318	search-plan row contains query text only, not a named source surface	must resolve direct public source before promotion	extract named source from local wrapper before promotion
BPSE-01018	LIMEN-SIGNAL-BCE8D47E26F1DCE4	source_pack_or_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	4	country research queue lists target topics, not a named source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named source from local wrapper before promotion
