queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00721	LIMEN-SIGNAL-740A9F7A4EB31A7A	needs_source_resolution	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/reports/semantic-links/estonia-regulatory-sandboxes-2026-05-29.md	1	Local metadata suggests a possible source family but does not yet expose a named direct surface.	possible source hinted locally; direct source still unresolved	extract a named direct source from local metadata
BPSE-00722	LIMEN-SIGNAL-741537576BF24E61	needs_source_resolution	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv	154	Local metadata suggests a possible source family but does not yet expose a named direct surface.	possible source hinted locally; direct source still unresolved	extract a named direct source from local metadata
BPSE-00723	LIMEN-SIGNAL-74222C7909743A55	source_pack_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	41	Research-queue row lists candidate source types for San Marino but no named source surface.	metadata suggests possible source families only; direct source still unnamed	extract a named official source from local pack before promotion
BPSE-00724	LIMEN-SIGNAL-74342BD1E6FA8D9D	needs_source_resolution	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SUMMARY.md	126	Local metadata suggests a possible source family but does not yet expose a named direct surface.	possible source hinted locally; direct source still unresolved	extract a named direct source from local metadata
BPSE-00725	LIMEN-SIGNAL-745BCBE304BD0CA3	source_pack_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	75	Observability queue row lists Solomon Islands target source types but no named direct surface.	metadata suggests possible source families only; direct source still unnamed	extract a named official source from local pack before promotion
BPSE-00726	LIMEN-SIGNAL-747094F623F4AE0D	source_pack_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	7	Country/index row lists desired source types but no named reviewable source surface yet.	metadata suggests possible source families only; direct source still unnamed	extract a named official source from local pack before promotion
BPSE-00727	LIMEN-SIGNAL-748B52DBB1C8406B	source_pack_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	29	Observability queue row lists Albania target source types but no named direct surface.	metadata suggests possible source families only; direct source still unnamed	extract a named official source from local pack before promotion
BPSE-00728	LIMEN-SIGNAL-749534ABA0892D43	source_pack_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	56	Observability queue row lists Gambia target source types but no named direct surface.	metadata suggests possible source families only; direct source still unnamed	extract a named official source from local pack before promotion
BPSE-00729	LIMEN-SIGNAL-74A9606B8F6D3553	review_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	144	Review/matrix row is an adjacent routing artifact unless it names a concrete official source.	local wrapper suggests a source direction only	extract a named official source from local packet
BPSE-00730	LIMEN-SIGNAL-74D326FDF9C26D5A	needs_source_resolution	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	1755	Local metadata suggests a possible source family but does not yet expose a named direct surface.	possible source hinted locally; direct source still unresolved	extract a named direct source from local metadata
